मारकस.	మారకస.
बलैक मामबा.	బలాక మాంబా.
जैसे किल बिल में उमा थरमन.	కిల బిలలో ఉమా థురమనలాగానా.
तुम कर लोगे.	నీకేమీ కాదు.
चल, साले!	పద, వెధవ!
हाँ!	సరే!
याहू, साले!	యాహూ, వెధవ!
ऊबर, यह अचछा नाम है.	ఉబెర, నాకది నచచింది.
मेरे खयाल से हमें जाकर पता करना चाहिए.	అది మనం తపపనిసరిగా వెళళి చూడాలనుకుంటా.
बाय, माँ.	బె, అమమా.
देखना कि सबको सैंडविच मिल जाए.	అందరికీ సాండవిచ అందేలా చూసుకో.
बासतोस.	బాసటాస.
नहीं.	లేదు.
शायद तुम मेरा काम मुझसे बेहतर कर सकते हो?	బహుశా నా పని నాకంటే బాగా నువవే చేయగలవేమో?
तुमने और कसानडरा ने यही कहा था न?	నువవూ, కాసాండరా అదే కదా చెపపింది?
निकोलस. . .	నికోలస. . .
तुमहें यहाँ देखकर अचछा लगा.	మిమమలని ఇకకడ చూడడం బాగుంది.
हैलो, दोसतों.	హాయ, అందరికీ.
अब आपको यकीन हो रहा है?	ఇపపుడు నా మాట నమముతారా?
मैंने कहा था, हम जीत सकते हैं.	మీకు చెపపానుగా, మనం గెలవగలమని.
वह हमारा दरद नहीं जानना चाहते जो हम भूख,	మనం వెనిజులాలో ఆకలి, జబబులు, అవినీతి వలల
नहीं.	లేదు.
तो मैं बता दूँगा.	నీకు చెపపేవాడిని.
पर मुददा वह नहीं है.	కానీ విషయం అది కాదు.
- समझ गए? - समझ गए.	-విననావా? -విననాను.
ठीक है.	మంచిది.
यह कया बला है?	అసలు ఇది ఏంటి?
रुको.	ఉండు.
तुम कौन हो?	ఎవరు నువవు?
पर हम इसे अपने साथ तो हरगिज नहीं ले जाने वाले.	సరే, వాడిని ఎటటి పరిసథితులలో మనతో తీసుకువెళళం.
डीएनए.	డిఎనఎ.
और मैंने कहा कि अब मैं तुमहारे लिए काम नहीं करता. चलो.	నేను కూడా నీకు చెపపాను. నేను నీ కింద పని చేయటలేదు. పద.
तो वे मुझे दफतर के काम में लगा देंगे या रिटायर होने पर मजबूर कर देंगे.	వాళళు ననను బలల వదద చేసే పనిలో పెడతారు, లేదా బలవంతంగా రిటెర చేయిసతారు.
- वहाँ जो भी हुआ. . . - हम यहाँ डिबबों की तलाशी लेने आए थे,	-అకకడ జరిగింది. . . -మనం ఇకకడ కంటెయినరలు వెతకడానికి వచచాం,
कुछ अखबारों में खबर आ रही है कि आप वाकई जीत सकती हैं.	నిజానికి మీరు గెలవగలరని కొనని వారతా పతరికలు అంటుననాయి.
कि अमरीकी सांसद जिम मोरेनो के निरदयी कातिलों को. . .	యు. ఎస. సెనెటర జేమీ మోరెనోని హతయ చేసిన కిరాతకులు. . .
तुमहारी तरह हमेशा सही रासता अपनाने की आजादी नहीं है.	నాకు ఉననత నెతిక విలువలు కలిగి ఉండేంత పరిసథితి లేదు.
तुमने मुझसे वह सब वापस करवाया, एक-एक घर जाकर.	నువవు నాతో అననీ వెనకకి ఇపపించావు, ఒకకో ఇంటికి.
