मुकदमे चलाने को कहा.	అలఫోనసిన ఆదేశించారు.
उनहोंने सिरफ सैनय अदालत में पेशी सवीकार की.	సెనిక నయాయసథానంలోనే కేసులు ఎదురకోబోతుననారు.
-कुछ नहीं. -कुछ नहीं.	-ఏమీ లేదు. -ఏమీ లేదు.
जॉगर पतलून पहनकर मत सोना!	జాగరస వేసుకుని పడుకోవదదు!
नहीं.	లేదు.
-नहीं. -हूलियो.	-లేదు. -హూలియో.
मेरे सकूल में मना है.	మా బడిలో నిషేధించారు.
मैंने दिन नहीं बताया.	ఎపపుడో నేను చెపపలేదు.
सुजाना.	సుసానా.
पलीज.	పలీజ.
सुनो.	విను.
यह कया कह रहा है? यह तानाशाही का ऐलान है.	అతను ఏమి చెబుతుననాడు? ఇది నియంతృతవ పరకటన.
दोसत,	బాబూ,
ऐसा नहीं होगा. इसकी इजाजत कौन देगा? टरोकोली?	అలా జరగదు. దానికి ఎవరు అనుమతిసతారు? టరొకోలి?
तुम जानते हो कि अगर जज मुकदमा चलाना चाहेंगे, तो वही होगा.	నయాయమూరతులు విచారణ కోరుకుంటే అది జరుగుతుందని నీకు తెలుసు.
-तुम कया बात करना चाहते हो? -कुछ भी नहीं.	-మీరు దేని గురించి మాటలాడతారు? -ఏమీ లేదు.
कुछ हुआ कया?	ఏం జరిగింది?
यह तो खतरनाक है न?	అది పరమాదకరం కాదా?
खैर. . .	సరే. . .
-हैलो? -हूलियो सटरासेरा बोल रहे हो?	-హలో? -హూలియో సతరసేరా? ఇది నువవేనా?
बाय. दिन अचछा गुजरे.	ఉంటాను. శుభాకాంకషలు.
तो समय बरबाद नहीं करेंगे.	మనం సమయానని వృథా చేయవదదు.
बरुजो, मैं यह करूँगा, पर अपने ढंग से करूँगा.	బరూజో, నేను దీనిని చేసతాను, కానీ, నా శెలిలో.
तुम समय से काम नहीं कर पाओगे.	నువవు ఇచచిన సమయంలోపు చేయలేవు.
हाँ, उसने मना कर दिया. वह इसमें शामिल नहीं होना चाहता है.	అవును, అతను రానని చెపపాడు. అతను దీనిలో భాగం కాదలచుకోలేదు.
-वह मनरीक का उममीदवार था. -नहीं.	-అతను మనరీకె యొకక అభయరథి. -వదదు.
-गिरारडी? -नहीं.	-గిరారడి? -వదదు.
बरूनी?	బరూని?
