धनयवाद.	మంచిది!
- तो, होमो एक-दूसरे से इस तरह बात करते हैं? -	అంటే, హోమోస ఓకరితో ఒకరు ఇలాగే మాటలాడుకుంటారా?
नवाब होमो है.	నవాబ ఒక హోమో.
नवाब होमो है!	నవాబ ఒక హోమో!
अंदर.	లోపల.
हम तीनों के बीच, ठीक है.	మన ముగగురి మధయలో, సరేనా?
और हमारा सरकार में गठबंधन है, और हम. . .	ఈ గవరనమెంటుపె గెలిచి ఇంకా మేమిదదరం కలిసి
नहीं, तुमने तबाह नहीं की. मेरी जिंदगी बहुत अचछी है.	లేదు నువవు ఏమి చేయలేదు. నా జీవితం బరంహమాండంగా ఉంది.
वो सच नहीं है.	అది నిజం కాదు.
अगर पहली बार तुमहें सुनाई नहीं दिया तो.	ఒకవేళ ముందు చెపపింది నువవు వినుండకపోతే.
सर, नवाब?	సర, నవాబ?
आरजेएसपी अधयकष बरजेश यादव की बेटी का देहांत	ఆర, జె, ఎస, పి లీడర బరజేశ యాదవ కుమారతె మరణం
कंगन पता नहीं. इसमें देखें. . .	గాజులా? నాకు తెలీదు. ఇకకడ చూడు.
सवीकार करता हूँ.	అంగీకరిసతుననాను.
सवीकार करती हूँ.	అంగీకరిసతుననాను.
जिंदगी कीमती है, और मैं अपनी जिंदगी अपने पति के साथ गुजारना चाहती हूँ.	జీవితం చాలా విలువెనది నేను దానని నా భరతతో కలిసి పంచుకోవాలనుకుంటుననాను.
दफतर 2	ఆఫీస 2
कया है ये सब?	ఇదంతా ఏంటసలు?
एक सेकंड, जान. एक सेकंड.	జసట ఒకక సెకన. ఒకక సెకను.
हम इसे ठीक नहीं कर सकते, आदिल.	మనం దీనని ఫికస చేసకోలేం, ఆదిల.
बात सिरफ फैजा की नहीं है, यार. ये शादी नाकामयाब है!	ఇది ఫెజా ఒకక దాని గురించే కాదు. మన పెళళి ఇంక నడవదు.
- हाँ, मैंने गलती की, फिर भी. . . - मैंने धोखा दिया!	- అవును, నేను మోసం చేసాను, అయినా - నేను మోసం చేసాను!
गांडू	వెధవా
कुछ नहीं, आंटी. वो रोशनी ठीक कर रहा हूँ ना. एक मिनट लगेगा बस.	ఏం లేదాంటీ. ఆ లెట సెటప చేసతుననాను. ఒక నిముషం పడుతుంది, అంతే.
कबीर, मैं तुमहें बहुत पसंद करती हूँ. मुझे अभी बस एहसास हुआ.	కబీర, నాకు నువవంటే చాలా ఇషటం. అది నాకిపపుడిపపుడే తెలుసతోంది.
मैंने आप सभी को आज यहाँ ये एलान करने के लिए बुलाया है	నేను మిమమలని అందరినీ ఇకకడకి పిలిచింది నేను జాన మేథయూని
पारटी लीडर का बंगला है, साहब. तलाशी तो होगी ही.	ఇది పారటీ లీడర బంగళా, సర. చెకింగ అవుతుంది కదా.
- इसे बाद में कर सकते हैं? ठीक है. - हाँ.	- మనం ఇది తరవాత చూసకుందామా? - ఆ, తపపకుండా.
मैं पूछ रहा हूँ, वह बाहर कैसे गई?	నిననే అడిగేది, బయటకి ఎలా వెళళింది?
- नहीं पता? - बिलकुल नहीं पता.	- అరధం కావటలేదా? - కొంచెం కూడా.
पिछली बार जब उसका फोन आया था, तो उसकी जुबान लडखडा रही थी.	పోయిన సారి తను కాల చేసినపుడు తను మతతులో ఉననటటు అనిపించింది.
अब विशाल का भविषय उजजवल है.	విశాల భవిషయతతు ఉజవలంగా ఉంది.
तो, इसके लिए संभालकर रख लो.	సో, దీనని తన కోసం దాచి ఉంచు.
कया तुम कुछ कहना चाहती हो?	నువవేమెనా చెపపదలుచుకుననావా?
- नमसते. - आ जाइए. आ जाइए.	- నమసతే. - రండి. పలీజ రండి.
- मुझे वो रात याद है. - पलीज, उस कहानी को मत दोहराओ.	- నాకా రాతరి గురతుంది. - పలీజ, పలీజ ఆ విషయం ఇపపుడొదదు.
किसी अजञात बीमारी के कारण	ఒక తెలియపరచని వయాధికి గురె
यार, कुछ तो बडा बखेडा है.	డూడ, ఏదో తేడా కొడుతోంది.
इनहोंने खनना एंसिलरीज को	అతను ఖననా ఏనసిలరీసని కొతత
एक सेकंड! एक सेकंड, एक सेकंड, तुमने कब धोखा दिया?	ఒకక నిముషం! ఒకక నిముషం. నువవెపపుడు మోసం చేసావు?
सोओ, या ना सोओ, तुम उतनी ही खूबसूरत लगती हो.	నువవు నిదరా పోయినా, పోకపోయినా అందంగానే ఉంటావు.
- चलिए. चीयरस! - चीयरस!	- ఇదిగో. ఛీరస! - ఛీరస!
कुछ और पहनकर देख लेती?	ఇంకేదెనా టరె చేసతారా?
नूतन: अंकल, इधर आ जाइए. मिसेज यादव: नहीं, मैं यहाँ आ जाती हूँ.	- అంకుల, ఇలా రండి. - లేదు. నేనికకడ నిలబడతాను. నువవటు వెళళు.
- जी. - लेकिन पीछे वाले दरवाजे से बुलाना.	- అలాగే. - కానీ వెనక గేటు నుంచి. సరేనా?
बडी ही कसी हुई दलील थी आपकी. बहुत बढिया.	మీరు చాలా గొపపగా వాదించారు. బరంహమాండం.
ये मेरा है. कहाँ था?	అది నాది. ఎకకడుంది?
- मुझसे झूठ मत बोलो, आदिल. - एक सेकंड.	- నాకు అబదధం చెపపకు, ఆదిల. - ఒకక నిముషం.
तुमहारा काम है. इतना अचछा चल रहा है.	నీకెలాగూ కంపెనీ ఉంది. బాగా చేసతుననావు.
कबीर: बिलकुल. हाँ.	తపపకుండా. తపపకుండా.
अनाउंसर: और अब, देवियो और सजजनो, जोरदार तालियाँ हो जाएँ,	ఇక ఇపపుడు, లేడీస ఎండ జెంటిలమెన, గటటిగా చపపటలు కొటటండి
इसे कहाँ रखूँ?	ఇదెకకడ పెటటను?
वरुण, याद है जब हमने पहली बार तारा के बारे में सुना था?	వరుణ, నీకు గురతుందా మనం మొదటిసారి తార గురించి వినడం?
मुझसे शादी कर लो.	ననను పెళళి చేసుకో.
और उसकी गुडिया पर!	ఇంకా తన బొమమ మీద.
देखो, ये जिंदा है.	చూడు, బతికే ఉంది.
हेलो! जैज, है ना?	హాయ! జాజ, అవునా?
और बुआजी कहाँ है?	మీ అతత ఎకకడుంది?
भारतीय संसकृति का उललंघन है ये.	భారతీయ సంసకరుతిని అవమానిసతుననారు.
- आपको थोडी वाइन दूँ? - बिंदु: आप थोडी वाइन लेंगी?	- నీకు ఇంకొంచెం వెన పొయయనా? - నీకు వెన తెచచియయనా?
अरे, चल, चल. अब तो दुलहन की बारी है. अब तुम जाओ.	వెళళింక. ఇపుడు పెళళికూతురు వంతు. నువవు వెళళు.
उनसे पंगा कौन लेगा? तुमहें बरबाद करके रख देंगे.	వాళలతో తలపడేది ఎవరు? నామరూపాలేకుండా చేసతారు.
आंटी, बैठने के पलान में काफी उलझन चल रही है.	ఆంటీ కురచీలు ఎకకడ వెయయాలో అంతా గందరగోళంగా ఉంది.
- बहुत-बहुत खुशी हुई ये जानके. - विशाल.	- చాలా ఆనందంగా ఉంది నీ గురించి. - బాబూ.
- बहुत अचछे. अदभुत. - शुकरिया.	- వెల డన. అమేజింగ. - థాంకయు.
तुमसे पयार करता हूँ इसलिए तुमसे शादी की! तुमहें यहाँ लाकर मैं बहुत खुश हूँ.	నినను పరేమించాను, పెళలి చేసుకుననాను! నువవికకడ ఉననందుకు సంతోషిసతుననాను.
अगर हमारे बीच कुछ नहीं हुआ होता तो शायद. . .	అదే మన మధయ ఏం జరిగి ఉండకపోతే, అపుడు బహుశా
औरत: कमाल की पारटी है. कया कमाल का जशन है.	- ఇది చాలా అదభుతమెన పారటీ. - ఏం సెలబరేషన.
तारा: बहुत खूबसूरत है, माँ.	ఇది చాలా బావుంది, అతతయయా.
- कितने पयारे हो. - अचछा?	- నువవు చాలా సవీట. - అవునా?
जाहिर है, फूलों की सजावट यहाँ पर होगी.	మరిక, పూల డెకరేషనలు చేసతాం ఇకకడ. ముందర
