{\an8}इसाबेल	{\an8}ఇసాబెల
तुमहें इससे काफी नफरत होती.	మీరది చూసి ఉంటే కోపపడేవారు.
- मैं ठीक हूँ. - आपको मेरा कोट चाहिए?	- నాకేం కాలేదు. - నీకు నా కోట కావాలా?
एलेगजेंडर.	అలెగజాండర.
बयूसेफैलास उससे बढकर है.	బుసెఫలస దానికి మించినది.
पर यह जिन है.	కానీ ఇది జిన.
जब एडगर आपकी कोख में था, तब आप रोज जिन पीती थीं.	ఎడగర నీ కడుపులో ఉండగా నువవు అది పరతీరోజు తాగావు.
माफ करना. कैसा संगीत?	కషమించాలి. ఏం సంగీతం?
अब नहीं बज रहा है.	అంటే, ఇపపుడు లేదు.
आपको कया हो रहा है?	నా అమమకి ఏమవుతుంది?
सच में? दिलचसप है. पर नहीं, धनयवाद.	అవునా? భలే విషయం. వదదు, అవసరం లేదు.
हाँ, ठीक है, यह बढिया है.	సరే, అలాగే, అదంతా మంచిదే.
जैतून कहाँ हैं? बिना जैतून के लंच संभव नहीं है.	ఆలివ లు ఎకకడ? మనం ఆలివ లు లేకుండా భోజనం తినలేం.
जैतून कहाँ हैं?	ఆలివ పళళు ఎకకడ?
{\an8}गेल	{\an8}గెల
इसाबेल?	ఇసాబెల?
खुद को संभालो.	దీనని వదులుకో.
तुम मेरे साथ बेहद करूर बरताव कर रहे हो.	నువవు నాతో చాలా కఠినంగా వయవహరిసతుననావు.
गेल? गेल?	గెల? గెల?
नहीं.	లేదు.
उसे तुरंत फोन करने के लिए कहो.	ఆయనని వెంటనే ఫోన చేయమని చెపపు.
अरे, सैबी.	ఓహ, సెబబి.
हे भगवान. तुम सब कितने पाखंडी हो.	ఓహ, దేవుడా. మీరంతా చాలా అమాయకులు.
पर इस पूरी घटना से मैं असहज महसूस कर रही थी.	కానీ ఆ మొతతం విషయం నాకు అనుమానం కలిగించింది.
हसताकषर करो.	సంతకం పెటటు.
और यह एक ऐडरॉल है.	అలాగే ఇది ఆడడరరాల.
इसाबेल.	ఇసాబెల.
इसाबेल.	ఇసాబెల.
इसाबेल.	ఇసాబెల.
इसाबेल.	ఇసాబెల.
नहीं.	లేదు.
मुझे मेरा परस दो.	ఆ పరసు నాకు ఇవవు.
अगर मेरा पयारा बेटा मेरे पैसों के लिए मुझे धोखा दे रहा था,	నా కొడుకు గనుక నా డబబు కోసం నాకే పిచచి ఎకకిసతుననటటు అయితే,
मम बॉप.	మమ బాప.
तुम रईस लोगों को लगता है कि तुम कुछ भी करके बच निकलोगे, है न?	మీ డబబుననోళలు ఏం చేసినా తపపించుకోవచచు అని అనుకుంటుంటారు, కదా?
वह शानदार था.	అది భలే ఉంది.
मम. बॉप.	మమ. బాప.
मेरे बेटे.	నా కొడుకు.
पकड लिया!	దొరికావు!
सच में?	నిజంగా?
हमें कबूलनामा मिला गया.	ఆమె నేరం ఒపపుకుంది కదా.
- नहीं. - नहीं!	- లేదు. - లేదు!
मैंने कया किया?	నేను ఏం చేశాను?
एडगर ने साफ कहा था कि उसे केक पसंद नहीं था.	దానికి కేకు నచచదు అని ఎడగర సపషటంగా చెపపాడు.
तो अगर इसाबेल ने एडगर की हतया नहीं की, तो किसने की?	మరి ఇసాబెల ఎడగర ని చంపి ఉండకపోతే, ఇంకెవరు చంపినటటు?
ठीक है. मुझे बताया गया है कि यहाँ एक हतया हुई है.	సరే, మితరులారా. ఇకకడ ఒక హతయ జరిగింది అని విననాను.
इसाबेल ने अपनी ही बेटे की हतया की, जिसने साथ ही खुद की भी हतया की.	ఇసాబెల తన సొంత కొడుకుని చంపింది, వాడే తనను తాను కూడా చంపుకుననాడు.
तुमहें उस नौकरानी को निकाल देना चाहिए. संभव हो तो, सबके सामने.	నువవు ఆ పనిమనిషిని పనిలో నుండి తీసేయాలి. వీలయితే అందరి ముందు.
और मैं सुनिशचित नहीं थी कि यह सच था या मैं बस कलपना कर रही थी.	అలాగే నేను ఇదంతా ఊహించుకోవడం లేదని నిరధారించుకోవాలి అనుకుననా.
- कठिन होता जा रहा था. - तुम कब मानोगे कि वे एक जैसे ही हैं?	- మరింత కషటమెంది. - రెండూ ఒకకటే అని నువవు ఎపపుడు ఒపపుకుంటావు?
तो आपको सच में लगता है कि एडगर को आपके पैसे में दिलचसपी थी?	అంటే నువవు నిజంగానే ఎడగర నీ డబబు మీద కననేశాడు అనుకుంటుననావా?
अब, मुझे पता है कि तुम सब मेरे बारे में कया सोचते हो.	సరే, మీరంతా నా గురించి ఏమని అనుకుంటుననారో నాకు తెలుసు.
मैंने यह गलती कैसे की? मुझे समझ ही नहीं आ रहा था.	నేను పేరు ఎలా తపపు పలికాను? నాకు ఏం అరథం కాలేదు.
