पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
लो, हेंक. आजमाकर देखो.	ఒకసారి ఆడి చూడు, హెంక.
मिररसॉफट दुनिया भर में सभी पलेटफॉरम पर सभी अधिकारों को नियंतरित करता है.	పరపంచ వయాపతంగా, అనని పలాట ఫామస లో కూడా హకకులననీ మిరరర సాఫట దగగరే ఉననాయి.
टेटरिस	టెటరిస
कया यह मजाक है?	జోక చేసతుననావా?
लेकिन, एडी, यह अलग है.	కానీ, ఎడడీ, ఈ ఆట వేరు.
मुझे पता है.	నాకు తెలుసు.
मॉसको	మాసకో
इसमें कया लिखा है?	అందులో ఏం రాసుంది?
चौथा खिलाडी	నాలగవ పలేయర
और वह डिसटरीबयूशन संभालता है?	పంపిణీని ఆయనే చూసుకుంటుననాడా?
आपसे मिलकर खुशी हुई, कैविन.	నినను కలవడం బాగుంది, కెవిన.
कैविन.	కెవిన.
निनटेंडो	నింటెండో
रॉजरस?	రాజరస?
नहीं, नहीं.	లేదు, లేదు.
यह कौन है?	ఎవరు ఇతను?
टेटरिस	టెటరిస
नहीं.	లేదు.
{\an8}कंसोल	{\an8}కనసోల
टोकयो	టోకయో
सुनो.	చూడు.
माया?	మాయా?
इस समय हम बहुत बडे निकममे हैं!	మనం ఇపపుడు దివాళా తీయబోతుననాం!
मॉसको	మాసకో
मैंने यही सोचा था.	నేనూ అదే అనుకుననా.
हमने आरकेड के अधिकार खो दिए हैं.	ఆరకేడ హకకులు మన చేయి దాటిపోయాయి.
हिरो-सान,	హీరో-శాన,
टेटरिस	టెటరిస
चीयरस	చీరస.
चीयरस	చీరస.
टोकयो	టోకయో
निनटेंडो	నింటెండో
यह गेम सी में परोगराम किया गया है, है ना?	దీనని సీ లాంగవేజ లోనే కదా పరోగరామ చేశారు?
सजजनों, अगर तुम लोग छोटे बचचों को दो लाख गेम बॉय बेचना चाहते हो,	చూడండి, కొనని లకషల గేమ బాయస ని పిలలలకు అమమాలననదే మీ లకషయం అయితే,
लंदन	లండన
मैं उस पर टिपपणी नहीं कर सकता,	ఆ విషయంలో నేను కామెంట చేయలేను,
टोकयो	టోకయో
कया हो रहा है?	ఏం జరుగుతోంది?
मुझे अभी तक हैंडहेलड अधिकार मिले नहीं हैं, लेकिन बस मुझे कुछ समय दो.	హయాండ హెలడ హకకులని ఇంకా సంపాదించలేకపోయా, కానీ నాకు కొంత సమయం ఇవవండి.
मॉसको	మాసకో
तीसरा लेवल	మూడవ లెవెల
{\an8}एलोरग	{\an8}ఎలారగ
मि. रॉजरस, यह अमेरिका नहीं है.	మిసటర రాజరస, ఇది అమెరికా కాదు.
हा. बहुत अजीब बात है.	హా. భలే తమాషాగా ఉందే.
{\an8}एलोरग ने एंडरोमेडा में रॉबरट सटाइन को अधिकारों का लाइसेंस दिया,	{\an8}ఎలారగ, ఆండరోమెడాకి చెందిన రాబరట సటెన కి లెసెనస హకకులని ఇచచింది,
धनयवाद.	థయాంకస.
बिलकुल नहीं.	అససలు మారదు.
और तुम. . . माफ करना, ये मेरे शबद नहीं हैं. . . झूठे और चोर हो.	మీరు. . . ఇవి నా మాటలు కాదు. . . మీరు అబదధాలకోరు, ఇంకా దొంగ అట.
एक अपराध.	అది నేరం.
एलेकसी.	అలెకసీ.
नहीं.	కాదు.
हाँ.	సరే.
लेकिन सटाइन ने सालों पहले साइन कर लिया था. इसका कया फायदा हुआ?	కానీ సటెన సంతకం చేసి చాలా ఏళళయింది. ఇపపుడు దీని వలల లాభం ఏంటి?
ठीक है. कया चल रहा है?	సరే. అసలేం జరుగుతోంది?
एलेकसी.	అలెకసీ.
नहीं.	లేదు.
-अंदाजा लगाओ मेरी मीटिंग कितनी देर तक चली? -दो मिनट और तीन सेकंड.	-నా సమావేశం ఎంత సేపు సాగిందో తెలుసా? -రెండు నిమిషాల ముపపె సెకనలు.
सावधान, कैविन.	జాగరతత, కెవిన.
यह नुकसान का सौदा है.	సరెన విలువ కానే కాదు.
कया कहा?	ఏమననారు?
नहीं.	లేదు.
मैं यही नहीं पूछ रहा हूँ.	నాకు కావాలసింది అది కాదు.
अंतिम परसताव.	ఇది తుది ఆఫర.
