जैज. जैज 124.	జాజ. జాజ 124.
जैज 1509.	జాజ 1509.
ऑन अ विंग एंड अ परेयर	ఆన ఏ వింగ అండ ఏ పరేయర
-फिर कोशिश करो. मैं हूँ. -अचछा.	-మరోసారి. నేను చూసుకుంటా. -సరే.
कहाँ गलती कर रहा हूँ?	నేను చేసతునన తపపేంటి?
अचछा है. टरिम वहील का इसतेमाल करो. कुछ बार नीचे को घुमाओ.	మంచిది. ఇకకడి టరిమ చకరానని వాడు. కొననిసారలు కిందకు తిపపు.
नीचे जा रहे हैं!	దబబున పడుతుననాం!
-तुम हमेशा हारते हो! -रुको!	-ఎపపుడూ ఓడిపోతుంటావు! -ఆగు!
परतियोगिता - लाइव मयूजिक - खाना - खेल पारिवारिक मौज-मसती - ईसटर एग तलाश	పోటీ - పరతయకష సంగీత విభావరి - ఆహారం - కుటుంబ సరదా ఆటలు - ఈసటర గుడడు వేట
अचछा. ठीक है. अचछा. बस देख रहा हूँ.	సరే. మంచిది. సరే. పరీకషిసతుననానంతే.
ए, मैगी. मुझे एक जगह का पता है, आगे सडक पर है.	హేయ, మయాగీ. ఆ వీధి చివరన నాకు ఒక కొటటు తెలుసు.
देखो.	చూడు.
बहुत अचछा है.	చాలా బాగుంది.
गरिल का तापमान थोडा तेज हो रहा है.	నీ చువవల ఉషణోగరత కొంత పెరుగుతోంది.
और यह किसका विचार था?	అలా చేయడం ఎవరి ఉపాయం?
बेटी को माफ कीजिए.	కూతురని కషమించండి.
-आमीन. -आमीन.	-ఆమెన. -ఆమెన.
नहीं. कचरा यहाँ से हटाओ.	వదదు. ఆ చెతతను తీసేయండి.
जिनके पास वह नहीं जो हमारे पास है.	మనకునన సంపద లేనివారికి సాయం చేసతూ.
सेसना 4-एच-एल, हवा की तरफ. बेस पर फोन.	సెసనా 4-హెచ-ఎల, సమాంతరం. నేరుగా వెళళు.
बरबन.	బరబన.
टकीला.	టకీలా.
वोडका.	వోడకా.
जिन.	జిన.
रात में जब हम रोएँगे और शोक मनाएँगे, वह सहारा देगा.	రోదించి, నిటటూరుసతుండగా ఆయన మనకు సవసథత చేకూరుసతాడు.
-आमीन. -आमीन.	-ఆమెన. -ఆమెన.
मुझे माफ कीजिए.	ననను కషమించండి.
{\an8}डैनबरी, कनेकटिकट	{\an8}డానబరీ, కనెకటికట
उसमें ईसटर बनी, हौआ और पापा शामिल हैं.	అందులో ఈసటర బననీ, బూచాడు, నానన ఉననారు.
फिर से, मेरी दिशा 160 उततर में करो.	మళళీ, నా దిశను 160 ఉతతరానికి మారచు.
-कयों नहीं? -इससे घटिया और कुछ नहीं.	-ఎందుకు వదదు? -పరమ ఛండాలంగా ఉంటుంది.
मुशकिल दौर से गुजर रहा है. मन बहला रही हूँ,	ఆయనకు మనసు బాగోలేదు. ఉతసాహపరచాలని చూసతుననా,
यह ठीक नहीं है.	అది నయాయం కాదు.
हैलो, यार!	హేయ, బాబు!
कयूमूलस बादल दिख रहा है.	దటటమెన మేఘానని చూసతుననా.
अचछा, मैंने अपना काम खुद से किया था, इसलिए मुझे तुमसे बेहतर मालूम है.	సరే, నా పని నిజానికి నేనే పూరతి చేశాను, కనుక నీకంటే నాకు బాగా తెలుసు.
-हाँ. इंगलैंड में उडाने जैसा. -हाँ.	-అవును. ఇంగలండలో నడిపినటటు. -అవును.
मारको टरैफिक.	మారకో టరాఫిక.
मारको टरैफिक.	మారకో టరాఫిక.
हाँ. चिंता मत करो.	అవును. దిగులుపడకు.
घबराओ नहीं, मैं हूँ.	శాంతించు, చూసుకుంటా.
किंग एयर नौ-डी-डबलयू,  मियामी केंदर, हम हैं.	కింగ ఎయిర 9-డీ-డబలయూ,  మయామీ సెంటర, అందింది.
जो?	జో?
जो.	జో.
जो!	జో!
जो!	జో!
जो!	జో!
जो!	జో!
जो.	జో.
{\an8}मियामी केंदर हवाई टरैफिक नियंतरण	{\an8}మయామీ కేందరం విమాన టరాఫిక కంటరోల
एन-5-5-9. . .	ఎన-5-5-9. . .
डी-डबलयू.	డీ-డబలయూ.
आप पायलट हैं?	పెలెట మీరేనా?
आज नहीं, बगी. मैं अपना सिमयुलेटर चालू करूँगी	ఇవాళ కాదు, బగగీ. నేను నా సిములేటర ఎగరేసతుననా
जो!	జో!
जो!	జో!
-हम मुशकिल में हैं. -हे भगवान.	-మేము చికకులలో పడడాం. -దేవుడా.
सब ठीक हो जाएगा. तुम अचछा कर रही हो, बेटा.	అంతా బాగవుతుంది. బాగా లాగుతుననావు, బంగారం.
मैं कंबल लाती हूँ. इसे ढको.	దుపపటి తెసతా. తనకు కపపుదాం.
यह लो, बेटा.	ఇదిగో, కననా.
-पापा? -माफ करना, जो.	-నాననా? -కషమించు, జో.
नहीं.	లేదు.
{\an8}इन विमानों को किंग एयर से दूर हटाओ.	{\an8}విమానాలను కింగ ఎయిరకు దూరంగా జరుపు.
फोरट मायरस अभिगम, एक गंभीर आपात सथिति है.	ఫోరట మయరస అపరోచ, ఇకకడ పూరతి అతయవసరం ఉంది.
अचछा, यह. . .	సరే, ఇది. . .
सुनो, मैं 10, 000 को पार कर चुका हूँ.	విను, ఇదివరకే 10, 000 అడుగులు దాటాను.
मियामी, अभी भी मेरे साथ हो?	మయామీ, మీరింకా నాతో ఉననారా?
हैंडल को पकडिए और ऑटोपायलट को बंद कर दीजिए.	పిడిని నిటారుగా పటటుకుని, ఆటోపెలెట ఆపేయండి.
सावधान.	జాగరతత.
अचछा, एन-पाँच-डी-डबलयू, धीरे से जरा-जरा करके नीचे उतरिए.	సరే, 9-5-డీ-డబలయూ, నిదానమెన, సుతారమెన అవరోహణ మొదలుపెటటు.
लीसा.	లీసా.
आपको बस उसी तरह उडाना है.	ఇపపుడు మీరు చేసతుననటటుగా.
बरायन की डयूटी अभी खतम हुई. शायद पारकिंग में मिल जाए.	బరయన షిఫట ఇపపుడే ముగిసింది. పారకింగ లాటలో పటటుకోవచచు.
जयादा ही करीब. शायद उसे पशचिम की ओर मोडेंगे.	అతి దగగరగా ఉననాం. అతనని తూరపుకు తిపపుతారేమో.
मैंने विमान वृततचितर में देखा था.	ఇది విమానాల డాకయుమెంటరీలో చూశాను.
फोरट मायरस के नियंतरण ककष में हूँ. कोई विमान उडा रहा है.	ఫోరట మయరస నియంతరణ గదిలో ఉననా. ఒకతను విమానం నడుపుతుననాడు.
कैरी, हमें तुमहारी मदद चाहिए.  विमान पर एक परिवार है.	కయారీ, మాకు నీ సాయం కావాలి.  విమానంలో ఓ కుటుంబం ఉంది.
सथानीय / राजय	సథానిక/రాషటరం
मुझे विमान संखया चाहिए.	నాకు విమాన సంఖయ కావాలి.
आप मुझे लगभग उततर की ओर मोड रही हैं.	ననను మీరు దాదాపు ఉతతర దిశకు తిపపారు.
मुझे इसका एपीपेन चाहिए. कहाँ है?	నాకు తన ఎపిపెన కావాలి. ఎకకడుంది?
अचछा. नौ-डी-डबलयू,	అలాగే. 9-డీ-డబలయూ,
मौसम परणाली में कितना समय है? तूफान या बारिश?	సమసయ ఎంత దూరంలో ఉంది? అది తుఫానా లేదా జలలులా?
तुमहें यह सब कैसे पता?	నీకు ఇవననీ ఎలా తెలుసు?
उसका सिमयुलेटर बनो.	అతని అనుకరతగా ఉండు.
रुको, डैन. कया?	ఆగు, డాన. ఏంటి?
नौ-डी-डबलयू, नॉब को 270 डिगरी पर घुमाइए.	9-డీ-డబలయూ,  మీటను 270 డిగరీలకు తిపపండి.
हो गया.	చేశాను.
मदद के लिए कोई मिला.	కొంత సాయం దొరికింది.
