मिसटर आदिल खनना?	మిసటర ఆదిల ఖననా?
मैडम.	మేడమ?
साला.	అబబా.
नहीं. नहीं.	లేదు. లేదు.
दुनिया का सबसे बडा समलैंगिक फिलम फेसटिवल है.	అది పరపంచంలోనే అతి పెదద గే ఫెసటివలసులో ఒకటి.
ये लो.	ఇదిగో.
जससी!	జససీ.
इस बार पुलिस में रिपोरट करनी चाहिए.	ఈసారి పోలీస కి వాడిపె రిపోరటివవాలి.
अरे.	హేయ.
फैजा?	ఫెజా?
तुमने फैजा की जिंदगी बचाई है.	నువవు ఫెజా పరాణానని కాపాడావు.
मैं डरेस वापस ही करने वाली थी.	నేను డరెస తిరిగి ఇచచేసే దాననే.
हाँ.	సరే,
पर अपना एक ही तो बेटा है. उसके भविषय के बारे में सोचना होगा.	కానీ తను మా ఒకకగానొకక కొడుకు. వాడి భవిషయతతు దృఢంగా ఉండాలిగా.
फेरे नहीं होंगे.	పరదకషిణలు ఉండవు.
मैंने गलती कर दी.	నేనో తపపు చేసాను.
- पर ठीक कभी नहीं हो सकता. - हो सकता है.	- కానీ ఎపపటికీ సరికాదు. - అవును, అవగలదు.
नहीं.	కాదు.
नहीं.	లేదు.
शिबानी, तो बीजों के लिए गमले भी यहीं से ले लेंगे, पलीज.	షిబానీ, మనం వితతనాల కోసం కుండలు కూడా ఇకకడే తీసుకుందాం.
मैं सोच रहा हूँ कि तोहफे सादे रखते हैं, है ना?	నేననుకునేది మనం గిఫటస సింపుల గా ఉంచుదాం, సరేనా?
- सच में? - हाँ. किसी को फरक नहीं पडता.	- నిజంగానా? - అవును. ఎవరూ పటటించుకోరు.
मुझे माफ करना, जैज. तुमहें जाना ही होगा.	అయాం సారీ, జాజ. నువవు వదిలి వెళళాలసిందే.
ठीक है, हमने बात नहीं की. इसका मतलब कया, ये देने की बात भी नहीं करेंगे?	సరే మేము ఆ సంగతి ఎతత లేదు అంటే, వీళళు ఆఫర కూడా చెయయరని దానికరధం కాదు కదా?
वो तो तुमहारे पयार में पूरा पागल है.	అతను నీతో పూరతిగా పరేమలో పడిపోయాడు.
इस बार सारे गहने लेकर चला गया.	వాడు మొతతం నగలననీ తీసుకుపోయాడు.
तुमहें सलाम, परियंका मिशरा.	జేజేలు నీకు, పరియాంక మిశరా.
हम गिरफतार होते-होते बचे और अभी मेरा यहाँ दूसरा ही दिन है.	మనం ఇంచుమించు అరెసటయయేవాళలం ఇంకా ఇది ఇకకడ నా రెండవ రోజే.
मिसेज खनना? मैं डॉ. दास हूँ.	మిసెస ఖననా? నేను డాకటర దాస.
यार, यार! शांत हो जाओ, पलीज.	గెస, గెస. శాంతించండి, పలీజ.
हाँ, बिलकुल. बस पहन लो इसे.	అవును నిజంగానే. అది తొడుకకో.
- एक तसवीर लेते हैं. - हाँ!	- ఒక ఫొటో తీసుకుందాం. - సరే.
पकका, वापस कर सकते हैं ना?	కచచితంగా రిటరన చెయయచచు కదా?
लेकिन लुधियाना में. करेगा?	కానీ లుధియానాలో. చేసతావా?
हेलो, माँ. उसे होश आ गया.	హాయ, అతతయయా. తను లేచాడు.
लौंडेबाजी का बडा शौक है?	అబబాయిలంటే అంతిషటమా, ఆ?
- हेलो. - हाँ, भाटिया.	- హలో. - చెపపు, భాటియా.
बिलकुल. तुमने ये देखा?	తపపకుండా. ఇది చూసావా?
ये थोडा. . . हम सभी की तरफ से बोल रही है.	అది కొదదిగా తను మనందరి మానసలో మాట చెబుతోంది
आसान नहीं है. खासकर अगर आप अकेले हों तो.	అదంత సులువు కాదు ఒకవేళ మీరు ఒంటరి గా ఉంటే.
हर एक बचचे के लिए, सिरफ दो लाख की रियायती कीमत तय हुई है.	మాకు సటూడెంటుకి 2 లకషల చొపపున సపెషల డిసకౌంటెడ రేట లభించింది.
कयोंकि ये सब पैक करना पडेगा ना, बाबा.	ఎందుకంటే. . . ఇవననీ పయాక చెయయాలిగా.
आदिल: मुझे नहीं लगता उसे आना चाहिए.	గెస, తనికకడికి రాకూడదని అనుకుటుననాను.
इनका ऑपरेशन करना होगा. हम इजाजत के लिए रुके हुए थे.	తనకి సరజరీ చెయయాలి. మేం అంగీకారం కోసం వెయిట చేసతుననాం.
फैजा ने नीमराना के पास एक समपतति देखने के लिए बुलाया था.	ఫెజా నీమరానాలో ఒక పరాపరటీని చూడడానికి నాకు కాల చేసింది.
