मेरे हिसाब से तीन चीजें किसी भी औरत को खूबसूरत बना सकती हैं.	నాకు తెలిసి, మూడు వసతువులు ఎలాంటి అమమాయినెనా అందంగా చేసతాయి.
पतनी. . .	భారయ. . .
मेड इन हेवेन	మేడ ఇన హెవెన
साला. यहाँ के लोग तो हद करते हैं, यार.	ఛ. ఇకకడి మనుషులు చాలా దరిదరంగా ఉననారు.
सुनो. . .	చూడు. . .
छोले-भटूरे.	ఛోళే బతూరే?
यार, यहाँ जो भी होगा, वो बाहर नहीं जाएगा, ठीक है?	డయూడ, ఇకకడేం జరిగినా సరే అది మన మధయే ఉండాలి, ఓకే?
अचछा, एक नींबू पानी बना दो ना? मैं नहाके आता हूँ.	కొంచెం నిమమరసం తీసుకొసతావా. నేను సనానం చేసొసతాను.
कया? कैसे?	ఏంటీ? ఎలా?
रख ले.	తీసకో.
दीपति?	దీపతి?
आई लव यू	ఐ లవ యు.
मममा, पेरिस. . .	అమమా, పారిస. . .
नहीं.	వదదు.
वही तो, मेरी पूरी जिंदगी का सवाल है.	అదేగా, నా మొతతం జీవితం గురించి సమసయ.
सुनकर अफसोस हुआ, तारा. पर तुमहारे सारे टेसट ठीक हैं.	అందుకు సారీ, తార. కానీ నీ టెసటు రిజలటులననీ బావుననాయి.
ये सारे डिजाइन मिसेज गिल ने खुद पसंद किए हैं.	ఈ అనని డిజెనలూ మిసెస గిల సవయంగా సెలెకట చేసారు.
वैसे, इस साके से मेरी नींद उड चुकी है.	ఈ సాకేతో నాకు నిదర వచచేలా లేదు, తెలుసా.
सब जानवरों के बारे में, जैसे कि सीहोरस.	నీటి కింద నివసించేవి, అంటే, సీ హారసెస.
मेरा फोन ऊपर है. मेरी दोसत, तारा को फोन कर देना.	నా ఫోన పెన ఇంటలో ఉంది. నా ఫరెండ తారకి కాల చెయయి.
नयन, अभी तक जाग कयों रही हो?	నయన, ఇంకా మేలుకుని ఉననావేంటి?
सर, आप जो कहेंगे वही करेंगे ना? महिला का थोडी सुनेंगे.	సర, మీరు ఏం చెపతే అదే చేసతాం. ఆడాళళు చెబితే మేం వినం.
लाइन? सनो? चारली? गनपाउडर?	లెన? సనో? చారలీ? గన పౌడర?
जब तू मेरे वकत में, मेरे कैमरे पर अपनी रिकॉरडिंग एडिट करता है.	నీ డాకయుమెంటరీని కంపెనీ టెంలో, నా వసతువులతో ఎడిట చేసతుననపుడు.
मैं परेगनेंट नहीं हूँ.	నేను పరెగనెంటని కాలేదు.
नजरों से नजरें मिलाके बात करो, और चेहरे पर छोटी सी मुसकान.	ముఖం మీద చినన చిరునవవుతో కళలలలో కళళు పెటటి సూటిగా చూడాలి.
एक मैं ही बची हूँ.	నేనొకకదాననే కాలేదు.
हौज रानी पारक में पडे होंगे दोनों.	వాళళు హౌజ రాణీ పారకులో పడి ఉంటారు.
हैपी बरथडे, तारा.	హాపీ బరత డే, తారా.
- हाँ. - तो चलो.	- ఆ. - పద వెళదాం.
यह अजीब नहीं है.	అందులో తపపేముంది.
फिर उसके बाद?	మరి, ఆ తరవాత?
कया बात कर रहे हैं आप? कैसे झेल पाएँगे इतना महंगा?	ఏమంటుననారు మీరు? ధర ఇంత ఎకకువెతే ఎలా తీసుకోగలం?
तू ही कर, यार.	నువవు కానివవరా.
- अचछा? - आपने धयान नहीं दिया?	- అవునా? - నువవు గమనించలేదా?
पैसे कहाँ हैं? गहने कहाँ हैं मेरे?	డబబు ఎకకడుంది? నా జువెలరీ ఎకకడుంది?
तुमहारे डैड बहुत नाराज हैं.	మీ నానన చాలా కోపంగా ఉననారు.
जीत चाहता है कि मैं वहाँ जाके कोई कोरस करूँ.	జీత అమెరికా వెళళక నననేదెనా కోరస చెయయమంటుననారు.
उननीस की थी जब पहले मुकाबले के बारे में पता चला.	ఈ కాంపిటీషనస గురించి నాకు తెలిసినపపుడు నాకు 19 ఏళళు.
और? मुझे नहीं पता.	ఇంకా? నాకు తెలీదు.
- कुछ खाना है? - हाँ.	- ఏమెనా తింటావా? - ఆ.
आज भी शायद देर ही होगी.	ఇవాళ కూడా ఆలసయం కావచచమమా.
हाँ, एक नंबर का कमीना है.	అవును, వాడో చెతత మనిషి.
उसमें है. वह नपुंसक है.	అతని తపపు. అతను ఇంపొటెంట.
जब पहली बार, उस मंच पर हमारी नजरें मिलीं,	ఆ సటేజి మీద మా కళళు మొదటిసారి కలిసినపపుడు,
कया हुआ? मीटिंग के बाद तुम मुझे फोन करने वाले थे?	ఏమయింది, మీటింగ తరవాత నాకు కాల చేసతానననావుగా?
पलीज यहाँ फोन मत करना.	పలీజ ఇకకడకి ఫోన చెయయదదు.
पूछ तो लेती.	అడగాలసింది.
लो जी, आज की शाम की शुरुआत करते हैं, लडकी नंबर चार से.	సరే, సరదా అయిన ఈ సాయంతరానని పరారంభిదదాం, వయయరిభామ నెం. 4తో,
- सब गया. अली को फोन करो. - और दिल के आकार वाला पलंग.	- అవి నాశనమయయాయి. అలీకి కాల చెయయి. - ఆ హారట-షేపడ బెడ కూడా.
हारमनी वेडिंगस मैंने सोचा इस बारे में. मैं तैयार हूँ.	హారమనీ వెడడింగస నేను దాని గురించి ఆలోచించాను నేను చేరతాను.
ये सिरफ आठ फीट है. इसको वापस बनाना पडेगा आपको.	ఇది ఎనిమిదడుగులే ఉంది. దీనని మళళీ చెయయండి.
- नानी कहाँ है? - सभी ने नाम लिखा दिया है.	- అమమమమ ఎకకడుంది? - అందరూ రిజిసటర చేసుకుననారు.
- बाय. - अचछा. गुडनाइट.	- బె. - ఓకే. గుడ నెట.
अपनी टीचर से कहो मैं वापस आऊँगी, फिर टरिप के लिए खरीददारी करने जाएँगे.	మీ టీచరుకి చెపపు నేనూ వసతానని నీ టరిప కోసం షాపింగుకి కూడా వెళదాం.
