मेड इन हेवेन	మేడ ఇన హెవెన
हाँ.	సరే.
- माँ, माँ, पलीज मेरी बात सुनो. - बाहर निकलो.	- అమమా. అమమా, పలీజ. చెపపేది విను. - బయటకి పో.
कभी किसी लडके को हाथ नहीं लगाओगे.	మళళీ ఇంకో అబబాయిని తాకావంటే చూడు.
हाँ. थोडा सा. पर तुमसे मिलना जो था.	ఉంది. కొదదిగా. కానీ నినను చూడాలిగా.
तुमहारी शादी मुझसे हो रही है, मेरे माँ-बाप से नहीं.	నువవు పెళళి చేసుకోవలసింది ననను, మా పేరెంటసుని కాదు.
आपको इतना तो पता ही होगा कि एक शादी में	నీకు తెలుసనుకుంటాను ఒక పెళళి జరగడానికి
एलजीबीटी समुदाय को अधिकार है कि इस देश के नागरिक की तरह जियें.	ఎల. జి. బి. టి. కమయూనిటీకి హకకుంది ఈ దేశ పౌరులుగా బరతకడానికి.
पाउडर को पानी में घोलकर देना है.	ఈ పౌడర నీళళలలో కలిపి మీకివవాలి.
सर जी, हमें अपना काम करने दीजिए. जब फाइल होगी तो देख लेना.	సర, మా పని మమమలని చేసకోనీండి. ఎఫ. ఐ. ఆర. రాసిన తరవాత చూడండి.
- तो, एफआईआर नहीं है. - अरे!	అంటే ఎఫ. ఐ. ఆర. లేదు అనమాట?
और रामानंदी कछुए को एक फुफकार से जयादा कुछ नहीं मिलता.	ఆ చినన తాబేలుకి ఓ సుననిత హెచచరిక తపప ఇంకేం దొరకలేదు.
हाँ. हाँ. पलीज कुछ करो.	ఆ, యా. పలీజ ఏదెనా చెయయి.
इसे पीलिया हुआ है कया?	తనకి జాండిస ఏమెనా ఉండా?
मुझे कुछ बात करनी है.	నేను కొంచెం మాటలాడచచా?
देखो, तुम इस सब की चिंता मत करो. मैं सब संभाल लूँगी.	చూడు, ఇవననీ ఆలోచించి టెనషన పడకు. నేనిది చూసుకుంటాను.
पापा, ये घटिया नहीं है.	నాననా, అది దరిదరం కాదు.
- एक मिनट, मैडम. - आप देखिए तो सही, सर.	చెక చేసతాను, కానీ మీరు వెయిట చెయయాలి.
मैं मजबूर था.	నాకు తపపలేదు.
काश आप लोगों को इसका बरथ सरटिफिकेट मिला ही ना होता.	మీరు తన బరత సరటిఫికేట కనుకకోకుండా ఉండి ఉంటే బావుండేది.
- एक और शादी गई काम से. - तुम समझ नहीं रहे, निखिल.	- ఇంకో పెళళి చెడిపోబోతోంది. - నీకరధం కావటలేదు, నిఖిల.
ये कोई बडी बात नहीं है. करो और खतम करो. ठीक है, बेटा?	అది పెదద విషయం కాదు. అలా చేసి ఫినిష చేసెయ. ఓకే, సవీటీ.
रात भर समंदर किनारे हीरे की अंगूठी ढूँढ रहा था.	రాతరంతా, వీడు బీచలో ఓ డెమండ కోసం వెతుకుతూ ఉననాడు.
बीस साल का है. और डरगस का इतना नशा.	వాడికి 20 ఏళళు. డరగస మతతులో ఉంటాడు.
हमें गीतांजलि बहुत पसंद है. बहुत ही पयारी है.	మాకు గీతాంజలి నచచింది. తను చూడముచచటగా ఉంది.
एकदम सही कह रहे हैं, जौहरी साहब.	చాలా కరెకటుగా చెపపరు, జౌహరీగారూ.
डियर तारा, विषय: शिबानी बागची इसतीफा	డియర తార, సబజెకట: షిబానీ బాగచీ రాజీనామా
वॉरटन से डिगरी लेने वाली लडकी की शादी पेड से होगी.	వహారటన లో చదుకుని ఓ చెటటుని పెళళి చేసకుంటుంది.
कया चाहते थे तुम मुझसे?	నానుంచి ఏమాశించావు నువవు?
तो, अपने बारे में कुछ बताओ. कया तुम लोगों में. . .	అయితే, మీ ఇదదరి గురించి చెపపు. మీ ఇదదరికీ. . .
फोन छोड आई थी कबीर की गाडी में.	కబీర కారులో ఫోన వదిలేసి వచచావు.
नहीं, बस करो, वरुण. . .	లేదు, పలీజ, వరుణ. . .
इतना ही बताया उसने. मुझे नहीं पता.	తను అంతే చెపపింది. నాకు తెలీదు.
दखल देने के लिए माफ कीजिए, सर. मैडम ने सब बताकर रखा है.	డిసటరబ చేసినందుకు సారీ, సర. మామ నాకనని ఇనసటరకషనస ఇచచారు.
कमीज निकालिए पलीज.	షరట తియయండి, పలీజ.
आदिल? आदिल को कया बोलोगी?	ఆదిల? ఆదిలకి ఏం చెబుతావు?
उपाय है इसके लिए. परेशान होने की कोई बात नहीं.	దీనికి పరిషకారం ఉంది, ఖంగారు పడాలసిన పని లేదు.
सबूत हम अदालत में दिखाएँगे, मैडम. आपको कया बताएँ?	ఆధారాలు మేం కోరటులో చూపిసతాం. మీకెందుకు చూపించాలి.
और आदिल को इस सब में बडी मुशकिल हो रही है, मुझे लगता है. . .	మరి, ఆదిలకి అడజెస అవడానికి నిజంగా కషటంమవుతోంది, అనుకుంటా. . .
आदिल, हमने बाजार का पूरा मुआयना कर लिया है	ఆదిల, మేం మారకెట ఎనాలిసిస అంతా పరిశీలించాం
तुमहारे लिए मुझे एक छोटी सी रसम करनी है.	సరే, నీకోసం ఓ చినన సంబరం చేసతుననాను.
माफ करना.	అయాం సారీ.
ऐसे कैसे कर सकते हैं, हाँ?	- అలా ఎలా చేసతారు మీరు? - సర.
- पलीज मेरी बात सुनो. - निकलो मेरे घर से!	- పలీజ నే చెపపేది విను. - నా ఇంటలోచి బయటకి పో!
हाँ, पर तब तक वह जेल में नहीं रह सकता, ना.	సరే, కానీ తనపపటి దాకా జెలలో ఉండలేడు కదా.
मौके की बात है.	మాకు దొరుకుతాయి.
और मैं एक बहुत ही बुरी दोसत हूँ.	నేను నిజంగా ఓ చెతత ఫరెండులా చేసాను.
मैंने सोचा आकर तारा मैडम से मिल लूँ.	ఒకసారి తార మామ ని కలుదదామనుకుననాను.
वो तो शुकर है, जससी की बडी नौकरी है, वरना. . .	దేవుడి దయ, జససీకి పెదద ఉదయోగం దొరికింది, లేదంటే. . .
मुझसे बात कर सकते हो, करन.	నువవు నాకు చెపపచచు, కరణ.
शहर में आई, एक नई, पयारी सी लडकी हुआ करती थी. बहुत ही सीधी- सादी.	తెలుసా తను నిజంగా సవీటగా ఉండేది, ఊళళో కొతత పిలలలా. సూపర సింపుల.
कबीर: अंदर रहकर इस बात का एहसास होना कि आप असल में बाहरवाले हो.	లోపల నీ గురించి నీకు తెలిసినా బయటకి నటించాలసి వసతుందనన భయం.
लडके वालों ने कहा है. कुंडली मिलाने के लिए.	మగపెళళివారు రికవెసట చేసారు జాతకాలు మయాచ చెయయమని.
दोनों को ठंड पसंद है. दोनों को लंदन बहुत पसंद है.	మాకిదదరికీ చలలటి వెదర ఇషటం. ఇదదరికీ లండనంటే ఇషటం.
मेरी आपसे दरखवासत है, पलीज, हमारे परिवार की इजजत कीजिए.	నేను రికవెసట చేసతుననాను, మా కుటుంబానికి గౌరవం ఇవవండి.
पता नहीं आपके मेहमान, आप जैसे आजाद खयाल परिवार के बारे में कया सोचेंगे	నేననేది మీ బంధువులంతా ఏమనుకుంటారు మీ వంటి పరువుగల ఫామిలీ. . .
तुमहें पता है.	నీకది తెలుసు.
