गोल!	గోల!
-गोल! -गोल!	-గోల! -గోల!
मेरी बचची.	నా బంగారం.
यह सही कह रहा है.	వారు అననది నిజమే.
यह बहुत बडा मैच है.	ఇది చాలా పెదద మయాచ.
वाह.	భలే.
हमारा निरणय हैंडगोला है, है ना?	హయాండ బాల అని చెపపాలి, అంతేకదా?
हाँ!	భలే!
पर अब नयूटस ने गोला चुरा लिया है.	కానీ, నయూటస బాల ని తీసేసుకుననారు.
नहीं.	లేదు.
पर अगर तुमहें ऐसा लगता है, तो अपने दिल की आवाज सुनो.	కానీ నీకు అలాగే అనిపిసతే అపపుడు నీ మనసు చెపపేది చెయ.
और गोला अंदर गया.	అలాగే గోల చేశారు.
नहीं!	లేదు!
मुझे समझ नहीं आ रहा तुम इसका संबंध फुटगोले से कैसे जोड सकती हो.	దీనిని నువవు ఫుటబాల తో ఎలా పోలచగలవో నాకు అససలు అరథం కావడం లేదు.
हाँ. बिलकुल.	అవును. అంతే.
पर वहाइटटेलस अपने मजबूत बचाव के साथ तैयार हैं.	కానీ జింకలు తమ బలమెన డిఫెనసుతో సిదధంగా ఉననాయి.
तुम यह संभाल लोगे.	నువవు ఇది చేయగలవు.
चलो, सीधे काम की बात करें.	ఇక నేరుగా విషయానికి వదదాం.
नहीं.	లేదు.
इसे काम से निकाल दिया जाएगा.	వారిని పనిలో నుండి తీసేసతాం.
ओह, वाह.	ఓహ, భలే.
तुम हम पर गोले फेंक रहे हो कयोंकि हम नयूटस के फैन हैं?	మేము నయూటస అభిమానులం అని చెపపి మా మీదకు బాల ని తననారా?
-गोल! -गोल!	-గోల! -గోల!
अचछा, पता है कया?	సరే, ఒకటి చెపపనా?
मुझे पास करो!	నాకు పాస చెయ!
शुरू करने से पहले, कया मैं एक सवाल पूछ सकता हूँ?	మనం మొదలుపెటటడానికి ముందు, నేను ఒక పరశన అడగొచచా?
सही है!	కరెకటు!
सही है!	కరెకటు!
सही है!	కరెకటు!
सही है!	కరెకటు!
बहुत बुरा.	చాలా తపపు!
सही है!	కరెకటు!
यह छल है. हमें बहुत चिंता हो रही थी.	చాలా మోసం చేసావు! మేము చాలా భయపడడాం!
नहीं, हम यह जीत सकते हैं.	లేదు, మనం దీనిలో గెలవగలం.
अरे!	హేయ!
यह काम कर रहा है!	ఇది పని చేసతోంది!
मुझे नहीं लगा था हम यह कर लेंगे.	మనం గెలుసతాం అని నేను అనుకోలేదు.
हाँ!	భలే!
बढिया निरणय!	గొపప నిరణయం!
बढिया निरणय!	మంచి నిరణయం!
मुझे नयूटस का लोगो और उनके रंगों के साथ-साथ उनके जशन मनाने का तरीका भी पसंद है: उततम.	నాకు నయూటస లోగో, దాని రంగులు అలాగే ఆటగాళలు విజయానని వేడుక చేసుకునే విధానం ఇషటం: కలాసీ.
मैं चाहे देर से आई हूँ पर कम से कम मैं हमारे बुजुरग जीवनदाता के लिए कुछ लेकर आई हूँ.	నేను లేటుగా వచచి ఉండొచచు, కనీసం నేను వృదధాపయంలో ఉనన మన ముసలి పరాణదాతకు ఏమెనా తెచచాను.
तुम शुरू में गोले को ले जाना, उससे मेरे पास कोई नहीं होगा, तो तुम मुझे पास दे देना.	కాబటటి నువవు బాల ని మొదలుకు తీసుకెళళు, నేను ఖాళీ ఏరపరుచుకుంటా, నువవు నాకు పాస చెయ.
मुझे यह सोचकर अचछा लगता है कि कैसे यहाँ आना अतीत में कदम रखने जैसा है.	ఇకకడికి రావడం కాలంలో వెనకకి వెళలినటటుగా ఉంటుంది అని నాకు అనిపిసతుంది.
कृपया, अपनी सीटी दे दीजिए जो परीकषा पास करने पर आपको लौटा दी जाएगी.	దయచేసి నీ విజిల ని ఇచచేయ, టెసటు పాస అయయాక దానిని తిరిగి నీకు ఇసతాము.
