पैट!	పాట!
लीसा?	లీసా?
हाँ. मुझे यह बेहद पसंद है.	హా, నాకు ఇది బాగా నచచింది.
तो, आप कया कहते हैं? डैड?	ఇంతకీ నువవేమంటావు? నాననా?
लीसा?	లీసా?
शुभरातरि, डैडी.	గుడ నెట, నాననా.
हाथ और कपडे खून से सने थे?	చేతులకు, బటటలకు రకతం ఉందా?
पीडित का कोई परिवार नहीं है?	ఆమె తరఫు బందువులు ఎవరూ లేరా?
तुम समझ रहे हो कि तुम यहाँ कयों हो,	మీరు ఇకకడ ఎందుకు ఉననారో తెలుసు కదా,
हाँ.	సరే.
हैगरटी.	హెగరటీ.
वह वाला? हाँ?	అతనా? అంతేనా?
पहले तुमहें मुझे पकडना होगा.	ముందు నువవు ననను పటటుకోవాలి.
आइस करीम? जेली?	ఐస కరీమ? జెలలీ?
पैटरिक. . .	పాటరిక. . .
जिससे मैंने बात की थी.	నేను మాటలాడిన వయకతిని.
वे सारे जानवर हैं.	వాళలందరూ జంతువులు.
- अचछा? - हाँ.	- అవునా? - హా.
- सब ठीक है, शरी हैगरटी? - हे भगवान.	- అంతా ఓకేనా, మిసటర హెగరటీ? - బాబోయ.
हम तुमहारा समरथन करते हैं, डैन. तुम यह जानते हो.	ఎలలవేళ మా మదదతు నీకు ఉంటుంది, డాన. నీకూ తెలుసది.
कोई नहीं आया. उनहोंने यही बताया.	ఎవరూ రాలేదు. వాళలు చెపపింది అదే.
और ईशवर जानते हैं, मैं यहाँ आपकी आलोचना करने नहीं आया हूँ. कसम से.	నేనేమీ మిమమలని విమరశించడానికి రాలేదు. పరమాణపూరతిగా చెపతుననాను ఇది.
तुम उसके साथ कया करते हो?	తన విషయంలో ఏం చేసతుననారు?
आप कया करते हैं जब आप पर आसमान टूट पडता है?	ఎవరి పరపంచమెనా తలకిందులెపోతే ఏం చేసతాం మనం?
उसका कोई नहीं था.	తనకంటూ ఎవరూ లేరు.
सर?	సర?
सर?	సర?
हम सबकी खातिर.	మా అందరి కోసం.
आगे बढो.	వెళలండి.
नहीं. कुछ याद नहीं आया.	లేదు. ఏమీ గురతు రాలేదు.
यह अतिरिकत मेहनत करने के लिए धनयवाद. कोशिश करना जरूरी था.	ఈ సాయం చేసిపెటటినందుకు థయాంకస, గురూ. మన పరయతనం మనం చేశాం.
तुमहें पीछे एसी चाहिए, एरॉल?	వెనుక పకక ఏసీ కావాలా, ఎరరొల?
नहीं.	లేదు.
नहीं?	లేదా?
सुनो, मैंने तुमसे पहले एक झूठ बोला था.	చూడండి, ఇందాక మీతో నేను నిజం చెపపలేదు.
और तुमने बस मेरे मुँह पर झूठ बोला और मेरी बातों को तोड-मरोडकर पेश किया.	కానీ మీరు చేసిందలలా, అకకడ నిలబడి అబదధాలు చెపపడం, నా మాటలను వకరీకరించడం.
कया टेप में उसी की आवाज है? उसने कया कहा? चलो भी. वह बजाओ.	టేపులో ఉననది వాడి మాటలేనా? ఏమననాడు? కానివవండి. పలే చేయండి.
पैटरिक. . .	పాటరిక. . .
ठीक है. और. . .	సరే, ఇంతకీ. . .
समझे वे कया करने की कोशिश में हैं? वह मुझे बेचैन करने की कोशिश में है.	వీళలేం చేసతుననారో మీకు అరథమవుతోందా? నాకు కోపం తెపపించాలని చూసతుననారు.
कयोंकि अगर तुमहें पकका यकीन नहीं है, तो कोई बात नहीं. बस कह दो. . .	నీకు ఖచచితంగా అరథం కాకపోతే చెపపు. మరేం పరలేదు. ఆ మాట అను చాలు. . .
केवल तुमहारे पास ही परिवार है? तुमहें लगता है कि तुम इतने उततम हो?	కుటుంబం ఉండేది మీ ఒకకరికే? మీది అదభుతమెన కుటుంబమని అనుకుంటుననారా?
वह मर चुकी है. पता नहीं वह इस उमर में यह सह भी सकेगा या नहीं.	అమమ చనిపోయింది. అంత పసి వయససులో అతను ఎలా దిగమింగుకోగలడో ఏమో.
मारसेला आपके कमरे में माँ के कपडों से छेडछाड कर रही थी.	మారసెలలా నీ బెడ రూములో ఉంది, అమమ బటటలను గెలుకుతూ ఉంది.
एरॉल? मैं अंधेरे में अपना फोन नहीं ढूँढ सकता, एरॉल.	ఎరరొల? చీకటలో నా ఫోన ఎకకడుందో కనిపించటలేదు, ఎరరొల.
पता करना मुशकिल है, है न? कि दरअसल कया हुआ था?	నిజంగా ఏం జరిగిందో కనిపెటటడం కషటం అవుతోంది కదా?
दरअसल, मिसेज मैथिस. मैं बस सचचाई ढूँढ रहा हूँ.	చూడండి, మిసెస మయాథిస. నాకు వాసతవాలు కావాలంతే.
मुझसे अँगूठी के बारे में पूछ रहे हो. चलो भी!	ఉంగరం గురించి అడుగుతుననారు. ఏం పోలీసులు మీరు!
मैं ईशवर की कसम खाकर कहता हूँ, समझे? मैं. . .	దేవుని మీద ఒటటేసి చెపతుననా, సరేనా? నేను. . .
माफ करना, इसका इस हतया से कया लेना-देना है?	మననించాలి, ఈ లూటీకి, ఈ కేసుకు ఏంటి సంబంధం?
इस रसोई के फरश पर. हाँ, मैंने उसे देखा था.	ఈ వంటగది నేల మీదనే. హా, నేను తనని చూశాను.
चिकितसा विभाग बेसबरी से इंतजार कर रहा है	మానసిక వెదయ బృందం అసహనం వయకతం చేసతోంది,
- पता नहीं. - तो, उनहोंने उसे कया बताया?	- నాకు తెలీదు. - మరి అతనికి ఏం చెపపారు?
- ए. ए, ए. - मुझे बेहद बुरा लग रहा है.	- హేయ, హేయ, హేయ. - నా తల తిరిగిపోతోంది.
- या बचचे का? उसका नाम. . . - पैटरिक.	- పిలలాడితో అయినా? ఏంటి. . . - పాటరిక.
हमें इस बारे में कैसे पता नहीं चला?	దీని గురించి మనకి తెలీలేదు ఎందుకు?
मुझे खेद है कि यह कोशिश बेकार रही.	మీరు అనుకుననది జరగకపోయి ఉంటే, సారీ.
- तुमने झूठ बोला था? ठीक है. - हाँ.	- అబదధం చెపపారననమాట. సరే. - అవును.
असपताल में उससे कौन मिलने आया था?	ఆసుపతరిలో అతడిని ఎవరు సందరశించారు?
वह मर चुकी है! वह जिंदा नहीं रही!	తను చనిపోయింది! ఈ లోకంలో లేదు తను!
- मारसेला को फोन दोगी? - ठीक है.	- ఫోన మారసెలలాకి ఇసతావా? - సరే.
वह पिता जो उसके पास कभी नहीं था.	తనకి తండరి లేని లోటును తీరచారు.
जैसा कि तुम जानते हो, हम काफी सुरखियों में आ रहे हैं, और. . .	నీకు తెలిసే ఉంటుంది, ఈ విషయంలో పబలిసిటీ చాలా ఉందని, అదీగాక. . .
कि आप खुद पूछताछ करना चाहेंगे या वे पूछताछ शुरू कर सकते हैं?	అతడిని మీరు వచచి అడుగుతారా, లేకపోతే వాళలనే కానిచచేయమంటారా అని.
हम कल ही उनकी जाँच कर चुके थे.	ఆ పనంతా నిననే పూరతి అయిపోయింది.
डैन, कमांडर बलूम. गिरफतारी के बारे में सुनकर बेहद खुशी हुई.	డాన, నేను కమాండర బలూమ ని. అరెసట చేశారనే తీపి కబురు తెలిసింది.
तुम मुझे सजा नहीं दिलवा सकते.	ననను మీరు అససలు అరెసట చేయలేరు.
- मैं मदद कर सकता हूँ? - बेशक.	- నేను సాయపడగలనా? - తపపకుండా.
हे भगवान. वह पैदाइशी झूठा है.	బాబోయ. పచచి అబదధాలకోరు వాడు.
बलूबरड गरुप होम चिलडरेनस होम	బలూబరడ గరూప హోమ పిలలల శరణాలయం
- पैटी. - शांत हो जाओ, जान.	- పయాటీ. - శాంతించు, బంగారం.
तो उसकी फोटो पर निशान लगाना.	అతని ఫోటో పకకన గురతు పెటటు.
- उममीद है कि तुम और समय माँग रहे हो? - हाँ, हाँ, हाँ.	- నువవు ఇంకా సమయం కావాలని అడుగుతుననావు కదా? - హా, అవును.
- चौबीस घंटे, मैं नहीं. . . -. . . फिर उस पर आरोप लगाना होगा या उसे छोडना होगा.	- ఇరవె నాలుగు గంటలా? నా వలల. . . -. . . ఆ తరవాత అతనిపె కేసు వేయాలి లేదా వదిలేయాలి.
मैंने उसकी अचछी परवरिश करने की पूरी कोशिश की, समझे?	నేను వాడిని బాగా చూసుకోవడానికి నా వంతు పరయతనం చేశాను.
सटार ऑफ द वीक पैटरिक बरौज	ఈ వారపు సటార పాటరిక బరోస
घर पर खाना कौन पकाता है?	ఇంటలో వంట ఎవరు చేసతారు?
उठो. पैट, उठो. चलो भी.	లేయ. పాట, లేయ. కానివవు.
डैन. लॉरी हूँ, फिर से.	డాన. మళలీ నేనే, లారీని.
तुमहारे पास पैटरिक था.	మీకు పాటరిక ఉననాడు కదా.
- हाँ. तुम समझ भी नहीं सकते हो! - हाँ. मैं समझ नहीं सकता कि कैसे. . .	- అవును. అసలు మీకు అవి అరథం కూడా కావు! - హా, నాకు అరథం కావులే. . .
- सुनना चाहोगे पैटरिक ने कया कहा? - हाँ. मैं तुमसे अनुरोध कर रहा हूँ.	- పాటరిక ఏమననాడో వినాలనుందా? - అవును. కావాలంటే మీ కాళలు పటటుకుంటే.
- जानता हूँ, पर. . . - तो, तुमहें कैसे पता?	- నాకు తెలుసు, కానీ. . . - మీకెలా తెలుసు మరి?
- जलद ही. - डैड, इस पिलले को आपकी जरूरत है.	- తవరలోనే. - నాననా, కుకక పిలలకి నువవు కావాలట.
मैं एरॉल के इतिहास के बारे में पता कर रहा था.	నేను ఎరరొల నేర చరితరను ఒకసారి పరిశీలించాను.
यह मामला अलग कयों है?	ఈ కేసులో ఏంటి పరతయేకత?
अनाथाशरम में पली-बढी.	అనాథాశరమంలో పెరిగింది.
मैथिस की कार दुरघटना	మయాథిస కారు పరమాద ఘటన
मैं बस ढूँढ रहा हूँ.	నేను వెతుకుతుననానంతే.
कयोंकि अगर तुम अभी अपने आस-पास देखो, बेटे,	ఎందుకంటే, ఓసారి మీ పరిసథితిని గమనించండి,
कया? तुमने. . . कया?	ఏంటి? మీరు. . . ఏంటి?
यह समझाना मुशकिल है.	వరణించడం చాలా కషటం.
एरॉल मैथिस, मैं तुमहें एडालेइड बरौज की	ఎరరొల మయాథిస, అడిలెడ బరోస ని హతయ చేశారనన
कया उसे कुछ पता है?	అతనికి ఏమెనా తెలుసా?
लंदन हिंसा की नई तसवीरें सामने आईं हैं	లండన విధవంసకాండకు సంబంధించిన కొతత ఫోటోలు
बस अनुमान लगा रही हूँ कि तुम खाना भूल गए, सर, इसलिए. . .	నా అంచనా పరకారం మీరు తినడం మరచిపోయి ఉంటారు, సర, అందుకే. . .
सर, मुसतफा डेमिर कमरा संखया चार में है.	సర, మొసతాఫా డెమీర నాలగవ గదిలో ఉననాడు.
उसने पूरे इंटरनेट पर इसे रिलीज कर दिया.	తను దీననంతటినీ ఇంటరనెట లో పెటటేసింది.
- यह कया है? - इसे हिंसा करके खरीददारी करना कहते हैं.	- ఏంటిది? - హింసను ఉపయోగించి దుకాణాలలో దోచుకోవడం అంటారు.
और सीपीएस चाहता है कि उनहें बिना मेहनत किए सब कुछ मिले.	మరోవెపు సిపిఎస కి ఏమో అంతా వడడించిన విసతరిలా కావాలి.
यह केवल तुम जानते हो. शायद, केवल तुम और तुमहारे डैड?	అది మీకు మాతరమే తెలుసు. మీకూ, మీ నాననగారికి మాతరమే ఏమో?
- टमाटर मत डालना. - टमाटर न डालूँ?	- టొమాటోలు వేయవదదు. - టొమాటోలు వదదా?
नहीं. बिलकुल नहीं.	వదదు. అససలు వదదు.
वह करीबी मामला था.	కొంచెంలో పోయింది.
तुमहें भूख लगी है?	నీకు ఆకలిగా ఉందా?
मेरे मुवककिल के विरुदध घरेलू हिंसा	గృహ హింస జరిగినటటు ఏ రికారడులూ లేవు,
