जेरलामरेल का एक संदेश.	జెరలామరెల యొకక సందేశం.
जेरलामरेल, तुम मेरे लिए नहीं आए.	జెరలామరెల, నా కోసం నువవు రాలేదు.
हमारे आगे सब कुछ है. . .	అంతా మన ముందరే ఉంది. . .
कहाँ?	ఎకకడ?
माँ को पता था कि इसे ढूँढना कितना मुशकिल होगा,	తన వసతువులను కనిపెటటడం ఎంత కషటమో అమమకి తెలుసు,
लेकिन मुझे कोशिश करनी होगी.	కానీ నేను పరయతనమెతే చేయాలి.
यह बस. . .	అదంతా. . .
हनिवा!	హనీవా!
- कहाँ चोट लगी है? - मैं नहीं देख सकता.	-తనకి గాయం ఎకకడెంది? -నాకు కనబడటం లేదు.
उसकी छाती.	అతని ఛాతీ.
मेरी रानी, पानी की आवाज सुनो.	నీళళ పరవళళని వినండి, మహారాణీ.
मुझे भूख लगी है.	నాకు ఆకలేసతోంది.
चालक, तुम कहाँ हो?	డరెవర, ఎకకడుననావు?
हनिवा.	హనీవా.
आओ.	రా.
कया तुमहें मिला?	మీకది దొరికిందా?
वे सरदियों में रुके थे.	చలికాలంలో ఒక చోట ఆగాడు.
हाँ, वह देख सकता है.	అవును, ఇతను చూడగలడు.
मुझे लगता है कि तुम मुझे ऐसा करते सुन चुकी होती.	ఈపాటికి నేను ఆ పనిని చేయడం నువవు వినుండే దానివే.
मेरे लिए कभी मायने नहीं रखा तुम कहाँ से आई हो.	నువవెకకడి నుండి వచచావననది నాకససలు ముఖయమే కాదు.
मुझे चलना चाहिए.	నేను బయలుదేరాలి.
मैं मजाक नहीं कर रही हूँ.	నేను నిజంగా అడుగుతుననాను.
परेशान नहीं होता.	వాటికి నొచచుకోడు.
लेकिन वह. . .	కానీ ఆమె. . .
उस जानकारी को लोगों के साथ साझा नहीं करने के लिए.	మా తలలిదండరులు తెలివెన పనే చేశారని నాకనిపిసతోంది.
बाबा और माघरा अलकेनी में फँस गए थे.	బాబా, మాగరా ఆలకెననీలో ఇరుకకుపోయారు.
ऐसा ही कुछ, हाँ.	అవును, అలాంటిదే.
उततम उँगलियाँ.	నాజూకెన వేళళు.
और जब उसके जीवन के सारे काम हो जाते हैं, उसकी उपयोगिता समापत हो जाती है,	ఇక ఆ పురుగు జీవితం చివరి దశకి చేరుకుననాక, తన వలల కలిగే లాభం నశించిపోయాక,
मृतयु के लिए आतुर.	చావు దగగరపడుతుంది.
जेरलामरेल.	జెరలామరెల.
कोफुन?	కొఫూన?
आओ.	రా.
माघरा?	మాగరా?
बाबा वॉस!	బాబా వాస?
हनिवा. - नहीं.	-హనీవా. -లేదు.
राजकुमारी माघरा. . .	వంశానికి చెందిన. . .
"यह महिला, जिससे मुझे पयार है, उसका और उसको होने वाले बचचों का धयान रखना. "	"నేను పరేమించిన ఈ మహిళని, తను కనబోయే పిలలలని జాగరతతగా చూసుకో, " అని భావించా.
जब से हमने यह यातरा शुरू की है मुझे तुममें कुछ बदला हुआ महसूस हो रहा है.	మనం ఈ నదీపరయాణం ఆరంభించినపపటి నుండీ నీలో ఏదో మారపు జరుగుతోందనిపిసతుంది.
उन जवाबों को जानने के लिए रुकी जिनहें तुम जानती हो कि मैं नहीं दे सकती.	నీకు అడగాలని ఎంతగా ఉననా నేను సమాధానమివవనని తెలిసి అడగకుండా ఉండిపోయావు.
तुमने इसे इतने समय तक रखा, तुम यह भी नहीं जानते कि यह अब एक रहसय है.	నువవు చాలా కాలం దాచావు కాబటటి, అది అససలు రహసయమనే నీకు అనిపించడం లేదు.
मैंने हमेशा आपको पयार किया है. . . भले ही आपने मुझे कभी नहीं किया.	నీకు నా మీద పరేమనేదే లేకపోయినా. . . నాకు నీ మీద ఎనలేని పరేమ ఉండేది.
लेकिन वह नहीं जानता था हम कौन थे, और उसके पास कोई विकलप नहीं था.	కానీ మనమెవవరమో అతనికి తెలియదు, అంతేగాక అతనికి మరో దారి లేదు కూడా.
मुझे पिछवाडे के लिए तेल चाहिए और इसे लगाने के लिए एक नौकरानी.	నా పిరుదులకి చమురు కావాలి, అది రుదదడానికి ఓ పనిమనిషి కావాలి.
जैसे ही उनहें पता चला कि चुडैलखोजक इस कषेतर में आ रहा है,	ఈ పరాంతంలో మాంతరికాంతకుడు గాలింపు చేసతుననాడని తెలియగానే,
तुमहारी चुपपी मुझे उसकी चुपपी से कहीं अधिक दिलचसप लगी.	ఆమె నిశబదం కననా మీ నిశబదమే నాకు బాగా ఆసకతికరంగా ఉంది.
