माघरा!	మాగరా!
मैं उनकी तलाश में गई थी.	తనని వెతుకకుంటూ వెళళాను.
मुझे यह मिला. हमें अवशय जाना चाहिए.	-ఇది దొరికింది. -మనం ఇక బయలుదేరాలి.
नहीं!	వదదు!
जनम में खामोशी, दिल टूटने के पल में खामोशी.	జనన సమయమున నిశబదం, హృదయ వేదన సమయమున నిశబదం.
जेरलामरेल का एक और बचचा. . .	జెరలామరెల యొకక మరో బిడడ. . .
पर जहाँ तक तुमहारी उपसथिति की बात है. . .	కానీ నువవు ఇకకడే ఉండే విషయానికి వసతే. . .
तुम समझते हो न, कि यहाँ तुमहारा काम कितना महतवपूरण है?	ఇకకడ నీకు అపపగించిన పని ఎంత ముఖయమెనదో నీకు తెలుసు కదా?
ओह, वाह.	ఓహ, వావ.
उनके चेहरे, उनकी आवाज, जिस तरह से वे साँस लेते हैं, वह भी.	వారి ముఖాలు, వారి సవరాలు, వారు ఊపిరి తీసుకునే విధానం కూడా.
तुमहें नियम पता हैं.	నియమాలు నీకు తెలుసు.
हनिवा.	హనీవా.
मैंने पहले कया कहा था. . .	నేనింతక ముందు అననదంతా. . .
मुझे पता है.	నాకు తెలుసు.
मुझे लगता है हम सभी में से तुम समझ जाओगी कि उसे कया चाहिए.	ఆమెకి ఇపపుడు ఏం అవసరమో, అది అందరికననా నీకే తెలుసనుకుంటాను.
हाँ. लेकिन उसके बाद. . .	అవును. కానీ ఆ తరవాత. . .
जेरलामरेल.	జెరలామరెల.
कोफुन.	కొఫూన.
हम लगातार आगे बढते हैं.	మనం ముందుకు సాగుతుననాం.
दो और. . .	ఇదదరు. . .
और रानी का कया? कया तुमहें पता है वह कहाँ पर है?	మరి మహారాణి సంగతేంటి? ఆవిడ ఎకకడుందో నీకు తెలుసా?
और रानी को कंजुआ ले जाना और उनहें सिंहासन पर आसीन कराओ.	యువరాణిని కంజువాకి తీసుకెళలి, పటటాభిషేకం అయయేలా చూడండి.
मैंने उस की सहमति नहीं दी है.	నేను ఇంకా దానికి సమమతించలేదు.
नहीं.	రాదు.
महारानी?	మహారాణీ?
मुझे परसपर विरोधी बातें महसूस हो रही हैं.	నాకు పరసపరవిరుదధమెన విషయాలు తెలుసతుననాయి.
बाबा.	బాబా.
हिलो मत.	కదలవదదు.
तुम कया कर रही हो?	నువవేం చేసతుననావు?
और तुम जो चिललाए. . .	మరి అరిచిన వయకతి. . .
कोफुन.	కొఫూన.
जेरलामरेल के बचचों,	జెరలామరెల పిలలలారా,
लडके.	బాబూ.
हनिवा, कोफुन,	హనీవా, కొఫూన,
यह सच नहीं है. हनिवा, उनहें बताओ कि यह सच नहीं है.	అది నిజం కాదు. హనీవా, అది నిజం కాదని అతనికి చెపపు.
