पैनिक	పానిక
-उसने डॉज की बहन को नहीं कुचला. -नामुमकिन है.	-అతను డాడజ సోదరిని గుదదలేదు. -అలా చేసి ఉండడు.
शायद उसे हमेशा से पैसा ही चाहिए था.	అతనెపపుడూ డబబునే కోరుకుననాడనుకుంటా.
लूक सिरफ एक चेतावनी है. वह नहीं चाहता कि किसी और को चोट लगे.	లూక జరిగింది హెచచరిక అననాడు. అతనికి మరెవరూ గాయపడడం ఇషటంలేదు.
हाँ. और जिमी को यह पता था.	అవును. జిమమీకి అది తెలుసు.
नहीं.	లేదు.
देखो.	చూడు.
मुझे पता है, रे.	నాకు తెలుసు, రే.
पता है, मिस निल,	తెలుసా, మిస నిల,
नहीं.	లేదు.
इतनी जलदी आने का शुकरिया. उसका फोन बार-बार बज रहा था.	ఇంత తవరగా వచచినందుకు ధనయవాదాలు. తన ఫోన మోగుతూనే ఉంది.
-वह कोरटेज ने नहीं किया. -पर उसने छुपाने का बंदोबसत जरूर किया.	-అది కోరటెజ చేయలేదు. -అదెవరు చేశారో మనకు తెలియనీయకుండా చేశాడు.
सुनो.	విను.
पता है कि वह नयोता एक राज था,	ఆ ఆహవానం రహసయమని నాకు తెలుసు,
डॉज को खोज रही हूँ. चिंता हो रही थी.	డాడజకె వెతుకుతుననాను. కంగారుగా ఉంది.
पर, हेदर ने कहा कि भाला मुकाबले में कोरटेज डॉज की गाडी चलाएगा.	కానీ, హేథర, జౌసటలో డాడజ కారును కోరటెజ నడుపుతాడని తను చెపపింది.
पापा को फोन करो. बोलो जरूरी काम है.	మీ నాననకు ఫోన చెయ. అతయవసరమని చెపపు.
इसे आज रात खतम होना होगा.	ఈ రాతరి ఇది ముగిసిపోవాలి.
-मैंने तुमहारी जान बचाई. -मैंने मदद नहीं माँगी थी.	-నేను నీ పరాణాలు కాపాడాను. -నేను నీ సహాయం కోరలేదు.
किसने कहा कि मदद कर रहा था?	సహాయం చేసతుననానని ఎవరననారు?
नहीं. अभी भी दो मिनट बचे हैं.	లేదు. అతనికి 2 నిమిషాలు ఉంది.
-अभी भी उठा नहीं रहा. -वह कहाँ है?	-అతను ఇంకా ఎతతడం లేదు. -అతను ఎకకడ?
अचछा, जो भी हो.	సరే. ఏదెతే అది.
संकेत, चालू.	సూచిక, పెకి.
हेदर रे की गाडी चला रही है	రే టరకకును హేథర నడుపుతుంది
डॉज की गाडी में बम है	బాంబ డాడజ కారులో ఉంది
नहीं!	వదదు!
मेलनी?	మెలని?
वॉलर युनिवरसिटी नए छातरों	కొతత విదయారథుల ఓరియెంటేషన
देखो.	చూడు.
करूँगा. वादा करता हूँ.	చేసతాను. పరమాణపూరతిగా.
नहीं. मेरा काम खतम हुआ.	లేదు. నా పని పూరతయింది.
पर किसी लडकी के साथ. . .	కానీ కొనని అందమెనవి. . .
तुम भूल जाते हो कि तुम पीछे छूट रहे हो.	మీరు వెనుకబడుతుననారనన విషయం మరచిపోతారు.
डरेटन मूरतिकार	వియాననా సకలపచర
"पूरी समालोचना के बाद, इस साल के जजों ने	"సరెన సమగర పరిశీలన తరువాత ఈ ఏడాది నిరణయం
अचछा लगा कि तुम मिलने आए.	నువవు ఫోన చేశావు, సంతోషం.
हाँ.	సరే.
हाँ.	సరే.
मुझे लगता है मुझे यहाँ से निकलना चाहिए.	నేను ఇక ఊరు వదిలి వెళళాలి, నీకు తెలుసా?
हाँ.	సరే.
हाँ. हाँ, होना चाहिए.	అవును. అవును, ఉండాలి.
कयोंकि मैंने पैनिक खेला.	అందుకే నేను పానిక ఆడాను.
उसने हमारा धयान पिछले साल के खेल पर लगाया, पता नहीं और कया छुपाता रहा.	మనలని గత ఏడాది ఆట మీద దృషటి పెటటేలా చేశాడు, ఇంకేం దాసతుననాడో తెలియదు.
