घबराना मत.	భయపడకూడదు.
पैनिक	పానిక
और करने को कुछ और नहीं था.	చేయడానికి వేరే ఏ పని లేదు.
कभी उनके नाम नहीं लेने पडते.	వాటి పేరలు ఏనాటికీ చెపపలేము.
सैमुएल मैवरिक हाई सकूल	సామయూల మావెరిక హె సకూల
नैटली विलियमस.	నాటలీ విలియమస.
बिशप मोर.	బిషప మోర.
हेदर निल.	హేథర నిల.
शुरू करते हैं, जान.	వెళతుననాము, బంగారం.
हेदर!	హేథర!
तुमने यही कुछ 100 देखे होंगे.	అవి ఓ వంద దాకా పటటుకు చూశావు.
मुझे यहाँ और नहीं रुकना.	ఇక ఈ చోటు నుండి విముకతి.
किस बात की खुशी में?	దేనికి చీరస చెపపాలి?
-जिम वाली निकर नहीं. -हाँ.	-జిమ షారటలు ఉండవు. -అవును.
सकूल खतम हो चुका, समझे? मैं खेल भी नहीं रहा.	సకూల అయిపోయింది, సరేనా? పెగా నేను ఆడడం లేదు.
ओह, बिशप.	ఓహ, బిషప.
नहीं.	కాదు.
मेरी सहेली से कोई पंगा नहीं.	ఎవరూ నా ఫరెండతో పెటటుకోలేరు.
नैटली.	నాటలీ.
डिगिनस. यही तो मैंने कहा.	డిగగినస. నేను అదే అననాను.
एक बात कहूँ?	నీకు తెలుసా?
-गुड नाइट. -गुड नाइट.	-శుభరాతరి. -శుభరాతరి.
यह गंभीर बात है.	అది నీచంగా ఉంది.
तुमसे कया कहा था? यह मजाक नहीं कर रही.	నేను నీకేం చెపపాను? తను పటటుదలగా ఉంది.
तुमहें साथ देना चाहिए.	నువవు నాకు సహకరించాలి.
तुमहें खोना नहीं चाहती.	నినను కోలపోలేను, నాటలీ.
तुम नए लडके हो.	కొతత కురరాడివి.
यहाँ हर कोई बचपन से एक-दूसरे को जानता है,	ఇకకడందరూ ఒకరికొకరు చిననపపటి నుండీ తెలుసు,
तो पिछली गरमी में वे दो बचचे मरे कैसे?	గత వేసవిలో ఇదదరు పిలలలు ఎలా చనిపోయారు?
मिस निल.	మిస నిల.
हे भगवान. सच में?	దేవుడా. నిజంగానా?
पता है, समंदर में ऐसी जगहें हैं जहाँ कतल करना वैध है?	సముదరంలో హతయలు చటటబదధమెన చోటు ఒకటి ఉందని మీకు తెలుసా?
कया? कया है?	ఏంటి? ఏంటది?
नैट, कया हाल है?	నాట, ఏంటి విషయం?
तुम चाहती हो मैं जीतूँ, है न?	నేను గెలవాలని కోరుకుంటుననావా?
तुमसे वहीं मिलूँगा.	మిమమలనకకడ కలుసతాను.
मैं आ रही हूँ.	దారిలో ఉననాను.
मैं कैलहून परेजरवेशन में हूँ. बिलकुल नहीं.	కాలహాన సంరకషణ దగగర ఉననాను. ఏ పురోగతి లేదు.
फोन. तुमहारे पास फोन है?	ఫోనలు. నీ దగగర ఫోన ఉందా?
और इन गरमियों में, मैं ही आपका मेजबान हूँ.	ఈ వేసవిలో, ఉతసాహాననిచచే వయాఖయాతను అవుతాను.
याद रहे, बचचो,	గురతుంచుకోండి,
तुम मुझे जानते हो, डिगिनस.	నా పేరు తెలుసుగా, డిగగినస!
हाँ, अचछा ही था!	అవును, పరవాలేదు!
यह कया?	ఏంటిది?
परतियोगी नंबर 12, अपना नाम बताओ.	పోటీదారుడు నంబరు 12, పేరు చెపపు.
हेदर?	హేథర?
तुम यहाँ कया कर रही हो?	నువవు ఇకకడేం చేసతుననావ?
-है तो. -तो यहाँ कयों आई?	-అవును. -మరెందుకు వచచావు?
तुम जीतने की बात भूल जाओ. कोई इतना बेवकूफ नहीं.	నువవు గెలుసతావని అనుకోకు. అంత పిచచి వాళళు లేరు.
एक समय पर, एक लडकी थी जो मिटटी की बनी थी.	అనగనగా ఒకసారి, మటటితో చేయబడడ అమమాయి ఉంది.
हेदर!	హేథర!
शांति रखूँ? हेदर.	శాంతించాలా? హేథర.
परतियोगी 23.	పోటీదారు 23.
अपना नाम बताओ!	నీ పేరు చెపపు!
चुप हो जाओ.	నోరుమూసుకో.
हम कितनी देर इंतजार करें?	మనం ఎంత సేపు వేచి చూడాలి?
और चढता ही गया.	పెకి ఇంకా పెకి.
वह पागल है.	తనకు పిచచి.
परतियोगी 23,	పోటీదారు 23,
अपना नाम बताओ.	నీ పేరు చెపపు.
हेदर. . .	హేథర. . .
निल.	నిల.
हेदर निल.	హేథర నిల.
और मिटटी से बनी लडकी हवा में समा गई. . .	మటటితో చేయబడడ అమమాయి గాలిలా మారింది. . .
सनो गलोब देखकर पागल हो जाया करती थी. उनसे दिल नहीं भरता था.	మంచు గలోబులంటే మనసు పారేసుకునే దానివి. ఎకకువగా తీసుకురాలేదు.
माँ, आपने मेरे लॉनगहॉरन सटेट वाले कागजात देखे हैं?	అమమా, నువవు నా లాంగహారన సటేటకి సంబంధించినవి చూశావా?
धत तेरी, और मुझे लगा इस साल चार जुलाई जलदी आ गया.	ఛ, నేను ఈ ఏడాది జులె నాలుగు తవరగా వచచిందనుకుననాను.
तुमने कहा था पकके दोसत एक-दूसरे का सहारा बनते हैं.	నువవు పరాణ సనేహితులు ఒకరికొకరు సహకరించాలి అననావు.
हाई पाइंट से कूदने पर आपको 25 अंक फालतू मिलेंगे.	హె పాయింట నుండి దూకితే 25 పాయింటలు అదనంగా వసతాయి.
-अजीब तरीके से कयों देख रही हैं? -कुछ नहीं.	-ననను విచితరంగా ఎందుకు చూసతుననావు? -ఏం లేదు.
-तुमहें तो पता है. . . -बात यह है, डिक-इनस,	-అంటే, తెలుసుగా. . . -విషయం ఏంటంటే, డిక ఇనస,
नौजवान लेखक के लिए सिंगलटन की साहितय पुसतिका	యువ రచయితలకు సింగిలటన సాహితయంపె చేతి పుసతకం
पता है न, खाली हाथों के बारे कया कहते हैं.	పనిలేనివాడి గురించి ఏం చెబుతారో తెలుసుగా.
तुमहें पैसे चाहिए तो पहले मेरा हाथ छोडो.	నీకు నీ డబబు కావాలి, అయితే నా చేయి వదులు.
साल शुरू होने तक पैसे का इंतजाम हो जाता.	కోరసు పరారంభానికి ముందే డబబు సమకూరచాను.
उसने अफवाह फैलाई थी कि हेदर पेट से है?	అతను హేథర గరభవతి అని పుకారు పుటటించాడు?
शायद वह किसी जुगनू से दोसती कर लेती है.	ఆమె మిణుగురు పురుగుతో సనేహం చేసిందేమో.
-सब यहाँ काउनटर पर था. -मुझे नहीं पता.	-అది కౌంటర పెన ఉండాలి. -నాకు తెలియదు.
फिर हवा ने मिटटी से बनी लडकी को देखा.	అపపుడు గాలికి మటటి అమమాయి కనిపించింది.
-खुश हो जाओ, यार! हम आजाद हैं! -हाँ.	-ఉతసాహంగా ఉండు! మనకు విముకతి! -అవును.
कल मेरी लाइबरेरी की किताब खतम हो गई.	నా లెబరరీ పుసతకం నినననే పూరతి చేశాను.
देखो, तुमहें कूदना होगा या उतरना होगा	చూడు, దూకనెనా దూకు లేదా కిందకు దిగు,
मनपसंद परतियोगिता से छुटकारा मिलेगा.	ఇంకా ఎంపిక చేసుకునన సవాలు మినహాయింపు.
