नहीं.	లేదు.
मेरी जान-पहचान का हर पराणी अभी मुझे घूर रहा है.	నాకు తెలిసిన వారు అందరూ ఇపపుడు నననే చూసతుననారు.
डैंपवायर!	డాంపవెరస!
शरीर	బాడీ
हाँ, वे कितने आकरषक लग रहे हैं!	అవును, వాళళు భలే అందంగా ఉననారు!
बुरी बेइजजती करने वाला.	చెతత తిటలు తిటటే వయకతి.
और मैं चाहता हूँ अंग हिलाने का यह कारयकरम कोई भूल न पाए.	అలాగే ఈ డానస ఎవరూ మరచిపోలేనిదిగా ఉండాలి అని కోరుకుననాను.
नहीं!	వదదు!
तुम सच में मजेदार हो. कया तुम मेरे पहले नये दोसत बनोगे?	నువవు భలే సరదాగా ఉంటావు. నువవు నా కొతత ఫరెండ గా ఉంటావా?
यह भाग केवल वयसक पराणियों के लिए है.	ఇది పెదదవారు మాతరమే రావాలసిన పరదేశం.
नहीं!	లేదు!
-"आकरषक पराणी. " -आकरषक. . .	- హాట బీయింగస. - అందమెన. . .
-एक बार और. तुमहें लगभग आ ही गया है. -ठीक है.	- ఇంకొకకసారి. నీకు దాదాపుగా వచచేసింది. - సరే.
कोई बात नहीं. मिलते हैं!	ఏం పరలేదు. మళళీ కలుదదాం!
हाँ. सुना है उसे और रोमांचक बनाने के लिए उनहोंने उसका थीम बदलकर	అవును. చూసతుంటే మరింత ఉతసాహానని తెపపించడానికి వాళళు డానస థీమ ని
हाँ. अलविदा.	సరే. గుడ బె.
ये लोग तो बहुत दुःखी हैं.	వాళలకు ఇది అససలు నచచలేదు.
तुम सही कह रहे हो. मैंने अपनी सजा पूरी कर ली है तो अब मेरी कैद खतम हुई. फिर मिलेंगे.	నువవు అననది నిజమే. నా శికష పూరతి అయింది, కాబటటి ఇక డిటెనషన ముగిసినటటే. మళళీ కలుదదాం.
इससे वाकई चीजों को देखने का एक अलग नजरिया मिला है.	అలా ఆలోచిసతే మనం పరిసథితిని చూసే విధానం మారుతుంది.
मुझे माफ कर दो. मैंने इतना बुरा बरताव किया.	ననను కషమించు. నేను చాలా దురుసుగా వయవహరించా.
-मुझे भी तुमहारी बहुत याद आई. -चलकर कुछ अंग हिलाएँ?	- నేను కూడా నినను మిస అయయాను. - వెళలి డానస వేదదామా?
सबको सुनाई थीं पर यह बात अलग है.	శబదాలు చేశాను, కానీ ఈ సారి వేరు.
चलो, अंग हिलाएँ.	డానస వేదదాం పదా.
मैंने गिना था. यहाँ 98 पराणी हैं.	నేను లెకకబెటటాను. 98 మందే ఉననారు.
पर, मुझे कैसे पता होगा? मेरे साथ तो कभी किसी ने अंग हिलाने नहीं चाहे.	కానీ, నాకు మాతరం ఏం తెలుసు? నాతో ఇపపటివరకు ఎవరూ డానస వేయాలి అనుకోలేదు.
कयोंकि पहाड की चोटी पर एक डाँवाडोल जगह के कारण तुम मरते-मरते बचे!	ఎందుకంటే ఒక కొండశిఖరం మీద దాదాపుగా చచచినంత అనుభవం ఎదురవుతుంది కదా!
कयोंकि तुम अपने मुँह के पतथर यानि दाँत मुझमें घुसाना चाहते हो.	ఎందుకంటే నువవు ననను కొరికి నా రకతం తాగాలి అనుకుంటుననావు కాబటటి.
याद है पिछली बार जब तुमहें माइक दिया था तो कया हुआ था?	కరితంసారి నీకు మెక ఇచచినపపుడు ఏమెందో నీకు గురతుంది కదా?
मुझे तो यह भी नहीं पता कि मेरा शरीर काम कैसे करता है!	నా శరీరం అసలు ఎలా పనిచేసతుందో కూడా నాకు తెలీడం లేదు.
मैं बस चाहता था कि तुम समझो मैं कया महसूस करता हूँ.	నేను ఎలా ఫీల అవుతుననానో నీకు తెలియాలి అనుకుననా అంతే.
मैं समझता हूँ. मैंने आकरषक पराणी वाली टोपी पहनी हुई है तो साफ है, मैं फैनस की भावनाएँ समझता हूँ.	నేను అరథం చేసుకోగలను. నేను కూడా హాట బీయింగస టోపీ పెటటుకుననాను కాబటటి ఆ అభిమానానని అరథం చేసుకోగలను.
मुझे नहीं लगा था ये लोग ऐसा विवरण बना सकते हैं.	వీరు అంత దారుణంగా వివరిసతారు అని నేను అనుకోలేదు.
कम से कम मैं इनसे कोई ऐसी बातचीत कर सकता हूँ	కనీసం నేను వీరితో డాంపవెరస గురించి మాతరమే కాక
मैंने ऐसा कुछ नहीं सोचा था जब मुझे पता चला था कि यहाँ अंग हिलाने का कारयकरम होने वाला है.	ఇకకడ ఒక డానస కారయకరమం పెడుతుననారు అని వినగానే నేనెతే ఇంత బాగా ఏరపాటు చేసతారు అనుకోలేదు.
देखो, किसी पराणी ने नहीं कहा है कि "आकरषक पराणी" कला है. वह तो बस, दरअसल, मजेदार है.	చూడు, హాట బీయింగస కారయకరమం గొపపది అని ఎవరూ అనడం లేదు. కాకపోతే అది బాగా సరదాగా ఉంటుంది.
हमारे दोसतों को दरअसल यह चीज आकरषित करेगी.	ఈ విషయం మన ఫరెండస కి ఆసకతిని పుటటించవచచు.
जमीन में समाने वाला केक. ये सब बढिया हैं.	కరంబుల తరూ ది ఫలోర కేకు. ఇవననీ భలే ఉననాయి.
यह काफी रोमांचक होगा. चलो यही करते हैं.	అందరిలో ఆతరుత పుటటిసతుంది. అలాగే చేదదాం.
"डैंपवायर" जैसे शो विशुदध कला का नमूना हैं. "आकरषक पराणी" में तो कुछ नहीं है.	డాంపవెరస లాంటి కారయకరమాలు సవచఛమెన ఆరట లాంటివి. హాట బీయింగస కారయకరమంలో ఏమీ లేదు.
बहुत थोडी संभावना है कि अंग हिलाने के दौरान यह जगह गरत में गिर सकती है.	డానస వేసతుండగా ఈ పరదేశం అగాధంలోకి కూలిపోవడానికి చినని అవకాశం మాతరమే ఉంది.
अभी पकका नहीं कह सकते. नजर मत लगाओ.	అలా మాటలాడకు. దురదృషటం పటటుకోగలదు.
हमें अगले एपिसोड में पता चल जाएगा.	వచచే ఎపిసోడ లో చూసి తెలుసుకుందాం.
हाँ, मुझे रात को फोन करना. मुझे इस शो के बारे में कुछ जवाब चाहिए!	సరే, రాతరికి ఫోన చెయ. నాకు ఆ షో గురించి కొనని సమాధానాలు కావాలి!
मेरे मजेदार दोसत पराणी कहाँ हैं?	బాగా సరదా చేసేవారు ఎకకడ ఉననారు?
इसमें केवल आठ पराणी आ सकते हैं.	ఇకకడ ఎనిమిది మంది మాతరమే పడతారు.
माफ करना, नये पराणियों को मिलते समय मैं थोडा अटपटा हो जाता हूँ.	సారీ, కొతతవారిని కలిసేటపపుడు నేను కొంచెం వింతగా పరవరతించవచచు.
कया तुम मेरे साथ अंग हिलाओगे?	నువవు నాతో కలిసి డానస వేసతావా?
यह काफी अजीब कारयकरम होने वाला है. पर बुकिंग तो बुकिंग है.	ఇది భలే వింత కారయకరమం అయయేలా ఉంది. కానీ బుకింగ అంటే బుకింగే.
कया? मुझे वह शो पसंद नहीं है.	ఏంటి? నాకు ఆ షో అససలు నచచదు.
अंग हिलाने का कारयकरम आज रात को है? सुना है अब वह केयरफुल नाओ में है. अजीब जगह चुनी है.	డానస ఇవాళే కదా? దానిని కేరఫుల నవ లో పెడుతుననారని విననాను. వింతెన చోటును ఎంచుకుననారు.
मेरे दोसत मुझसे किनारा कर लेंगे. मुझे सबसे अचछा अंग हिलाने का कारयकरम आयोजित करना है!	నా తోటివారు ననను వెలివేసతారు. నేను అననిటికంటే బెసట డానస కారయకరమానని ఏరపాటు చేయాలి!
वह तो पूरे एक सपताह बाद है.	అందుకు ఒక వారం అంతా ఆగాలి!
यह तो बहुत भयानक विचार है.	ఆ మాట వినడమే భయంకరంగా ఉంది.
आज मदद करने के लिए धनयवाद.	ఇవాళ సాయం చేసినందుకు థాంకస.
जब मैं छोटा था, तो मैं भी एक ऐसे ही हालात से गुजरा था.	నా చిననపపుడు నేను కూడా ఇలాంటి సందరభానని ఎదురకొననాను.
ठीक है, शरारती पराणी. चलो चलकर कुछ जगहें देखकर आएँ.	సరే, అలలరి విదయారథి. వెళలి కొనని పరదేశాలను వెతుకుదాం.
यह एक तरह से इनका काम है.	నిజానికి వాళళ ఉదయోగమే అది.
और मुझे बताते हो कि मैं कौन से शो देखूँ या न देखूँ.	నేను ఏం కారయకరమం చూడాలో చూడకూడదో కూడా చెపతుననావు.
हम सब खतम होने वाले हैं!	మనం అందరం చచచిపోబోతుననాం!
और मैं तुमहें बताना चाहता हूँ कि मेरा बरताव तुमहारे परति मेरी असली भावनाएँ नहीं दरशा रहा था.	అలాగే నీ పటల నేను పరవరతించిన విధానం కూడా నేను ఉదదేశపూరవకంగా చేసింది కాదని చెపపాలి అనుకుంటుననాను.
मुझे डर है कि पहले ही सौ पराणी अंग हिला रहे हैं.	ఇకకడ ఇపపటికే వంద మందికి మించి డానస వేసతుననారు.
इसका परभाव तुमहें आकरषक पराणी बना देगा.	ఈ ఎఫెకట నినను హాట బీయింగ గా మారచుతుంది.
उन ननहे जीवों को उससे कहीं जयादा उसकी जरूरत है.	ఆ చినని జీవులకు ఆశరయంగా ఆ పరదేశం మరింత ముఖయం.
"आकरषक पराणी" डैंपवायरस जैसा ही है, बस उसमें मुँह वाले करतब नहीं होते.	హాట బీయింగస కారయకరమం కూడా డాంపవెరస లాంటిదే, కాకపోతే కొరకడాలు ఉండవు.
उस बैनर पर लिखा है "याद रखने लायक एक रात, "	ఆ బయానర లో "గురతుండిపోయే రాతరి" అని ఉంది,
पर मुझे लगता है हम शायद यह रात भूल जाएँगे	కానీ మనం పెదదోళళం అయయే అదృషటం ఉంటే ఖచచితంగా
याद रखने लायक एक रात	ఒక గురతుండిపోయే రాతరి
वे चाहे ताजी नहीं हैं, पर फिर काफी चीजें ताजी नहीं होतीं.	అవి ఫరెష కాకపోవచచు, కాకపోతే ఇకకడ ఉనన చాలా ఐటమలు అలాంటివే.
- सच में? - अगर तुम मेरे साथ अंग हिलाओगे,	- నిజంగా? - నువవు నాతో కలిసి డానస వేసతే
लगता है यह बातचीत थोडी और लंबी खिंचेगी जब तक मैं ये सब उठाता हूँ.	నేను దానిని తిరిగి తీసుకునేలోపు మన సంభాషణ ఇంకొంచెం సేపు సాగొచచు ఏమో.
कितना बेकार नये सबसे अचछे दोसतों वाला अंग हिलाना है. सब नकल करके करते लग रहे हो.	మీ కొతత బెసట ఫరెండ డానస చాలా దారుణంగా ఉంది. పిచచిపిచచిగా తూలుతుననటటు ఉననారు.
-मुझे बहुत पसंद है. -उनका अभिनय तो. . .	- నాకు అది చాలా ఇషటం. - వాళళ నటన. . .
पर इसीलिए तुमहें अपने दोसत के साथ मिले इस सीमित समय को बरबाद नहीं करना चाहिए,	కాబటటి అందుకే నువవు నీ ఫరెండ తో నీకునన కొదది సమయానని తనపె కోపం పెంచుకుంటూ
बीइंगसबरग हाई सकूल	బీయింగస బరగ హె సకూల
तुम अटपटे नहीं थे.	నువవేం వింతగా లేవు.
वह भी अभी तक नहीं.	ఆ పని కూడా చేయలేదు.
सब लोग, अंग हिलाओ!	అందరూ, డానస వేయండి!
- मुझे नहीं लगता. . . - अचछा लग रहा है. हम इसे ले लेंगे.	- ఏమో. . . - నాకెతే ఐడియా బానే ఉంది. మేము తీసుకుంటాం.
अब अपने सबसे अचछे दोसत को पकडो और वह करो जो केवल आप और वह जानते हैं	ఈ పాటకు, మీ బెసట ఫరెండ ని పటటుకుని మీరు, వాళళు మాతరమే వేయగల డానస వేయండి
आप आयोजन समिति को सजा के तौर पर इसतेमाल नहीं कर सकते.	మీరు పలానింగ కమిటీని శికషలు వేయడానికి వాడుకోకూడదు.
तो मुझे उस लॉकर में जाने की तो बिलकुल जरूरत नहीं है.	కాబటటి నేను ఆ లాకర లోకి వెళలాలసిన పని అససలు లేదు.
लगभग खतम होने जैसा कुछ रख दिया है.	చచచిపోవడంగా మారచారు అని విననాను.
इसे फिर से लंबा खींचना असामानय होगा. इसलिए, अलविदा.	మళళీ సాగదీసతే అపపుడు అంత బాగోదు. కాబటటి, గుడ బె.
इस अंग हिलाने के कारयकरम ने मुझे बहुत हताश किया है.	ఈ డానస కారయకరమానని ఏరపాటు చేయడం కొంచెం కషటమెంది,
वाकई नहीं था. कोई छल नहीं कर रहा.	వేరే దారి లేదు. అది కూడా నిజమే.
ताकि मैं चीजों को अलग नजरिए से देख पाऊँ.	మరొక దృకకోణం నుండి పరిసథితులను చూడగలను.
ये सब इकटठा करने में मैं तुमहारी मदद कर देता पर ऐसा करने से	నాకు కూడా నీకు సాయం చేదదామనే ఉంది, కానీ అలా చేసతే ఈ ఇబబందికరమెన
