मैडेलिन पयू सटाफ लेखक	మయాడలిన పయూ సటాఫ రెటర
उसने पहले ही डेसी की कहानी. . .	ఆమె అపపటికే ఈ కథ చూసేసింది. . .
पर वे लूसी और डेसी थे,	కానీ అది లూసీ, డెసిలు,
-नाव पर? -हाँ.	-పడవా? -అవును.
-हाँ. -मुझे माफ कर दो.	-అవును. -ననను కషమించు.
नहीं.	లేదు.
गोसट.	ఘోసట.
सबसे मशहूर टेलीविजन सटार से	వారు అతయంత పరముఖ టీవీ తారను
बिल?	బిల?
बिल.	బిల.
तुम जानते थे कि रसटी को वफादारी की शपथ लेनी पडी?	రసటీ విధేయత పరతిజఞపె సంతకం చెయయాలని నీకు తెలుసా?
रॉजर ऑटर, फिलिप मॉरिस.	రోజర ఆటర, ఫిలిప మోరిస.
उनहें कुछ नहीं पता.	వాళల దగగర అది లేదు.
फिलिप मॉरिस शो का परायोजक है.	ఫిలిప మోరిస షోకు డబబులిసతాడు.
कॉकटेल पारटी में,	కాకటెయిల పారటీలో,
फिलिप मॉरिस	ఫిలిప మోరిస
सोच रहे होगे कि कया चल रहा है.	ఏమి జరుగుతుందని ఆలోచిసతుననావు.
मुझे पता है.	నాకు తెలుసు.
-मजाक कर रही है. -पता है.	-తమాషా చేసతోంది. -తెలుసు.
जिसका अधयकष अभी आपसे बात कर रहा है.	మాటలాడుతుననారని చెపపాలనుకుంటుననాను.
"पलेटें, चममच, वगैरह. "	పింగాణీ పాతరలు వగెరా. "
कुछ समय बाद दरवाजा खुलता है, रिकी अंदर आता है.	ఒకక కషణం తరువాత, తలుపు తెరుచుకుని రికీ వసతాడు.
-हम उस पर काम करेंगे. -शुकरिया.	-దాని సంగతి చూసతాం. -ధనయవాదాలు.
-नहीं. -रैलफ?	-లేదు. -రాలఫ?
हाँ, बेशक.	ఓహ, అవును.
-ये नए पानी के गिलास कैसे लगे? -डिनर पर कौन आ रहा है?	-కొతత నీళల గలాసులు నచచాయా? -భోజనానికి ఎవరు వసతుననారు?
लूसी. . .	లూసీ. . .
टू मैनी गरलस.	టూ మెనీ గరలస.
लडकी को भी हारलम में एक बैंड में काम मिला	ఆమె హారలెమలో ఒక బయాండతో పనిలో కుదురుకుంది
तुमहारे साथ काम करने को बेताब हूँ.	మీతో పనిచేయటానికి ఎదురుచూసతుననాను.
नहीं.	లేదు.
नहीं.	పోను.
लूसील	లూసీల
बैसटील	బాసటీల
मैंने तुमहारा आधा सूट ले लिया.	నీ టకసీడోలో ఒక భాగం తీసుకుననా.
सपने.	కలలు.
तो मैं संतुषट ही रहना चाहूँगी.	అందుకే అది చాలు అనుకుంటుననాను.
-लेकिन. . . -लेकिन कया?	-కానీ. . . -కానీ ఏమిటి?
रुको, कया?	ఆగు, ఏంటి?
और फेड आउट होगा. शो का अंत.	నలల తెర వసతుంది. షో సమాపతం.
नहीं.	లేదు.
डेस.	డెస.
लूसी?	లూసీ?
-नहीं, मुझे उसकी परवाह नहीं. -मुझे तो है.	-అవననీ పటటించుకోను. -నేను పటటించుకుంటాను.
कया डेसी सच में लूसी को चाहता है?	డెసి నిజంగా లూసీని పరేమిసతుననాడా?
-मुझे यह वाकई पसंद है. -पीठ थोडी और कस सकता हूँ.	-నాకిది బాగా నచచింది. -వీపు కాసత పటటేలా పెడతాను.
कया पहले ही इतना सब कुछ. . .	ఇపపటికే చాలా జరగటం లేదా. . .
-वाकई खुश हूँ. -बहुत खुश हूँ.	-నిజంగా సంతోషం. -చాలా సంతోషం.
सेट से बाहर जाना अचछा रहेगा.	సెట వదిలి వెళళటం బాగుంటుంది.
और वह अंगूर मसलेगी.	దరాకషలు తొకకుతుంది.
अंदर आ जाओ.	లోపలికి రా.
-उसकी बाली खो जाती है. -हल मिल गया.	-చెవిరింగు పోగొటటుకుంటుంది. -అదుగో.
नहीं!	లేదు!
जब उससे कुछ पूछा जाता है, वह झूठ नहीं बोल सकती, तो. . .	సహకరించమని ఆమెను అడిగినపపుడు, అబదధం చెపపలేదు, అందుకని--
रिकी रिकारडो को अमरीका से, अमरीकी होने से पयार है.	రికీ రికారడోకు అమెరికా ఇషటం. అమెరికనగా ఉండటం ఇషటం.
वह आभारी है. कभी कर-चोरी नहीं करेगा.	అతను కృతజఞతతో ఉననాడు. పనను ఎగగొటటడు.
-मेरी बात सुनो! -कया?	-నా మాట విను! -ఏమిటి?
तुमहें परतिबंधों की सूची देगी,	పరిమితుల జాబితాను ఇసతారనుకుంటా
माफ करना, वह हर मंच निरदेश पर तुनक रही थी.	కషమించు, ఆమె పరతి దరశకతవానని విమరశిసతుంది.
-वैसा आमतौर पर अकेले में करती है. -हाँ.	-సాధారణంగా పరెవేటగా జరుగుతుంది. -అవును.
-तुमने वह सब सुना? -हाँ.	-నీకు అంతా అరథమెందా? -ఆ.
-मुझे अचछा लगा. -मुझे भी.	-నాకది నచచింది. -నాకకూడా.
पूरी रात का बयौरा दिया है. तुमहारे दल में कोई मुखबिर है.	రాతరంతా ఏమి జరిగిందో రాసారు. మీ వాళలలో ఎవరో ఉపపందించారు.
तुम पर यकीन है.	నినను నమముతాను.
सीरोज	సిరోస
नहीं.	లేదు.
अंदर आ जाओ.	లోపలికి రా.
टीनो ने कहा था. उस लंबे वेटर ने.	టీనో అనుకుంటా. ఆ పొడవాటి వెయిటర.
-हो सकता है. -हो सकता है? हॉवरड?	-అనుకుంటాను. -అనుకుంటానా? హోవరడ?
हॉवरड.	హోవరడ.
तुम कितनी गरभवती हो?	ఎనని నెలల గరభం నీకు?
नहीं.	లేదు.
डेसी.	డెసి.
लूसी, मुझे यहाँ से जाने दो!	లూసీ, ననను బయటకు తీసుకెళళు!
-कुछ बडी गलती थी. -उसे मैं देख लूँगा.	-సాధారణమెన విషయం. -నేను పరిషకరిసతాను.
-वह बीमे में है? -मेरा पलैटिनम पलान है.	-బీమా కవర చేసతుందా? -పలాటినం పలాన ఉంది.
तुमहें घबराहट का दौरा पडा है.	నీకు కాసత నలతగా ఉందనుకుంటాను.
विव.	వివ.
तुम ठीक तो हो?	బాగానే ఉననావా?
आज सुबह मैडेलिन मेरे लिए नाशता लाई थी.	మయాడలిన నాకోసం ఉదయం అలపాహారం తెచచింది.
-यह कारगर है. -तुमहारे लिए अचछा नहीं.	-అది పని చేసతోంది. -నీకు మంచిది కాదు.
या तुमहारे लिए?	లేక నీకు సమసయా?
उसके लिए शुकरिया, विव.	అందుకు ధనయవాదాలు, వివ.
हमें दिखाना है कि मैं सुंदर मेज सजा रही हूँ.	నేను అందమెన బలల ఏరపాటు చేసతుననానని తెలియాలి.
इसलिए बगीचा कैंची चाहिए.	అందుకే తోట కతతెర కావాలి.
-जाओ. -हाँ.	-వెళళు. -ఆ.
चुनिंदा लोग हैं.	సంతోషకరమెన గరూప.
-कभी मुझे काम पर धुतत देखा है? -मुझे पता चलेगा?	-నేను పనిలో తాగడం ఎపపుడెనా చూసావా? -తెలుసతుందా?
नहीं.	లేదు.
-तुम काम पर नहीं होते? -आजकल सटटेबाज और टेलीफोन होते हैं.	-పనిలో ఉండాలి కదా? -ఇపపుడు బుకీలతో పాటు టెలిఫోనలు ఉననాయి.
तो सेट पर रौब कयों जमा रही हो?	అయితే ఎందుకు సెట నడుపుతుననావు?
एक ऐसा वकत भी था	సీరియస సినిమాలలో
डेसी!	డెసి!
लूसी?	లూసీ?
द बिग सटरीट!	ద బిగ సటరీట.
दो हफतों में.	రెండు వారాలు.
मैं हर फैसला तुमहारे पास रहने के लिए करती हूँ.	నేను తీసుకునే పరతి నిరణయం నీకు దగగరగా ఉండాలనే.
वॉली पिप.	వాలి పిప.
तुम एक फिलम सटार बनोगी.	ఇపపుడు నువవు సినీతారవు.
लूसील.	లూసీల.
द बिग सटरीट में तुमने जो कमाल दिखाया,	ద బిగ సటరీటలో నీ అంత అదభుతంగా ఉననవారు
आरकेओ तुमहारा करार रदद कर रहा है.	ఆరకేఓ నీ కాంటరాకటు రదదు చేసతోంది.
बस शुरुआत भर ही है.	అది కేవలం పరారంభమే.
जूडी हॉलिडे एक काम अचछा जानती है, पर सिरफ एक ही काम.	జూడీ హాలిడే ఒక పనిని బాగా చేసతుంది. కానీ కేవలం ఒకటే.
रेडियो.	రేడియో.
लूसी?	లూసీ?
हाँ.	ఔను.
अचछी समीकषा मिली थी, पर मैं खुशी से उछला नहीं.	సమీకషలు బాగుననాయి. నేను సొంత డబబా కొటటుకోలేదు.
-लूसी, तुम ठीक हो? -हाँ, मैं ठीक हूँ.	-లూసీ, బాగానే ఉననావా? -అవును, ఉననాను.
नहीं.	లేదు.
रिकी ऐसा ही मजाकिया है.	రికీకి ఇది సరదాగా ఉంది.
-जिम. -लंच हो गया.	-జిమ. -భోజనాల వేళ.
-यहाँ सब ठीक है? -हाँ.	-అంతా బాగానే ఉందా? -ఆ.
-तो तुम में कॉमेडी की समझ नहीं. -ऐसा नहीं मानती.	-నీకు కామెడీ గురించి తెలీదని అరథమవుతుంది. -లేదు.
जूडी हॉलिडे.	జూడీ హాలిడే.
मिसटर आरनेज?	మిసటర అరనాజ?
तुमसे आगे का सोचा है.	నేను చాలా ముందుననాను.
मैं एक पुजारी, पादरी और रबाई से हर सकरिपट पढवाऊँगा.	పరతి సకరిపట ఒక పరీసట, మినిసటర, రాబె చేత చదివిసతాను.
इसमें मजाक छुपा है.	అకకడే ఏదో జోక ఉంది.
तो, हाँ, सब बढिया है. कयों पूछ रही हो?	అంతా బాగానే ఉంది. ఎందుకు అడుగుతుననావు?
एथल फरेड को और जोर से कोहनी मारेगी.	ఎథెల ఫరెడను ఇంకా గటటిగా పొడుసతుంది.
नहीं.	లేదు.
जे-ई-एल-एल-ओह!	జే-ఈ-ఎల-ఎల-ఓహ!
दो लोग जो साथ जीना पसंद करते हैं.	ఆనందంగా కలిసుండే ఇదదరు వయకతులుగా.
"और लिज नौकरानी केटी से बात करने रसोई में जा रही है. "	పనిమనిషి కేటీతో మాటలాడటానికి లీజ వంటగదిలోకి వెళుతుంది.
यहाँ दो सजजन तुमसे मिलना चाहते हैं.	నినను కలవాలని ఇదదరు వయకతులు వచచారు.
इतना डराना किसलिए? वे यूँ ही अंदर नहीं आ सकते?	అలా అరిషటంలా అనిపించాలా? ఊరికే లోపలికి రాలేరా?
डेविड हारट, वरतमान परोगराम परमुख, सीबीएस.	డేవిడ హారట, కరెంట పరోగరామింగ హెడ, సీబీఎస.
वह अमरीकी है.	అతను అమెరికన.
शुकरवार शो की रात	శుకరవారం షో రాతరి
आरकषित - आरकषित - आरकषित	రిజరవడ - రిజరవడ - రిజరవడ
वह उनहें मिल जाएगा. उसे मेरे फोन का इंतजार है.	వారు అతనని వెతుకుతారు. నా కాల కోసం చూసతుననాడు.
हाँ, सर.	సరే, సర.
इस हफते और तनाव नहीं देना चाहिए था. बस. . .	ఈ వారం ఒతతిడిని పెంచాలసింది కాదు. నేను. . .
एक बात जानती हो,	ఒక విషయం తెలుసా,
