हाँ.	సరే.
चिंता मत करो, कैनी. मुझे कुछ महसूस नहीं हो रहा है.	కంగారుపడకు, కెననీ. నాకు మతతుగా ఏమీ అనిపించడం లేదు.
मैंने मेजर कलेवेन के विमान पर सीधे गोली लगकर उसे गिरते हुए भी देखा.	అలాగే మేజర కలెవెన విమానం దాడిలో దెబబతిని నేలకూలడం పరతయకషంగా చూశాను.
- अगर तुम कहते हो तो. - बहुत खूब.	- నువవు ఎలా అంటే అలా. - బయూటిఫుల.
वे नहीं बदलेंगे.	వాళలు అలా చేయరు.
हद है.	డామిట.
डयूटी ऑफिसर	డయూటీ ఆఫీసర
मेजर?	మేజర?
नहीं.	లేదు.
आपका मुखय लकषय मुंसटर है.	మీ పరాథమిక లకషయం, ముంసటర.
धनयवाद, रेड.	థాంకయూ, రెడ.
मारे जाएँ या लापता हो जाएँ.	మనం ఇపపుడే దాడి చేయడం మేలు.
बुरा ही महसूस कर रहा हूँ. वह मुझे दो.	నాకూ అలాగే అనిపిసతోంది. ఇది ఇలా ఇవవు.
जैक!	జాక!
रॉयल फलश.	రాయల ఫలష.
रॉयल फलश.	రాయల ఫలష.
धनयवाद, लॉयड.	థాంకస, లాయిడ.
रॉयल फलश	రాయల ఫలష
बॉमबारडियर बोल रहा हूँ.	బంబారడియర సిదధం చేయాలి.
नहीं.	లేదు.
धत तेरी की. हैरी, साँस लो, हैरी.	డామిట. హయారీ, శవాస పీలచు, హయారీ.
कृपया, हैरी.	పలీజ, హయారీ.
पायलट, बॉमबारडियर के लिए, हम लकषय के करीब पहुँच रहे हैं. कया तुम तैयार हो?	బంబారడియర కి పెలెట సందేశం, మనం లకషయానికి దగగరవుతుననాం. దాడులకు మనం సిదధమా?
पायलट, बॉमबारडियर के लिए. विमान तुमहारा हुआ.	బంబారడియర కి పెలెట సందేశం. ఇక ఇది నీ విమానం.
हैमबोन! हैमबोन!	హాంబోన! హాంబోన!
बाकी के कहाँ हैं?	మిగతా అందరూ ఎకకడ?
बबलस का कया हुआ?	బబులస కి ఏమెంది?
बहुत हुआ.	ఇంక చాలు.
वह काफी कठिन था.	అది కషటమెన మిషన.
तुमहें वापस विमान में बैठकर कमबखत काम पूरा करना चाहिए.	నువవు తిరిగి యుదధంలోకి వెళలి మిగిలిన లకషయానని ముగించు.
नहीं, चमतकार तो करॉज का दिशा-निरदेश था. एक डिगरी इधर-उधर होता, तो हम पानी में उतरते.	లేదు, అదభుతం అంటే కరోజ నెపుణయమే. ఒకక డిగరీ తేడా వచచినా మేము నీటిలో మునిగిపోయేవాళలం.
फुटबॉल के आकार का एक बम का टुकडा हमारे फोरट के सामने के हिससे से टकराया था,	ఫుట బాల సెజులో ఉండే బాంబు శకలం ఒకటి వచచి మా విమానం ముందు భాగానని ఢీకొటటింది,
मैंने तुमहारी पतनी को एक चिटठी लिखी. हम सभी को लगा कि तुम. . .	నీ భారయకి నేను ఉతతరం రాశా. నువవు ఇక రావని మేమంతా అనుకుననాం. . .
उनके विमान में आग लगी थी और फिर विमान के चीथडे उड गए.	వాళల విమానానికి మంటలు అంటుకుని ఆ తరువాత పేలిపోయింది.
- बस किसमत अचछी थी. - हाँ, तुम यह इतना अकसर करते हो	- పూరతిగా అదృషటం. - అవును, అలాంటివి జరగడం చాలా అరుదు
मुझे वे दिख रहे हैं. सीधे सामने. बचने के पैतरें!	నాకు కనిపిసతుననారు. నేరుగా పోనివవు. పలటీలు కొటటు!
मुझे नहीं लगता कि यह माहौल मेरे लिए मददगार है.	ఈ వాతావరణం నాకు సరిపోతుందని నేను అనుకోవడం లేదు.
अब भी यही लगता है कि तुम बेहतरीन नैविगेटर हो.	ఇపపటికే నువవే బెసట నావిగేటర అని నా అభిపరాయం.
सकवाड लीडर इगन विनयास से बाहर निकल रहे हैं.	సకవాడ లీడర ఈగన ఫారమేషన నుండి తపపుకుంటుననాడు.
उनमें से एक से रेडियो पर मेरी बात करवाओ.	వాళలలలో ఎవరినెనా రేడియోలో మాటలాడించండి.
यह मत सोचना कि मैं इसे लेकर नाराज हूँ.	ఆ విషయంలో నేను బాధపడుతుననాను అనుకోవదదు.
मेजर? करनल हारडिंग आपको बुला रहे हैं.	మేజర? కలనల హారడింగ మీ కోసం చూసతుననారు.
करॉज, हारडिंग तुमसे मिलना चाहते हैं.	కరోజ, హారడింగ నినను చూడాలి అంటుననాడు.
