हर रोज?	రోజూనా?
भावनातमक तौर पर सबसे मुशकिल हिससा वह पल होता है	వారు ఆ పనిని విజయవంతంగా చేసినపపుడే ఈ పరకరియలోని
नहीं.	లేదు.
नहीं.	లేదు.
अरे, इधर आओ.	హేయ, ఇలా రా.
-तैयारी करना सफलता की कुंजी है. -मुझे नहीं लगता यह हमेशा सच होता है.	- జీవితంలో ఏం సాధించాలననా సిదధంగా ఉండాలి. - అదేం ఖచచితంగా నిజం కాదు.
तुमने सच में इसका नाम, संभावना रखा है?	మీరు దీనిని ది చానసి అని పిలిచారు కదా?
याद है जब तुम छोटे पराणी थे, तुमहारी शिकषा के पहले दिन कया हुआ था?	నీ చిననపపుడు మొదటి రోజు నినను సకూల లో దించినపపుడు ఏమెందో గురతుందా?
कय. . .	ఏం. . .
तो, सवाभाविक है, मुझे थोडी चिंता हो रही है.	కాబటటి, సహజంగానే నాకు కొంచెం కంగారుగా ఉంది.
अगर आप मुझे एक पल के लिए भी साँस लेने दें. . .	నువవు కాసత ననను ఒక కషణం ఊపిరి తీసుకోనిసతే. . .
मुझे!	నాకు!
ठंडी सलाइम टयूब?	చలలని జిగట టయూబ?
किसी समुदरी यातरा पर खाने के लिए वह सबसे बुरा सनैक है.	సముదర పరయాణం చేసతుననపపుడు ఇది అససలు తినాలసిన ఐటమ కాదు.
शायद आपने उसे तैयार कर दिया हो.	బహుశా మీరు తగిన శికషణ ఇచచారేమో.
अरे, नहीं. सलाइम.	ఓహ, లేదు. ఆ జిగట.
यह बीनस के कारण है!	ఇది బీనస కారణంగానే!
हालाँकि अब मैं फिर कभी सलाइम टयूब नहीं खा पाऊँगी.	కానీ నేనెతే ఇక మళళీ ఎపపటికీ ఆ జిగట టయూబ ని తినను.
मैनेजर वापस आ गई है. . . अगर तुम उससे मिलना चाहते हो.	మేనేజర వచచారు. . . నీకు వారిని కలవాలని ఉంటే వెళలొచచు.
फलिप फलॉपर की लडाई करें?	పయాన కేకు యుదధం చేదదామా?
