वाह.	వావ.
नहीं.	లేదు.
-हैलो! -हैलो!	-హోలా! -హోలా!
हैलो, लडकियों.	హలో, అమమాయిలూ.
डयूटी के समय कभी आराम मत करना. "	డయూటీ లో ఎపపుడూ రిలాకస కావదదు. "
-बाद में मिलूँगी. -धनयवाद.	-మళలీ కలుదదాం. -ధనయవాదాలు.
कया सच में गडबडी है?	అది అలా అనిపిసతోందా?
लोटो - विन 100, 000 कलाफिन एंड संस	లొటటో - లకష గెలవండి కలాఫిన అండ సనస
-सुपरभात, टॉम. -हैलो. सुपरभात, लिज. चिप खाना चाहोगी?	-శుభోదయం, టామ. -హాయ, శుభోదయం, లిజ. నీకు చిప ఇషటమేనా?
नहीं.	లేదు.
शायद तुमने मुझे संदिगध बना दिया है.	నా మీద అనుమానం వచచేలా మాటలాడబోయావు.
वह भूल जाओ.	ఇంక మరచిపో.
-गरेस. -सीधे बेबी बी को फोन किया.	-గరేస. -నేరుగా బేబీ బీకి చేసింది.
पसंद तो है.	నాకు ఇషటమే.
नहीं आ सकती.	నేను రాలేను.
पता नहीं. यह हमारा पलान बी हो सकता है. "बी" से बेबी बैका.	నాకు తెలియదు. అది మన పలాన బి కావచచు. "బి" అంటే బేబీ బెకా.
नहीं, बिबी. नहीं.	వదదు, బీబీ. వదదు.
हैलो रॉजर. मैं ऑसकर हूँ	హాయ రోజర. నేను ఆసకర ని.
मुझे लगा हम मिलकर जशन मनाएँगे.	మనం ఏదెనా చేదదామని అనుకుననాను.
गनाश.	గనాష.
गनाश.	గనాష.
नहीं.	లేదు.
टरू गरेस	టరూ గరేస
येय.	యాయ.
नहीं.	లేదు.
और मेरी आँख इसकी वजह नहीं है. तुमहें निशाना लगाने के लिए दो आँखें नहीं चाहिए.	ఇది నా కనను గురించి కాదు. మనం లకషయానని గురి పెటటడానికి రెండు కళలు అవసరం లేదు.
बिबी.	బీబీ.
अगर है, तो मैं एथलीट हूँ.	అదే అయితే, నేను అథలెట ని.
मैं घर पर महिलाओं से घिरा हूँ.	ఇంటలో నా చుటటూ ఆడవాళలే ఉననారు.
-या शायद हमें पहले कोई सांसकृतिक चीज देखनी चाहिए. -सच में? यह जरूरी है?	-లేదా కొదది సమయం సంసకృతి కోసం వెచచిదదాం. -నిజంగానా? మనం అలా చేయాలంటావా?
और तुमहारे ननहें शॉरटस भी. नहीं.	నీ పొటటి లాగూలు. అవి మాతరం వదదు.
-और तुमहारे टरेडिंग कारड भी. -नहीं, वह तुमहारे कॉमिकस नहीं जलाएँगी.	-ఇంకా నీ టరేడింగ కారడులని కూడా. -లేదు, తను నీ కామికస ని తగులబెటటదు.
सजा देने के बारे में सोचने से पहले, तुमहें शांत होने का इंतजार करना चाहिए.	నీ కోపం వలల జరిగే పరిణామాల గురించి నువవు ఆలోచించుకునే వరకూ శాంతంగా ఉండాలి.
मेरे परिणाम में निकला कि. . .	నా వయకతితవ లకషణం ఏమిటంటే. . .
कि कैसे वो यह बेहतर तरीके से कर सकता है?	మనం ఇంకా బాగా ఎలా చేయాలి అని ఆలోచిసతాడా?
पर तुम सबसे अचछे अभिभावकों में से एक हो.	కానీ నాకు తెలిసిన అతి మంచి తలలివి నువవు.
और बलानड के लिए.	ఇంకా బలానడ కోసం.
तुमहारे लिए यह कहना आसान है. उसने तुमहारी जिंदगी बरबाद नहीं की.	నీకు అంతా మంచిగానే ఉండచచు. వాడు నీ జీవితానని నాశనం చేయలేదు కదా.
इवा.	ఈవా.
-अलविदा. -अलविदा.	-ఉంటాను. -ఉంటాను.
जिससे उबरना कठिन था?	కోలుకోవడం కషటమయిందా?
वह बेवकूफ कयों है?	వాడు ఎందుకు దదదమమ?
नहीं?	లేదా?
पर तुम कोई नरतकी नहीं हो.	కానీ నువవు షోగరల వి కావు.
-कल कोशिश करना. -ठीक है.	-రేపు పరయతనించు. -అలాగే.
हाँ.	సరే.
हमें बस गोलियाँ बदलने का तरीका सोचना होगा.	వాటిని బయటకు ఎలా తీసుకువెళతామో ఆలోచించాలి.
-तुमहें बिलकुल सटीक निशाना लगाना होगा. . . -हे भगवान. मैं यह कर सकती हूँ!	-నువవు ఖచచితంగా గురి చూసి కొటటాలి. . . -ఓహ, దేవుడా. నేను ఈ పనిని చేయగలను!
इवा, तुम और मैं जेपी को लकषय बनाएँगे.	ఈవా, నువవు నేనూ జెపి మీద గురి పెడదాం.
-हाँ. -बढिया है.	-అవును. -మంచిది.
वह तुम हो, मैमी.	అది నువవే, మామీ.
अब कया करें?	ఇపపుడు ఏంటి?
चलो भी!	ఇలా రా!
अब कया करें? बिबी.	ఇపపుడు ఏంటి? బీబీ.
-हैलो! -ठीक है, दोसतों.	-హాయ! -అలాగే, కురరాళలూ.
तुम सटीक निशाना लगा सकती हो!	నీకు సపషటమెన గురి దొరికింది!
बिबी.	బీబీ.
कया हो रहा है?	ఏం జరుగుతోంది?
नहीं, नहीं, नहीं.	లేదు, లేదు, లేదు.
किस दुरघटना को लेकर? जिसमें मेरे माता-पिता मारे गए या जिसमें मेरी आँख फूटी?	ఏ పరమాదం? మా తలలిదండరులు మరణించిన పరమాదమా లేక నేను నా కనను కోలపోయిన పరమాదమా?
मैंने उसका फोन तोड दिया था, अरस. वह फोटो मिट चुकी है, तुम सुरकषित हो.	వాడి ఫోనుని నేలకేసి కొటటాను, ఉరస. ఆ ఫోటోలు ఇంక పోయాయి, నీకేం ఫరవాలేదు.
पता है मैंने कया सोचा? मैंने सोचा, "वह गरेस है, और मैं वह कमीना हूँ. "	నేను ఏం ఆలోచించానో తెలుసా? "తను గరేస, నేను ఆ చెతతవెధవని" అనిపించింది.
और उससे भी बुरी बात है, कि उसने इसकी जिममेदारी लेने से इनकार कर दिया.	అంతకననా ఘోరమెనది ఏమిటంటే, అందుకు అతను కనీసం బాధయత కూడా తీసుకోనననాడు.
डैड आलीशान जीवन जीते थे, और मैं और मॉम उनकी गलतियों की भरपाई करते थे.	నానన జలసాగా బతికాడు, కానీ నేను, అమమ ఆ గందరగోళం నెతతినెతతుకునే వాళలం.
नहीं, वे बस मेरी और जेपी की दुरघटना के बारे में बात करना चाहते थे.	లేదు, వాళలు కేవలం జెపితో జరిగిన పరమాదం గురించి మాటలాడటానికి వచచారు.
तुमहें लगता है वह अपने पेरेंटिंग कौशल के बारे में सोच भी रहा होगा?	వాడు కనీసం కషణమెనా తన పెంపకం తీరుని సమీకషించుకుంటాడు అనుకుంటుననావా?
कया? मैं बस एक बेवकूफ बचचा था जो तुमहारी परेशानियाँ बढाता था?	ఏంటి? నినను మరింత గందరగోళం పెటటిన తెలివితకకువ పిలలవాడినా నేను?
तुम उसे पेंटबॉल के दौरान मारना चाहती हो? यह बेतुकी योजना है.	పెయింట బాల తో అతడిని చంపేయాలి అనుకుంటుననావా? అది పిచచి ఆలోచన.
मैं डॉनल हूँ, मैं एक पैरामेडिक हूँ. यह अरसला है, यह नरस है.	నా పేరు డోనల, నేను పారామెడిక ని. తన పేరు ఉరసులా. తను ఒక నరస.
यह कहने की जरूरत नहीं है, पर तुमसे भी यही वादा किया जाएगा.	నీకు చెపపనకకరలేదు, నీకు కూడా అటువంటి రహసయమే అందించబడుతుంది.
उसकी देखभाल करना और शांत रखना तुमहारा काम है. समझे, डैडी?	ఆమెను మంచిగా, పరశాంతంగా ఉంచే బాధయత మీదే. సరేనా, తండరిగారూ?
नहीं. और कृपया, कृपया उसे मत बताना. मैं अनुरोध करती हूँ.	లేదు. దయచేసి, దయచేసి తనకి చెపపకు. నినను వేడుకుంటుననాను.
मुझे खेद है कि तुमहारे परिवार ने तुमहारा साथ नहीं दिया.	నీ కుటుంబంతో నువవు కషటాలు ఎదురకొననందుకు నాకు బాధగా ఉంది.
-तुम तैरने आना चाहोगी? -हाँ, हम तुमहारा इंतजार करेंगे.	-నువవు కూడా ఈత కోసం రాగలవా? -అవును, నీ కోసం వేచి ఉంటాం.
बिबी को देखो. उसने पल भर में उसकी जिंदगी तबाह कर दी.	బీబీని చూడండి. తన జీవితానని అతను కషణంలో నాశనం చేశాడు.
वैसे, उसने अपने बीमा दावा परपतर में तुम पर दोष डाला.	సరే, కానీ అతని ఇనసూరెనస ఫారమ లో మిమమలని నిందించాడు.
उसे महसूस करवाएँगे कि वहाँ हम उसके असली दुशमन हैं.	మనం అకకడ అతనికి నిజమెన పరతయరథులం అనే భావన కలపిదదాం.
-हाँ, मुझे पता है. उसके दिमाग में बस वही है. -हाँ.	-అవును, తెలుసు. ఈ పనిలో నిమగనం అయిపోయాడు. -అవును.
मैं तुमसे वहीं मिलूँगी, पर मेरे बिना कुछ मत करना.	నినను అకకడ కలుసతాను, కానీ నేను లేకుండా ఏమీ చేయదదు.
मुझे माफ कर दो, बी. मैं बस बिना सोचे बडबडाती गई.	కషమించు, బీ. నాకు ఒకకసారిగా ఆవేశం వచచి తిటటేశాను.
-एक सजजन कभी यह राज नहीं खोलेगा. -तुमहें हुआ है.	-చితరకారుడు ఎపపుడూ చెపపడు. -నీ జీవితంలో జరిగింది.
-किसी का निशाना काफी तेज है. -हाँ, मेरा निशाना.	-సరే, ఇకకడ ఎవరో విలువిదయలో దిటట. -అవును, నేనే.
और उसकी चाबी उसके डेसक पर रखे फुटबॉल मग में है.	దాని తాళం డెసకు మీద ఉనన ఫుట బాల మగ లో ఉంటుంది.
तुम मेरा सामान कयों छू रहे थे, मैट? कृपया. . .	నా వసతువులతో ఏం చేసతుననావు, మయాట? దయచేసి. . .
फाइल उसके डेसक के सबसे नीचे वाले दराज में है.	ఆ ఫెలు అతని డెసకు కింది డరాలో ఉంది అనుకుంటా.
-ए, वह तुमहारे भी डैड हैं. -नहीं, नहीं हैं.	-హేయ, ఆయన నీకు కూడా తండరే. -లేదు, అతను కాదు.
तुम पीने के बाद होश में नहीं रहती हो, समझी? तुमहारे साथ फिलम देखने जाना संभव नहीं है,	నువవు నీ డరింక ని కూడా సరిగా చూసుకోవు, సరేనా? నువవు సినిమాకి వెళలే తీరు ఘోరంగా ఉంటుంది,
-उसे मेंढकों को डुबोकर मारना पसंद था. -कया?	-కపపలని ముంచి చంపేయడం వాడికి ఇషటమట. -ఏంటి?
कया मेरी बहनों के पास तुमहारी दिनचरया है?	మా అకకచెలలెళలకి మీ షెడయూల ముందే చెపపారా?
हमारा इरादा उसे चोट पहुँचाने का नहीं है. वह तो मैं घूँसा मारकर ही कर सकती हूँ.	ఆ మనిషిని గాయపరచాలననది మన ఉదదేశం కాదు. ఆ పని అయితే నేను నా పిడికిలితోనే చేయగలను.
वह हमेशा बिन बचचे वाली को फोन करती है.	తను ఎపపుడూ పిలలలు కనని వారికే చేసతుంది.
तुमहारे पास वह सब करने का समय होगा? कयोंकि उस दिन काफी हंगामा हो रहा होगा.	ఇదంతా చేయడానికి నీకు టెమ ఉంటుందా? ఎందుకంటే ఆ రోజు చాలా హడావుడిగా ఉండబోతుంది.
वो यह. . . वो यह सवीकार नहीं कर पाया.	నేను. . . నేను దానిని తటటుకోలేకపోయాను.
वादा करो कि तुम उससे कभी नहीं मिलोगी.	అతడిని మళలీ కలవనని నాకు పరమాణం చేయి.
और नीचे वाले दराज में रखे वह पॉलिसी?	ఆ డరా అడుగున ఉనన పాలసీల సంగతి ఏంటి?
नहीं, कोई बात नहीं. मैं ले आता हूँ.	లేదు, ఫరవాలేదు. నేను తీసుకురాగలను.
हमने उसमें काफी अचछे समय बिताए हैं.	మేము గడిపిన కొనని మధుర కషణాలు అవి.
