अरे, गैबरिएल.	ఓహ, గాబరియేల.
जेपी?	జెపి?
इसने पैंट नहीं पहनी है.	ఇతను పయాంటు వేసుకోలేదు.
इवा.	ఈవా.
जॉन पॉल. कैसा महसूस कर रहे हो?	జాన పాల, ఇపపుడు నీకు ఎలా ఉంది?
नहीं.	లేదు.
बेन	బెన
मैं नहीं जा सकती. . . मुझे इंटरवयू के लिए जाना है, ठीक है? मैं. . .	సరే, నా వలల కాదు. . . నాకు ఒక ఉదయోగం ఇంటరవయూ ఉంది, సరేనా? నేను. . .
मेरी बस एक आँख है.	నాకు ఒక కననే ఉంది.
अरे, धत. कमबखत. . .	ఓహ, చెతత. చెతత. . .
बलानड अरसला के घर पर है,	బలానడ ఉరసులా ఇంటలో ఉంది,
मैं तुमसे घर में मिलूँगा.	నినను ఇంటి దగగర కలుసతాను.
जॉन पॉल.	జాన పాల.
अलविदा.	ఉంటాను.
थॉमस और मैथयू के पिता उनकी आतमा को शांति मिले	థామస మరియు మాథయూల తండరి ఆతమకు శాంతి కలుగు గాక
पर मुझे माफ कर दो.	కానీ ననను కషమించు.
अगर तुम कह रहे हो कि वह उन बहनों में से कोई एक थी. . .	ఆ పని చేసింది ఆ అకకచెలలెళలలో ఎవరో ఒకరని మీరు అంటే. . .
नहीं, हम नहीं कह रहे. . . हम अब भी जाँच कर रहे हैं.	లేదు, మేము అనడం లేదు. . . మేము ఇంకా పరిశోధిసతుననాం.
नहीं.	లేదు.
उसकी छोटी बहन उसके साथ कार में थी. बैका.	ఆమె చినన చెలలెలు కూడా కారులో ఉంది. బెకా.
तुमने सही काम किया है.	నువవు సరెన పని చేశావు.
और तुमहें पता है मुझे अनय लोगों से मिलना है, पर. . .	ఇంకా నీకు తెలుసు, నేను మరికొందరిని కలవాలి, కానీ. . .
नहीं. बस वही पता है जो गरेस ने बताया था.	అంటే, తెలియదు. నా ఉదదేశం, గరేస చెపపినదే.
हाँ.	సరే.
बस इसलिए कयोंकि अगर जेपी को पता चला, तो वह. . .	ఎందుకంటే ఇది గనుక జెపికి తెలిసిందంటే, అతను. . .
जेपी.	జెపి.
-मैं टीवी देख सकती हूँ? -बेशक.	-నేను టీవీ చూడవచచా? -తపపకుండా.
जैरलड फिशर मैनेजिंग डायरेकटर	జెరాలడ ఫిషర మేనేజింగ డెరెకటర
-तुम यहाँ कया कर रही हो? -बस सफाई कर रही हूँ.	-ఇకకడ ఏం చేసతుననావు? -నేను ఊరికే సరదుతుననాను.
नहीं!	లేదు!
कर सकते हैं.	మనం కలవగలము.
मुझे यकीन नहीं था कि वे. . .	నేను వాటికి సపందించాలని. . .
एक हफता? एक महीना?	ఒక వారమా? ఒక నెలా?
वह कौन है? फोटोगराफी टीचर?	అతను ఎవరు? ఫోటోగరఫీ టీచరా?
खैर, आने के लिए बहुत-बहुत धनयवाद.	సరే, మీరంతా వచచినందుకు ధనయవాదాలు.
अरे, हाँ. धनयवाद.	ఓహ, అలాగే. థాంకస.
तुमहें बचाने हेतु शुकरिया अदा करने के लिए	నేను గాబరియేల కోసం ఒక విసకీ బాటిల కొననాను
-कॉमबुचा है. -चुप रहो.	-కొంబూచా ఉంది. -ఛీ పో.
यह इतना सरल नहीं है, है न?	అది అంత తేలిక కాదు, అవునా?
नेबरासका	నెబరాసకా
टॉम.	టామ.
और छोटी बहन की आरथिक वजह. . .	చినన చెలలెలి ఆరథిక అవసరం. . .
तो हम देख सकेंगे कि उस रात उसके शरीर में कया था जब उसकी हतया हुई. मर गया.	అతను హతయకు గురెన రాతరి అతని పరిసథితి ఎలా ఉందో మనం చూడచచు. చనిపోయిన రాతరి.
इवा?	ఈవా?
निकोला फेरिस.	నికోలా ఫెరిస.
जेमस गिबनी एंड संस	జేమస గిబనీ అండ సనస
मिना.	మినా.
नहीं.	లేదు.
हैलो. मुझे रॉजर मलडन के बारे में किसी से बात करनी है.	హలో, రోజర ములడూన గురించి నేను ఎవరితో అయినా మాటలాడాలి.
जॉरज?	జారజ?
जॉन पॉल.	జాన పాల.
जॉरज.	జారజ.
अगर तुम देखती कि उसे मुझ पर कितना गुससा आया था, तो समझ जाती कि उसी ने किया है.	ఇంతకుముందు వాడు నాతో పెనుగులాడిన తీరు చూసి ఉంటే, అతనే ఇది చేశాడని తెలుసతుంది.
यह गंभीर है, इंसपेकटर. हमारे पास वह सबूत है जो तुमहें चाहिए था.	ఇది తీవరమెన విషయం, ఇన సపెకటర. మీకు అవసరమెన ఆధారం మా దగగర ఉంది.
तुम शरी विलियमस और इवा गारवी, दोनों के साथ काम करते थे.	విలియమస ఇంకా ఈవా గారవీ, ఈ ఇదదరితో కలిసి మీరు పని చేశారు.
मैं मुशकिल से सब संभाल रही हूँ, समझे? मैं मुशकिल से. . .	నేను అతికషటం మీద ఇలా ఉంటుననాను, సరేనా? అతికషటం మీద. . .
-हाँ. पर मैं अंतिम पडाव पर पहुँच चुकी हूँ? -अरे, हाँ.	-అవును. కానీ నేను జడజీల ఇళలలో పరదరశించాలా? -ఓహ, అవును.
पकका पानी में गिरते हुए उसका सिर कहीं टकरा गया होगा.	తను నీటిలో పడుతుననపపుడు తలని దేనికో ఢీకొటటినటలుననాడు.
मुझे लगा था कि वह बस उससे नफरत करती है, पर फिर. . .	ఆమె అతడిని మామూలుగా దవేషించేది అనుకుననాను, కానీ. . .
हाँ, मैं गलिटर कलम वगैरह से डायरी में लिखकर रखूँगी.	అవును, నేను దానిని నా డెరీలో మెరిసే పెననుతో రాసతాను.
किसी ने उसे डरगस दिए और समंदर में मरने के लिए	ఎవరో తనకి మతతుమందు ఇచచి మరీనాలోకి విసిరేశారని,
मैंने गैबरिएल के लिए एक बोतल वहिसकी खरीदी थी.	నా మనిషిని కాపాడినందుకు ధనయవాదాలు చెపపడం కోసం.
उसे लगता है कोई उसे मारने की कोशिश कर रहा है.	ఎవరో తనని చంపాలని చూసతుననారని అనుకుంటుననాడు.
-मैंने वह तुमहें दिया था. -नहीं, नहीं दिया.	-వాటిని నీకే ఇచచాను. -లేదు, నువవు ఇవవలేదు.
जॉरज इसे हमारे पयार का घोंसला बुलाता है.	జారజ దీనిని మా పరేమ మందిరం అని పిలుసతాడు.
माफ करना. मेरे पास दूध नहीं है. करीम?	కషమించండి. పాలు లేవు. కరీమ ఫరవాలేదా?
तुम दोबारा उसे डेट कर रहे हो, है न?	నువవు ఆమెను మళలీ కలుసతుననావు, కదా?
मैंने कहा कि तुम काफी तनाव में हो.	నువవు చాలా ఒతతిడిలో ఉననావని అననాను.
सब तुमहारे गे बॉयफरेंड की गलती है.	ఇదంతా నీ గే బాయ ఫరెండ చేసిన తపపు.
तुमने अभी-अभी कहा कि तुमहें किसी और के साथ देखने के बाद, वे चली गईं.	మీరు వేరే వయకతితో ఉండటం చూసి వాళలు వెళలిపోయారు అని ఇపపుడే చెపపారు.
मैं बस. . . तुम बात करना चाहते हो?	నేను కేవలం. . . నువవు మాటలాడగలవా?
तो कया तुम जेपी की विधवा को पैसे देने से बचने की कोशिश कर रहे हो?	అయితే ఏంటి, జెపి వితంతువుకి రావలసిన డబబులు ఆపడానికి పరయతనిసతుననారా?
-हे भगवान. -पानी में कोई गिरा है.	-దేవుడా. -నీటిలో ఎవరో పడిపోయారు.
तुमने यह किसी को बताया तो नहीं न?	నువవు ఎవవరికీ ఏమీ చెపపలేదు, కదా?
वह कहता है कि उसकी पतनी और बचची को मेरा घर कूडे का ढेर लगता है.	నా ఇలలు ఒక మురికిగుంట అని వాడి పెళలాం, పిలల అనుకుంటారని చెబుతాడు.
सूची में अगली बारी उसकी है. हाँ.	మా జాబితాలో తరువాత అతనే. అవును.
अरे, हाँ. वह कितना कमीना है. उसने डूबते हुए आदमी की जान बचाई.	ఓహ, అవును. ఎంత చెతతవెధవ. మునిగిపోతునన ఓ మనిషి పరాణాలు కాపాడాడు.
किसी ने मुझे मारने की कोशिश की.	ఎవరో ననను చంపాలని పరయతనించారు.
बैंक ऑफ मैमन मिन विलियमस दवारा	బయాంక ఆఫ మామన మిన విలియమస నుండి
किसी ने मुझे मारने की कोशिश की.	ఎవరో ననను చంపాలని పరయతనించారు.
मैं इंटरवयू के लिए जा रहा हूँ.	నేను నా ఇంటరవయూకి వెళతుననాను.
-कया हम एक सेकंड के लिए शांत होकर सोचें? -और बस साफ कहूँगा.	-మనం ఒకక కషణం ఆగి ఆలోచిదదామా? -నేను కూడా ఇదే అనబోతుననాను.
आम तौर पर जेपी खरीददारी करता है. वह उसकी राह देख रही होंगी.	సాధారణంగా జెపి వెళతాడు. ఆమె అతని కోసం ఎదురుచూసతూ ఉంటుంది.
मैं नहीं चाहता था कि तुम जाओ.	నువవు వెళలడం నాకు ఇషటం లేదు.
संदेशों का जवाब नहीं देती हो.	నా సందేశాలకు సపందించడం లేదు.
चलो, पागल कहीं की. अंदर जाओ.	పద, పిచచిదానా. లోపలికి వెళలు.
पर, किसमत से तुम जिंदा हो.	కానీ, అదృషటం కొదదీ బతికావు.
तुम बीमा जाँचकरता हो, है न?	మీరు బీమా పరిశోధకులు, కదా?
वह हतया की एक और कोशिश थी.	ఒక హతయాపరయతనమే అయి ఉండవచచు.
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
नहीं, कयोंकि तुम मुझे सोचने का मौका नहीं दे रहे, टॉम.	లేదు, ఎందుకంటే ఆలోచించడానికి సెకను కూడా ఇవవవు, టామ.
उन गारवी बहनों के साथ वही होगा, जिसकी वे हकदार हैं.	ఆ గారవీ అకకచెలలెళలకు తవరలో గటటి ఎదురుదెబబ తగలబోతోంది.
आज मेरे डैड का जनमदिन है.	ఈ రోజు మా నానన పుటటినరోజు.
धनयवाद. कुछ न करने के लिए.	ధనయవాదాలు. ఏమీ చేయనందుకు.
हम जयादा समय नहीं लेंगे.	మిమమలని ఎకకువ సేపు ఉంచము.
तुमहारा मुझे उनकी गलती कहना नजरअंदाज कर देता हूँ.	నేను ఒక పొరపాటు అనన నీ మాటలని నేను పటటించుకోను.
"वह चली गई, " नहीं कहा?	"ఆమె వెళలిపోయింది" కాదు?
हाँ. इवा अकेली नहीं थी.	అవును. ఈవా ఒంటరిగా లేదు.
बचची, मैं देख चुकी हूँ.	పిలలా, ఆ షో నేనే రాశాను.
गरेस ने मुझे तुमहारे लिए खरीददारी करने को कहा. तुम यहाँ कया कर रही हो?	నీ కోసం షాపింగ చేయమని గరేస నాకు చెపపింది. నువవు ఇకకడ ఏం చేసతుననావు?
उसका नेजल सपरे कहाँ है?	ఆ నాసల సపరే ఎకకడ ఉంది?
मुझे नहीं पता, जॉन पॉल.	నాకు తెలియదు, జాన పాల.
ठीक है. ठीक है. धनयवाद.	అలాగే. సరే. ధనయవాదాలు.
तुमसे बात कर सकता हूँ?	నీతో ఒకసారి మాటలాడవచచా?
-यह कभी खतम नहीं होता है! -हमें फोन करना. . .	-అది ఎపపటికీ అంతం కాదు! -మాకు కాల చేయి. . .
अगर कोई जरूरत हो, तो मुझे फोन करना, ठीक है?	నీకు ఏమెనా అవసరం అయితే, నాకు ఫోన చేయి, సరేనా?
नहीं, मत जाओ. चलो भी.	లేదు, వెళలదదు. ఇలా రా.
कासाबलांका में तुमहारी बाँहों में कैसा रहेगा	అయిదు పౌండలు ఇచచి కయాబ లో డోలమన వీధిలో ఉనన
गेट जोर से बंद न करें	తలుపుని గటటిగా వేయవదదు
वह कहता है कि उसके पकषियों से जयादा वह केवल मुझसे ही पयार करता है.	అతను తన పకషుల కననా ఎకకువగా పరేమించేది ననను మాతరమే అని చెబుతాడు.
डैड यह नहीं चाहते थे.	నానన అది కోరుకోలేదు.
यह, तुम, वयवसाय. . .	నువవు, ఈ వయాపారం. . .
वह कोशिश कर सकता है.	వాడిని పరయతనించనివవు.
जहाँ तक मुझे लगता है, हमें आय और विकास को	సరే, నా ఉదదేశంలో, మన సంసథని విసతరించాలి
सही जवाब था "तुमहारी बाँहों में, बैका. "	"నీ బాహువులలో, బెకా" అనేది సరెన జవాబు.
हाँ. हाँ. हाँ, मैं. . . मेरा मतलब. . .	అవును. అవును. అవును, నేను. . . అంటే. . .
मैं यह नहीं कर सकती.	ఇది నేను భరించలేను.
वह शरमिंदा हो जाएगा कि मैंने उसे उस हाल में देखा, समझे?	అతడిని నేను ఆ సథితిలో చూసినందుకు కోపంతో ఊగిపోతాడు, తెలుసా?
कया तुमहें इससे भी जरूरी कोई काम है?	నువవు చేయవలసిన ముఖయమెన పని ఏదెనా ఉందా?
-कैसे? -कयोंकि उसने चेक जमा नहीं किया.	-ఎలా? -ఎందుకంటే ఆమె నగదు తీసుకోలేదు.
बैका के परिवार ने विलियमस के साथ जो भी किया, उससे धयान भटकाने के लिए उसने तुमहें लकषय बनाया.	విలియమస విషయంలో ఆ కుటుంబం చేసిన నేరం నుండి నినను పకకదోవ పటటించడానికి బెకా పరయతనిసతోంది.
उसने कहा कि वे मुझसे मिलने आई थीं.	ఆమె ననను చూడటానికి వచచానని చెపపింది.
बस कुछ समय के लिए.	కొంత కాలం మాతరమే.
वे सविटजरलैंड में लोगों को दया करके कैसे मारते हैं?	సవిటజరలాండ లో ఆ జనానని వాళలు ఎలా అధికారికంగా చంపుతారు?
पर दिमागी रूप से, काफी तनाव में है.	కానీ మానసికంగా, కుంగిపోయి ఉననాడు.
शरी विलियमस ने मनोवैजञानिक को बताया	ఆ విలియమస తనకి ఎవరో మతతుమందు ఇచచి
इवा ने बताया वह तट पर कयों आई थी?	మరీనా దగగర తను ఉననటలు ఈవా చెపపిందా?
-सपषट है कि तुमने अपना होमवरक अचछे से किया है. -हाँ, और बाकियों का भी.	-సరే, నువవు పూరతిగా సిదధమె వచచావు కదా. -అవును, అందరూ అలాగే వచచారు.
अगर मैंने तुमहारा संदेश सुना होता,	నీ నుంచి ఏదెనా సందేశం వచచి ఉంటే,
जब मुझे होश आया, तुमहें उसका चेहरा देखना चाहिए था.	నేను ఇకకడ చేరినపపుడు అతని మొహం చూసి ఉండాలసింది.
कया हुआ? हम सब यही सोच रहे हैं.	ఏంటి? మేం అందరం అదే అనుకుంటుననాం.
-इवा, हमें यहाँ से निकलना होगा. -ठीक है, ठीक है.	-ఈవా, మనం ఇకకడి నుండి వెళలిపోవాలి. -సరే, సరే.
किसी और को उनकी गलतियों की भरपाई करनी पड रही है.	ఆయన చేసిన తపపులకి వేరొకరు బలి కావలసి వసతోంది.
जेपी को पानी से निकालने वाले आदमी ने कया कहा?	జెపిని నీటి నుండి కాపాడిన ఆ కురరవాడు ఏం చెపపాడు?
माफ करना. हैलो.	ఇలా చూడండి. హాయ.
इंसपेकटर लॉफटस.	ఇన సపెకటర లోఫటస.
उसने मुझसे कहा था कि मैं जेपी को न बताऊँ, पर वह उस रात वहीं थी.	అంటే, ఆమె జెపికి చెపపవదదు అంది, కానీ ఆ రాతరి ఆమె అకకడ ఉంది.
शरी विलियमस को लेकर तुमने कया संदेश छोडा था?	విలియమస గురించి నువవు పెటటిన సందేశం సంగతి ఏంటి?
पकका वयसत होगी. मैंने अभी-अभी देखा उसके. . .	తను నిజంగా బిజీగా ఉంది. ఇపపుడే తనని చూశాను. . .
सालों तक शिआतसु करने का असर है.	చాలా ఏళలు షియాతసు నేరచుకుననా.
-तुमहें उस पर विशवास नहीं हुआ? -उसका और जेपी का कया भरोसा?	-మీరు ఆమెను నమమలేదా? -జెపికి, ఆమెకి మధయ ఏం ఉందో ఎవరికి తెలుసు?
तुम अब भी इवा से बात करते हो?	మీరు ఈవాతో ఇంకా మాటలాడుతుననారా?
-कया देखना? -उसके पकषियों को.	-ఏం చూసుకునే వాడు? -తన పకషులని.
वह यहाँ हमारे साथ है, तो उसकी चिंता मत करो.	తను మాతోనే ఉంది, కాబటటి తన గురించి ఆందోళనపడకు.
मैं सथगित नहीं करूँगा. मेरी छवि खराब हो जाएगी.	నేను వాయిదా వేయను. అది వృతతిరీతయా బాగుండదు.
हम पता करने की कोशिश कर रहे हैं कि कया हुआ था,	ఏం జరిగిందో నిరధారించడానికి పరయతనిసతుననాము,
इससे बलकि साबित होता है कि उसने कुछ नहीं किया.	ఎలాగెనా, ఆమె పాతర లేదు అనడానికి అదే రుజువు.
तुमहें आधा दुःख मिला, आधी परेशानी हुई, आधी सथिति संभालनी पडी.	నీకు తకకువ బాధలు, తకకువ పని ఒతతిళలు, తకకువ సమసయలు ఉంటాయి.
हमें यह साबित करना है कि उसे उनकी योजनाओं के बारे में पता था.	ఈ పని ఎవరు చేశారో ఆమెకు ఆధారాలతో సహా తెలియజెపపడమే మన పని.
मुझे तुमहें धनयवाद कहना चाहिए.	నేను నీకు ధనయవాదాలు చెపపాలి.
मैं साइकिल से गिर गया था. यह डैड ने बनाया.	నా బెక మీద నుండి పడిపోయాను. నానన కటటు కటటారు.
और तुमहें निरिकषण के लिए यहाँ एक रात रखेंगे.	పరిశీలన కోసం రాతరంతా హాసపిటల లో ఉంచుతాము.
शायद उसने उससे हजारों निकालने के लिए उसका विशवास जीता.	ఆమె నుంచి వేల డబబులు గుంజాలని తను బహుశా పరయతనించి ఉంటుంది.
कया तुम में से किसी को चिंता नहीं है कि उस कमीने की याददाशत लौट सकती है?	ఆ చెతతవెధవకి మళలీ జఞాపకశకతి తిరిగి వసతుందనన భయం మీలో ఎవరికెనా ఉందా?
वाई-फाई खराब है. थेरेसा हाहाकार मचा रही है.	వెఫె ఆగిపోయింది. థెరెసా గోల పెటటేసతోంది.
मुझे लगा कि शायद कोई अजीब पारिवारिक रसम वगैरह थी. . .	అది ఏదో విచితరమెన కుటుంబ మత సంపరదాయమో ఏమో అనుకుననాను. . .
यह सच में काबिले-तारीफ है.	నిజంగా చాలా మెచచుకుంటుననాను.
और नहीं. मुझे ऐसे मत देखो.	కానీ వదదు. నాకేసి అలా చూడకు.
थेरेसा ने पूरी रात मुझे लात नहीं मारी.	రాతరంతా థెరెసా ననను తననకుండా నిదరపోయింది.
न केवल इवा गारवी उस रात वहाँ मौजूद थी,	ఆ రాతరి అకకడ ఉననది ఈవా గారవీ మాతరమే కాదు,
मुझे तुमहारे बारे में तब पता चला जब मेरे कमरे में बंक बेड लगाया गया.	నా గదిలోకి బంక బెడ వచచేవరకూ నువవు ఉననావనే సంగతి నాకు తెలియలేదు.
-उसने तुमहें मारा? -बिबी!	-అతను నినను కొటటాడా? -బీబీ!
माफ करना. मैंने आवाज दी थी.	కషమించు. నేను ఫోన చేశాను.
उसने कहा केवल यही वजह हो सकती है. . .	తను ఇదొకకటే చెపపగలను అంటుననాడు, అది. . .
मुझे नहीं पता, बस कृपया. . . मैं. . .	నాకు తెలియదు, దయచేసి వదదు. . . నేను. . .
-वही. . . हाँ. और देखो, बलानड ठीक है. -मुझे नहीं मिल रहा है.	-అది. . . అవును. ఇంకా చూడు, బలానడ బాగానే ఉంది. -నాకు దొరకడం లేదు.
मुझे वापस काम पर लौटना है.	నేను ఉదయోగానికి వెళలాలి.
ठीक है, तुम पोसटमॉरटेम करवा सकते हो.	సరే, మీరు మీ పోసట మారటమ జరిపించుకోవచచు.
कया तुम आजकल किसी अतिरिकत तनाव में हो?	పరసతుతం మీరు ఎకకువ ఒతతిడిలో ఉననారా?
-अरे, नहीं. कया वह साँस ले रहा है? -शायद नहीं.	-ఓహ, లేదు. వాడు శవాస పీలుసతుననాడా? -లేదు అనుకుంటా.
तुमहें यह पता है, है न?	ఆ విషయం నీకు తెలుసు, కదా?
