वाह!	భలే!
मुझे नहीं लगता मुझे दाखिला मिलेगा. खैर, तुम यहाँ कया कर रहे हो?	నాకు అసలు సీట వసతుందో లేదో. ఏదెతేనేం, నువవు ఇకకడ ఏం చేసతుననావు?
बस वे उस छोटी वाली राशन की दुकान के पीछे हलका जहर न पीते हों.	వాళళు ఆ చినన కిరాణా షాపు వెనుక సిగరెటలు తాగనంతకాలం ఏం పరలేదు.
जैसे कि तुमहें.	నీలాంటి వారిని.
मैंने अपना इरादा नहीं बदला है.	నేను ఇంకా నా మనసు మారచుకోలేదు.
और एक, जिस पर मुझे पता है मैंने मुदरा खरची थी पर अब मुझे मिल नहीं रहा.	అలాగే నేను వేయించుకోవడానికి ఖరచు చేసానని తెలిసినా ఎకకడో తెలీనిది ఒకటి.
हाँ, ठीक है. धनयवाद.	సరే, ఇక చాలు. థాంకస.
अभी तक नहीं. पर मैं उसके बारे में इतना आशंकित हूँ.	ఇంకా రాదు. కానీ దానికి బదులు ఇవి ఏవెనా నాకు ఇషటమే.
तो अगर बाद में तुमहें किसी निशान का अफसोस भी हो,	అయితే ఒకవేళ ఒకటి వేయించుకుననందుకు తరవాత బాధపడడా,
हा-हा!	హా-హా!
मैंने बस इसकी इचछा पूरी की कयोंकि मैं इसके साथ और समय बिताना चाहता था.	నేను వారితో ఇంకొంచెం సేపు గడపాలి అనుకుననాను కాబటటే దీనికి ఒపపుకుననాను.
वाह.	వావ.
बस, एक ही पल लगेगा.	ఎకకువ సేపు ఏం కాదు.
पर मैं उस सबक की बात नहीं कर रहा था.	కానీ నేను మాటలాడుతునన పాఠం అది కాదు.
तुमहें एहसास होने लगता है कि तुमहारे खतम होने तक सब असथायी है.	మనం చచచిపోయే వరకు జీవితంలో పరతీది తాతకాలికమే అని అరథమవుతుంది.
संतान, मैं वह हूँ जिसे कला के जरिए कहानियाँ सुनाना पसंद है.	బిడడా, నేను ఆరట దవారా కథలు చెపపగలం అని బలంగా నమమే వయకతిని.
उसे कुछ मिला है जो उसे पसंद आया है. उसे वह करने देते हैं.	తనకు నచచిన పని ఒకటి వారికి తెలిసింది. ఆ పనినే చేయనిదదాం.
यह ए. . . एक पहेली की तरह है जिसके एक करोड कूट शबद हैं	అదొక పజిల లాంటిది కోటి పదాలతో ఒక కోడ రాసినటటు ఉంటుంది
मैं खुद को और तरीकों से वयकत करना जयादा पसंद करूँगा,	దానికి బదులు నేను వేరే విధాలలో వయకతపరచడానికి ఇషటపడతా,
और मैं ऐसी कोई भी चीज खा सकती हूँ जिसे जमीन पर गिरे	అలాగే నేల మీద పడిన తరవాత అయిదు సెకనలకు మించి ఉననది
हमने जो बात की थी, कया तुमने उस बारे में और सोचा?	మనం మాటలాడుకునన విషయానని నువవు ఏమెనా ఆలోచించావా?
ऐसे किसी पराणी को ढूँढ पाना इतना मुशकिल कयों है?	ఆ ఒకక వయకతిని కనిపెటటడం ఎందుకు ఇంత కషటంగా ఉంది?
यह कोई बेवकूफी नहीं है मुझे बस वह पसंद नहीं आता	అదేం చెతత పనికాదు కానీ నాకు అది ఎందుకో ఇషటం లేదు
बिना तैयारी के की तुकबंदी अब है थोडी बेहतर	అపపటికపుడు వేసిన డానస ఇపపుడు కాసత మెరుగెంది
मुझे आकर तुमहारे साथ यह जादू सांझा करने दो	ననను రానిచచి ఆ మయాజిక ని మీతో పంచుకోనివవండి
दवि-छाया दिवस कया तुम यह नजारा देख पाओगे?	డబుల షాడో డే ఆ వయూని మీరు హయాండిల చేయగలరా?
बहुत से पराणियों को ढेरों खुशियाँ दोगे.	పుచచుకుని ఇతరులకు ఎంతో సంతోషానని ఇసతావు.
तीन मुझे पसंद हैं, दो का मुझे अफसोस है	మూడు అంటే ఇషటం, రెండు అంటే ఇషటం లేదు,
