मेरी जान. . .	నా పరియా. . .
उसे बहुत नाज होगा.	తను ఎంతో గరవపడేది.
बिंगो हॉल	బింగో హాల
बिंगो हेल	బింగో హెల
मॉरनिंग, लुपीटा.	శుభోదయం, లుపిటా.
बिकाऊ है	అమమబడును
फोमो बीन	ఫోమో బీన
लुपीटा?	లుపిటా?
डोलोरेस?	డోలొరెస?
-हैलो, दोसतो. -हैलो, लुपीटा.	-హాయ, అందరికీ. -హేయ, లుపిటా.
ओक सपरिंगस सामुदायिक केंदर पूरव	ఓక సపరింగస కమయూనిటీ సెంటర తూరపు
चलो घेरा बनाएँ.	దీనని ముగిదదాం.
बहुत कमाल की बात बोली, बेटा.	అకకడ బాగా చెబుతుననావు, బాబూ.
मैं खोलता हूँ!	నేను చూసకుంటా!
नहीं. ये उसकी हैं. सामने वाले दरवाजे पर लटकी थीं.	లేదు. ఇవి అతనివే. తలుపు ముందు వేలాడుతుంటే చూశాను.
ओ-65, 65.	ఓ-65, 65.
-और अपना इनाम लो! -ठीक है.	-నీ బహుమతి తీసుకో! -అలాగే.
मारियो ने तुमहें दूसरी चाबी दी?	మారియో నీకు మారు తాళాలు ఇచచాడా?
चलो, उसके घर चलते हैं!	అతని ఇంటి దగగర ఆగుదాం!
मारियो!	మారియో!
तुम अंडों को जला रही हो.	సరే, గుడలు మాడుసతుననావు.
तो अब बात चुनौती तक आ पहुँची.	లేదు, పందెం ఇపపుడు మొదలననమాట.
तुमहें खरीदारी के लिए ले चलूँ, तो कैसा रहे?	నినను నేను షాపింగకు తీసుకెళితే ఎలా ఉంటుంది?
यह कैसा रहेगा?	అదెలా ఉంటుంది?
हमें यह जगह पसंद है,	మాకు ఈ పొరుగు ఇషటమే,
मारियो को दोष नहीं देती.	నేను మారియోను నిందించను.
दरद के सिवा और कुछ नहीं, बस.	బాధ తపప ఏమీ లేదు, అదే విషయం.
पर हम अब भी यहाँ हैं.	కానీ మనం ఇకకడే ఉననాం.
मिसटर बिगस बिंगो	మిసటర బిగస బింగో
यह अचछा खयाल था.	అది మంచి ఆలోచనే.
आप मुझे मिसटर बिग बुला सकते हैं.	సరే, మీరు ననను మిసటర బిగ అనవచచు.
नहीं!	వదదు!
कयोंकि हर कोई विजेता होने का हकदार है.	ఎందుకంటే అందరికీ విజేత అయయే అరహత ఉంది.
नहीं.	కాదు.
बी-14.	బీ-14.
जी-46.	జీ-46.
जी-51.	జీ-51.
मैं एक सवारथी, बेरहम कमीनी साबित होऊँगी.	సవారధపరురాలిగా, హృదయం లేని దానిలా అవుతా.
तुमने इतने इनाम वाला कोई बिंगो खेल देखा है?	అలాంటి బహుమతి ఇచచే బింగో ఆట ఎపుడెనా చూశావా?
ओक सपरिंगस बदल रहा है, तो शायद इन टेक कंपनियों के लिए	సరే, ఓక సపరింగస మారుతోంది, అందుకే ఆ టెక కంపెనీల రాకకు
मेरे पास न इतना समय है, न ताकत	నాకు సమయం కానీ, శకతి కానీ లేవు
मारियो?	మారియో?
मारियो!	మారియో!
यह कया है?	ఏమిటిదంతా?
खेल में सवागत है, सजजनो.	ఆటకు సవాగతం, మహాశయులారా.
उसके साथ जो हुआ, उसके बारे में सुनकर बुरा लगा.	అతనికి అలా జరిగిందని తెలిశాక, చాలా బాధ పడడాను.
इसलिए कयोंकि बाकी सब पहले ही जा चुके हैं.	అలా ఎందుకంటే దాదాపు అందరూ వెళలిపోవడం వలల.
बी-13!	బీ-13!
बिंगो!	బింగో!
बिंगो	బింగో
एक लाख	ఒక లకష
पलीज तुम कुछ कहोगी भी?	దయచేసి ఏమెనా చెబుతావా?
तुम कहाँ जा रही हो?	ఎకకడకు వెళుతుననావు?
सारी परेशानियों को पीछे छोड दो.	చెడును అంతటినీ వెనుక వదిలేసతాం.
मेजकैल	మెజకాల
कलैरेंस!	కలారెనస!
कलैरेंस!	కలారెనస!
मेरी मदद करो, फिर से बिजली चली गई.	నాకు సాయం చెయ, మళలీ దీపాలు పోయాయి.
डोलोरेस!	డోలొరెస!
मॉरिस. . .	మోరిస. . .
योलांडा?	యొలాండా?
योलांडा.	యొలాండా.
नहीं!	వదదు!
मैंने ऐसा होने दिया.	నేనే ఇది జరగనిచచాను.
जब हमारे पडोसियों ने ओक सपरिंगस को छोडना शुरू किया,	మన పొరుగువాళలు ఓక సపరింగస వదిలి వెళలడం మొదలుపెటటాక,
तब मैंने उनहें कायर और गददार कहा था.	వాళలను పిరికివాళలు, మోసగాళలు అననాను.
नहीं!	లేదు!
इसकी बात मत सुनो!	అతని మాట వినకండి!
जी-59!	జీ-59!
बी-11!	బీ-11!
धत!	ఛత!
योलांडा!	యొలాండా!
