लंदन 2099	లండన 2099
एक बार छह महीनों तक मैं बिना जूतों के थी.	ఒకసారి షూస లేకుండా నేను ఆరు నెలలు ఉననాను.
दुनिया को बचाना नामुमकिन है. तुमने यही कहा था.	మన పరపంచం ఆ సథాయిని దాటిపోయింది. నువవే అననావు.
अलविदा, वुलफ.	ఉంటాను, వూలఫ.
एलीटा?	ఎలీటా?
एलीटा?	ఎలీటా?
बरटन!	బరటన!
बरटन.	బరటన.
फलिन?	ఫలిన?
हलका होने गया है.	బాతరూమకి వెళళాడు.
कया कर रहे हो?	ఏం చేసతుననావు?
रीस!	రీస!
धत.	ఛత.
परिंटर जाम हो गया.	15వ పరింటర ఆగింది.
वह सच नहीं है.	అది నిజం కాదు.
यह एक बात से कहीं जयादा था.	ఇది ఒక మాటకంటే చాలా ఎకకువే.
-यह कहाँ से आया? -मिलागरोस कोलडायरन से.	-ఎకకడ నుండి వచచింది? -మిలాగరోస కోలడఐరన.
बरटन किसी गिरोह के साथ है?	బరటన ముఠాకు పనిచేసతుననాడా?
अजीब सा लगता है.	ఇది వింతగా ఉంది.
मैं उन कुछ खिलाडियों में से हूँ जो 100वें लेवल पर पहुँचे हैं.	హాలసియోన ఆటలో 100వ సథాయి దాటిన కొంతమంది ఆటగాళళలో నేను ఒకడిని.
बस इसे लगाना है?	అలా పెటటుకోవాలా?
पीछे हो जाओ.	వెనకకి వాలు.
बदले में तुमहें यही करना है.	అలా నీ వేతనానని సంపాదించుకో.
हथियार की जरूरत है?	నాకొక ఆయుధం కావాలా?
मजा आ रहा है, मिसटर आइस?	ఆసవాదిసతుననారా, ఐస గారు?
हाँ, उसी तरह जैसे सबको है. कयों?	అందరూ ఇచచినటటుగానే ఇసతా. ఎందుకు?
तुमहारी नई दोसत की पसंद काफी भडकीली है.	నీ కొతత సనేహితురాలివి ఆడంబరమెన అలవాటలు.
कितनी ताकत है.	అంత శకతి ఉంది.
हमें दिखाओ कि तुमने कया सीखा.	ఏం నేరచుకుననావో మాకు చూపించు.
मुझे पता है कि तुम असली हो,	నువవు నిజమెనవాడివని తెలుసు,
कुछ सही किया होगा, कल दोबारा तुमहें चाहते हैं.	ఏదో సరిగా చేసినటటుననావు, అందుకే రేపూ పిలిచారు.
उसमें खतरा तो नहीं?	అది సురకషితమెనదేనా?
मुझे बस एक गोली चाहिए.	నాకు ఒక మాతర కావాలంతే.
ऐटिकस,	ఆటికస,
तुमहें फारमा जॉन में जाकर कोशिश करनी चाहिए.	నీ అదృషటానని ఫారమా జానతో పరీకషించుకోవాలేమో.
खोने के लिए जयादा कुछ नहीं बचता, यार.	కోలపోవడానికి పెదదగా ఏమీ ఉండదు, సోదరా.
अभी पेशाब करके आता हूँ.	ఇపపుడే బాతరూమ వెళళొసతా.
मैं उसका सममान भी करता.	దానని గౌరవించవచచు కూడా.
तो और कया कहोगे,	మరి దాననేమంటారు,
पियो, बेटा.	తాగు, బాబు.
अगर तुम कमजोर नजर आओगे, तो मैं कमजोर नजर आऊँगा.	నువవు బలహీనంగా కనపడితే, నేను బలహీనంగా కనపడతాను.
उसका जैसपर अभी भी अपने अंकल कोरबेल से उलझा हुआ है?	తన బాయ ఫరెండ జాసపర ఇంకా కోరబెలతోనే పని చేసతుననాడా?
किस बारे में?	దేని గురించి?
शायद तुम सोच रहे हो कि हिल कयों नहीं पा रहे?	'నేను ఎందుకు కదలలేను' అని అనుకుంటుననావు కదా?
देखो,	చూడు,
यह कौन सी जगह है?	అసలు ఈ చోటు ఏంటి?
एलीटा वेसट.	ఎలీటా వెసట.
या फिर तिलली है?	లేదా అది పలీహమా?
तुमहारे संपरक का पता चल जाएगा.	మేం నీ కనెకషన ఆచూకీ కనుకకోగలం.
तो, इतना कयों लटकाना?	కాబటటి, ఎందుకు ఆలసయం?
तुम कौन हो?	నువవు ఎవరు?
फलिन!	ఫలిన!
फलिन हारलीन फिशर.	ఫలిన హారలీన ఫిషర.
चलो उठो भी, मेरी जान.	కాసత కదలండి, యువరాణి.
छोडो भी, बिली ऐन. यह नहीं होने वाला. तुमहें पता है.	ఏంటిది, బిలలీ యాన. అది జరిగే పని కాదు. నీకూ తెలుసు.
एक मशीन थी.	అదొక యంతరం.
उस तरह का डिजाइन कयों बनाएँगे?	దానని అలా ఎందుకు రూపొందిసతారు?
तुमहारा दोबारा गेम में जाना जरूरी है, मिस फिशर.	మీరు సిమలోకి లాగిన అవవడం చాలా కీలకం, ఫిషర గారు.
बरटन.	బరటన.
आज रात कयों नहीं?	ఇపపుడే చెపపకూడదా?
तुम जो भी सोच रहे हो,	నీ మనసులో ఏముననా సరే,
कॉनर.	కానర.
कि लोगों की दिमाग में छवि बैठ जाती है.	మనుషుల ముఖాలు మనసులో అలాగే ఉండిపోతాయి.
मुझे एक कमजोर सा लडका नजर आता है.	నేను బకకపలుచటి పిలలాడినే చూసతాను.
वे लोग बाहर कया कर रहे हैं?	వాళళంతా అకకడ ఏం చేసతుననారు?
बहुत कुछ हुआ भी है.	చాలా జరిగింది కూడా.
वादा करता हूँ कि किसी से नहीं कहूँगा, पर तुम वहाँ खुश लगीं.	ఎవరికీ చెపపనని మాటిసతా, కానీ సిమలో సంతోషంగా ఉననటటు ఉననావు.
