पिकेटमोटरस. कॉम	పికెటమోటరస. కామ
पिकेट मोटरस	పికెట మోటరస
कलैंटन 2015	కలాంటన 2015
बिजली वाले दरवाजे के हैंडल. पीछे से धुआँ और कीलें निकलने का बंदोबसत.	కరెంటు షాకిచచే తలుపు పిడులు. వెనుక నుండి మేకులు, పొగ విడుదల చేయవచచు.
शहर में आनेवाली सडक पर मेरे वाले बिलबोरड देखे कया?	ఊరలోకి వచచే రోడడులో నా పరకటన బోరడులుంటాయి, తెలుసా?
तुम ठीक हो?	అంతా సరేనా?
याद दिलाओ कि उनहें कितनी पयास लगेगी.	ఎంత దాహమేయబోతుందో వాళళకి గురతు చేయి.
कभी-कभी अगर निरदयी बनने की हिममत न रखी,	అపపుడపపుడూ కరూరంగా ఉండగల ధెరయం లేకపోతే,
पैसा ले लो, फिशरस को मार दो,	డబబుని తీసుకో, ఫిషరలని చంపు,
जैसपर.	జాసపర.
पैसे को हाथ मत लगाओ.	డబబు ఖాతాలోనే ఉండనీ.
पता करने को कहो अगर फिशरस के साथ कुछ असामानय हो रहा है,	ఫిషర ఇంటలో ఏదెనా అసాధారణంగా జరుగుతోందా అని కనుకకోమందాం,
ऐसा लग रहा है कि मेरा सिर फट जाएगा.	నా తల పేలిపోతుందేమోనని అనిపిసతోంది.
तो, अगर वे तुमहारी माँ के बारे में बता सकते हैं, तो तुमहारे बारे भी जानते होंगे?	అంటే, వాళళు మీ అమమ గురించి చెపపగలిగితే, వాళళకి నీ గురించి కూడా తెలిసుంటుంది కదా?
बहुत ही कम.	భారీ జనాభా.
तुम कया कर रही हो?	నువవేం చేసతుననావు?
तुमहें लंदन जाना है.	లండనలో నీ అవసరముంది.
अपनी साइकिल उस पर टाँगो. घर छोड देता हूँ.	నీ సెకిలు అకకడ పెటటు. ఇంటికి తీసుకెళతాను.
तुमने गाडी खरीद ली?	నువవు కారు కొననావా?
मैं मदद करूँ?	ఓ చేయి పటటనా?
सुनो, फलिन,	చూడు, ఫలిన,
एक बात कहूँ, बरटन?	ఏంటో తెలుసా, బరటన?
धत.	ఛత.
कि मैंने कभी किसी को मारा है.	ఎపుడెనా ఓ మనిషిని చంపావా అని.
