यह बहुत डरावना है.	ఇది భయంకరంగా ఉంది.
मुझे नहीं लगता कोई भी पराणी कभी पहले वहाँ नीचे गया है. वह बहुत शानदार है.	ఇంతకు ముందు ఎవరూ అకకడికి వెళలి ఉండొచచు అనిపించడం లేదు. అది అదభుతంగా ఉంది.
और जितनी जलदी हो सके, मेरे घर आ जाना.	అలాగే నీకు వీలెనంత తవరగా నా ఇంటికిరా.
तुमहारे लिए एक दिलचसप सा पतर आया है.	నీ కోసం ఒక ఆసకతికరమెన ఉతతరం వచచింది.
कोकोसलैब दवीप हॉसपिटैलिटी शिकषासंसथा	ది కోకోసలాబ దీవి హాసపిటాలిటీ కాలేజీ.
अगर कभी तुम वापस आने का निरणय लो, तो यह जिंदगी हमेशा तुमहारा इंतजार करती मिलेगी.	నీకు గనుక వెనకకి రావాలని అనిపిసతే, నీకోసం ఈ జీవితం ఎపపటికీ ఎదురుచూసతూనే ఉంటుంది.
बेशक.	ఉంది.
जरा पीछे घूमो.	వెనకకి తిరుగు.
कया वे पहले ही हमारे आहार से निराश नहीं हैं?	మన ఆహారం వలల వారు ఇంతవరకు నిరాశపడింది చాలదా?
पहाड से लटकना और उसे उस छेद में डालना.	కొండ అంచున వేలాడుతూ ఆ కననంలోకి పోయాలి.
तो, तय हो गया. मैं जाकर सटैपी-सपीकीस यानि वॉकी-टॉकी ले आता हूँ.	సరే, ఇక చరచ పూరతి అయినటటే. నేను వెళలి వాకీ-టాకీలను తీసుకొసతాను.
और अब उसके जोर की आवाज करके सूप सुडकने पर मुझे गुससा आता है.	కానీ ఇపపుడు వారు సూప తాగే విధానం చూసి నాకు భలే కోపం వసతోంది.
किचन में.	వంటగదిలో.
कया वे सब हमें देख रहे हैं?	అందరూ మనలనే చూసతుననారు కదా?
चंदरमाओं के कारण वाकई अपरतयाशित घटनाएँ होती हैं.	చందమామలు నిజంగానే అసథిరమెన పరవరతనకు గురిచేసతాయి.
अँ-हँ. अँ-हँ.	ఆహ-హా. ఆహ-హా.
यह घिनौना है और बिलकुल सही है. तुम दोनों की जोडी बहुत अचछी है.	ఇది దరిదరంగా ఉంది, కానీ సరిగగా సరిపోయింది. మీరు ఇదదరూ భలే టీమ.
-यह धुआँ हमें ठीक से देखने नहीं दे रहा. -हम दवि-छाया को कैसे देखेंगे?	-ఆ పొగ మన అనుభవానని పాడు చేసతోంది. -ఇలా అయితే డబుల షాడోని ఎలా చూడగలం?
हमने कर लिया.	మనం సాధించాం.
-मैंने तुमहें उठा लिया. लो. और ऊँचा? -चलो. और ऊँचा.	-నేను ఎతతుతాను. అంతే. ఇంకా పెకా? -పదండి. ఇంకా పెకి.
फिसल रहा है. और नहीं पकडा जा रहा.	జారిపోతుననాం. నేను ఇక పటటుకోలేను.
हमने?	మనమా?
वाह.	వావ.
तो फिर हम दोनों मैनेजर होंगे.	అంటే మనిదదరం మేనేజరలం అవుతాం.
हमारी जिंदगियाँ घूमती हैं गोल परिकरमाओं में	మన జీవితాలు కకషయలో తిరిగే గరహం మీద నడుసతాయి
-यह परवाह है -हम परवाह करते हैं	-అది పటటింపే -మనం పటటించుకుంటాం
तो, मैं तुमसे कुछ हफतों में मिलूँगा.	సరే, నినను ఇంకొనని వారాలలో కలుసతాను.
ओह हाँ.	ఓహ యాహ.
सबको साथ मिलकर एक ऐसी समसया को सुलझाते देखकर अचछा लग रहा है जो हम सबने पैदा की है.	మనం కలిసి సృషటించిన సమసయను పరిషకరించడానికి ఇలా అందరూ కలిసి రావడం చూసతుంటే భలే ఉంది.
मुझे बहुत खुशी है कि तुम काम पर जाने से पहले सुबह डेट के लिए आ पाईं.	పనికి వెళళడానికి ముందు ఉదయమే కలవడానికి నీకు వీలెనందుకు సంతోషంగా ఉంది.
वहाँ एक बहुत अनूठी मिटटी है जो मैं चाहता हूँ, तुम इसतेमाल करके देखना.	అకకడికి వెళలిన తరవాత నువవు నాకోసం ఒక పరతయేకమెన మటటిని శాంపిల తీయాలి.
धयान बँटाने में हम लोग बहुत अचछे नहीं हैं, पर यह काम कर रहा है.	మీకు జనం దృషటి మళలించడం అంత గొపపగా రాదు, కానీ ఇది పనిచేసతోంది.
यहाँ से एक दोसत ने फोन करके बताया कि यहाँ धुआँ फैला हुआ है,	ఇకకడ ఒక అందమెన పొగ కమముకుంది అని మాకు ఒక ఫరెండ ఫోన చేశారు,
चलो, मैं अपनी आतिशबाजी की तैयारी करने जा रहा हूँ. बाय-बाय.	సరే, నేను ఇక నా టపాకాయలు సెట చేయడానికి వెళతుననాను. బె-బె.
कोकोसलैब दवीप के लिए हर रोज एक सीधी फलाइट जाती तो है.	ఇకకడి నుండి పరతీ రోజూ కోకోసలాబ దీవికి విమానాలు ఉననాయి.
अगर यह सारे आकाश पर छा गई, तो कारयकरम बरबाद हो जाएगा.	అది గనుక గాలిలో అడడుగా నిలిసతే కారయకరమం పాడెపోతుంది.
-पहला चरण. -हमें पहाड में बना वह छेद बंद करना होगा.	-మొదటి అంకం. -మనం ఆ చీలికలో ఉనన కననానని పూరించాలి.
-इससे उनकी भूख खतम हो जाएगी. -तो फिर कहाँ बहस करें?	-చూడడానికి బాగోదు. -సరే, అయితే ఎకకడ వాదించుకోవాలి?
लोग जाने लगे हैं. हमें उन दरारों को बंद करना होगा.	అందరూ వెళలిపోవడం మొదలెటటారు. మనం ఆ కననాలు మూసేయాలి.
पहाड की चोटी पर बना हुआ रेसतोरां, केयरफुल नाओ. "	కొండ శిఖరం మీద ఉండే రెసటరెంట, కేరఫుల నవ లోనే. "
तुमने कहा था. पर ये पटाखे ही तो हैं. मान भी जाओ.	నువవు చెపపావు. కానీ అవి టపాకాయలు. ఇలా మాటలాడకు.
-तीसरा चरण! -उस घिनौने घालेमाले को ले जाना,	-మూడవ అంకం! -ఆ దారుణమెన దరావణానని తీసుకెళలి,
मैं बस कह रहा हूँ, यह अचछी चीज हो सकती है.	నేను ఇది మీ మంచికే జరుగుతుండవచచు అంటుననాను.
ताजा खबर. लगता है धुआँ आखिरकार छंट रहा है.	బరేకింగ నయూస. ఆ పొగ చివరికి పోతుననటటు ఉంది.
जब तक हमारे जीवन का अगला चरण नहीं आता	మన మనుగడలో మరొక పెదద అంకం మొదలయయే వరకు
मानना पडेगा, यह काफी परभावशाली है.	నేను ఒపపుకుని తీరాలి, ఇది భలే ఉంది.
आपको लगता है आपने थोडी जलदी कर दी?	మీరు కాసత తవరపడడారు అనిపించడం లేదా?
