यहाँ पडे-पडे.	ఇకకడ పడుకుని.
पर शेरिफ जैकमन को मार डाला?	కానీ షెరిఫ జాకమానను చంపాడా?
टॉमी?	టామీ?
हाँ. उसने मार डाला.	అవును. అతనే చంపాడు.
मैडम?	మేడమ?
फलिन.	ఫలిన.
मुझे पता है.	నాకు తెలుసు.
यह मत सोचो कि उसके लिए पयार नहीं.	అందుకు నినను పరేమించటం లేదనుకోకు.
पर इससे बेहतर की हकदार हो.	కానీ నీకు మరెననో సమకూరాలి.
लेव जूबोव को यह पता है,	ఇది లెవ జుబోవకు తెలుసు,
मैंने जितना सोचा था, उससे कहीं जयादा ठोस.	నేను అవసరమనుకునన దానికంటే కఠినమెన నిరణయం.
विलफ.	విలఫ.
पर मुझे शरणारथी शिविर याद आता है.	కానీ నా తొలి జఞాపకాలు శిబిరానివే.
मैंने बेवकूफी की.	మూరఖమెన పని చేశా.
वुलफ!	వూలఫ!
हमने उसके लिए झंडा भी बनाया, बिना अंगूठे वाला हाथ.	మేము దానికొక జెండా కూడా చేశాం, బొటనవేలు లేని చేయి.
उसका कहना था, हमारे हर पाप जरिया हमारा अंगूठा ही तो है.	చేతికి ఎదురుగా ఉండగల బొటనవేలే పరతీ పాపానికి మూలం అనేది.
हथियारों,	ఆయుధాలను,
एक बार फिर, मुझे बचाने के लिए सब छोड दिया.	మరోసారి అననీ తయజించింది, ననను కాపాడటానికి.
लेव?	లెవ?
एलीटा?	ఎలీటా?
फलिन फिशर?	ఫలిన ఫిషర?
विलफ नेदरटन.	విలఫ నెథరటన.
नहीं.	వదదు.
पकका, यही जगह है?	కచచితంగా ఇకకడేనా?
पर पहले ऐसी नहीं थी.	ఇది ఇలా ఉండేది కాదు.
विलफ.	విలఫ.
हमारा शिविर यहीं था.	శిబిరం ఇకకడే ఉండేది.
एलीटा.	ఎలీటా.
इस खूबसूरत हरी घास के नीचे.	ఈ అందమెన పచచటి మెదానం కింద.
गडढा खोदो, गुडिया.	గుంత తవవు, బంగారం.
हमसे?	మనమా?
उनहें इकटठा कर रही हूँ.	వారిని పోగు చేసతుననాను.
मेरा मतलब समझ रहे हो.	నా మాట అరథమవుతోందిగా.
वह. . .	ఒక. . .
जैसपर?	జాసపర?
याद है मोनोपोली को लेकर लडाई हुई थी?	మోనోపొలి ఆటలో మనం గొడవపడటం గురతుందా?
जैसपर. मेरा वह मतलब नहीं था.	జాసపర, నేను ఆ అరథంలో అనలేదు.
हम यह बातचीत कयों कर रहे हैं?	మనం ఇది ఎందుకు మాటలాడుతుననాం?
ऐटिकस!	ఆటికస!
धत! ऐटिकस!	ఛత! ఆటికస!
ऐटिकस!	ఆటికస!
ऐटिकस!	ఆటికస!
यह कया है?	ఏంటీ చెతత?
दकषिणपंथी फौज का इशारा.	అతివాద తీవరవాదుల మాటలు.
मुझे जानना है अगर तुमहें कुछ पता है.	దానిపె నీకు తెలిసినవి నాకు తెలియాలి.
और सपरिंग करीक की तरफ, एक नई वायु सेना सुविधा है.	సపరింగ కరీక వెపున కొతత వాయుదళ కషిపణి కేందరం ఉంది.
मुझे जाना है, टॉमी.	నేను వెళళాలి, టామీ.
तुमने और एलीटा ने आरआई से जो डेटा चुराया था, वह डीएनए में है.	ఆరఐ నుండి నువవూ ఎలీటా దొంగిలించిన డేటా, డీఎనఏలో నికషిపతమెంది.
यह असली लंदन है.	ఇది నిజమెన లండన.
ताकि बात कर सकें.	మాటలాడుకోవడానికి.
सपरिंग करीक में जो सुविधा है, वह उसे उडाना चाहती है.	సపరింగ కరీకలోని ఆ కషిపణి కేందరం పేలచేయాలని చూసతోంది.
नहीं.	లేదు.
शेरीस को लगेगा कि उसकी जीत हुई,	తనదే గెలుపని చెరీస అనుకుంటుంది,
बरटन को पता न चले.	బరటనకు తెలియకూడదు.
