हाँ. ठीक है.	అవును. అంతే.
इस दुनिया में उन पर धयान नहीं दिया जाता.	దాని అంతటికీ ఈ పరదేశం విభిననంగా ఉంటుంది.
आप कौन हैं?	ఎవరు నువవు?
मालिक, हमें फिलली नाम के शहर जाना था.	పరభూ, మనం ఫిలలీ అనే నగరంలో శోధించాలి.
{\an8}करैम	{\an8}కరామ
देखिए. मालिक.	చూడండి. పరభూ.
देखो लकषय अंदर तो नहीं.	లకషయం అకకడ ఉందేమో చూడు.
मालिक, मैं. . .	పరభూ, నేను. . .
लकषय के साथ लौटूं तो नहीं.	లకషయానని తీసుకెళితే చంపరు.
आपने किसी कैदी को ले जाते हुए लोगों को तो नहीं देखा?	ఓ ఖెదీని తీసుకు వెళుతునన ఓ బృందానని మీరేమెనా చూశారా?
नहीं.	లేదు.
फिलली जा रही हो?	ఫిలలీకా వెళలేది?
शहर है.	ఓ పటనం.
तारीफ होनी चाहिए.	మెచచుకుని తీరాలి.
मैं ठीक हूँ. धनयवाद.	పరవాలేదు. ధనయవాదాలు.
{\an8}बूम!	{\an8}బూమ!
{\an8}वॉलट-टेक	{\an8}వాలట-టెక
विलजिग.	వీలజిగ.
नहीं.	లేదు.
लोग मजाक में कहते थे कि परमाणु विसफोट से कॉकरोच ही बचेंगे.	అణు విసఫోటనంలో బొదదింకలు బతికిపోవడంపె పరజలు హాసయం చేసేవారు.
ऐसे नवजात बचचों को भसम करें जिनका वजन 10 औंस से कम है	10 ఔనసల కుంటే తకకువ బరువెన నవజాత శిశువులను దహనం చేయండి
{\an8}चीखने के लिए माफ करना. मुझे गोली जो लगी है.	{\an8}సరే, అరిచినందుకు మననించు. నా కాలిని కాలచాడు.
मुझे उस बंदूक से मारा नहीं, तुम अचछी इंसान हो.	ఆ తుపాకీతో ననను కాలచలేదంటే, నువవు మంచిదానివి.
एंटीना बडा हुआ जिससे झुंड में शिकार कर सकें.	గుంపులుగా వేటాడేందుకు యాంటెనా విసతరించింది.
योदधा का करततवय है कि दुनिया को बेहतर बनाए.	ఈ కూలిన పరపంచానని బాగు చేయడం సెనికుడి బాధయత.
हम अमेरिका को बचाने वाले हैं.	మేము అమెరికాను కాపాడబోతుననాం.
दाँत निकल आए ताकि बडे शिकार को खा सकें.	పెదద ఎరను తీసుకోవడానికి సహాయపడేలా కోరలు.
पता है टोसटर अवन से कया कर सकते हैं?	టోసటర ఓవెనతో ఏం చేయాలో నీకు తెలుసా?
