लूसी.	లూసీ.
गैलेकसी नयूज	గెలాకసీ నయూస
सही सुना,	అది నిజం,
आपसे मिलकर बहुत अचछा लगा. धनयवाद.	ఇది చకకని కలయిక. మీ రాకకు సంతోషం.
वेसट-टेक?	వెసట టెక?
अपनी तरह का पहला.	చాలా పరతయేకమెనది.
मैंने ही रोल आउट संभाला था.	నేను రోలౌటను పరయవేకషించాను.
बड. बड आसकिनस.	బడ. బడ ఆసకినస.
- इसके लिए? - हाँ.	- దీనికా? - అవును.
तुमहारे लिए जो कर सकता हूँ	నేను నీ కోసం చేయబోయే పనులు
दुशमन के इलाके में जा रहा हूँ.	నేను శతరు భూభాగంలోకి వెళతుననా.
मि. हावरड, घर सुंदर है.	అందమెన ఇలలు, మి. హావరడ.
मि. हावरड?	మి. హావరడ?
बड आसकिनस.	బడ ఆసకినస.
एकटर अपने टरेलर से निकले ही नहीं.	నటులు తమ టరెలరల నుండి బయటకు రారు.
जिंदगी बरबाद है.	అది మరీ విచితరం.
लगा वह किरदार सटूडियो का था.	ఆ పాతర సటూడియో సొంతమనుకుననా.
बस उनका भविषय सही है.	బంగారుమయమని చెపపగలను.
इंतजार है.	వేచి ఉననా.
सामानय हूँ?	మామూలుగానా?
ऐसा ही होना चाहिए.	నిజానికి పరతిసారీ.
- पंथ नहीं है. - सब मुसकुरा रहे हैं.	- ఇది కలట కాదు. - అందరూ నవవుతుననారు.
और अगर बाथरूम का इसतेमाल नहीं आता हो, तो पूछ लें.	బాతరూంలు ఎలా పని చేసతాయో మీకు తెలియకపోతే, అడగండి,
वही तो कह रहा हूँ. लोग भलाई दिखाएँ. . .	అదే చెబుతుననాను. జనాలు మంచిగా ఉంటే. . .
और मैं कया करूँगी?	మరి నేనేం చేసతాను?
तुम सुंदर दिखती रहना	నువవు అందంగా ఉంటావు,
नहीं.	లేదు.
मैं बस यही कहता हूँ कि एक ही जिंदगी है.	మనకు ఉననది ఈ జీవితమే అని చెబుతుననానంతే.
मुझसे जो बने, कर रही हूँ. ठीक है?	నాకు కుదిరినది చేసతుననాను. సరేనా?
हाँ.	సరే.
हम फिलमें बनाते हैं, चारली.	మనం సినిమాలు చేసతాం, చారలీ.
पता है, विशवसत उततरदायितव कया है?	విశవసనీయ బాధయత అంటే ఏమిటో తెలుసా?
विशवसत उततरदायितव है निवेशकों के लिए पैसा बनाना.	పెటటుబడిదారులకు డబబు సంపాదన దాని విశవసనీయ బాధయత.
