एक घर, एक औरत.	ఇలలు, ఒక సతరీ.
और वह एहसास सचचा है.	ఆ ఫీలింగ మాతరం నిజం.
बलिस	బలిస
गरेग विटल	గరెగ విటల
परायदवीप	దవీపకలపం
एमिली विटल	ఎమిలీ విటల
गरेग विटल.	గరెగ విటల.
अचछा, मैं अभी आता हूँ.	సరే, ఇపపుడే వసతుననాను.
बयॉरन पेडरसन	బయోరన పీడరసన
गरेग?	గరెగ?
बयॉरन?	బయోరన?
तुम असली हो.	నువవు నిజమే.
मैं इंतजार कर रहा था. . .	నేను ఎదురుచూసతుననాను. . .
माफी मत माँगो.	కషమాపణలు ఆపిక.
वहाँ जाकर बटुआ लेकर आओ.	ఆ పరసు తీసుకొని ఇలా రా.
-तुम कया कर रहे थे?	-నువవేం చేసతుననావు?
यह मुमकिन नहीं.	అది సాధయం కాదు.
-यह टरटलिसटिक है.	-ఇది టరటిలి-సటిక.
-ठीक है.	-తీసుకో.
तुमहारी मदद के लिए शुकरगुजार हूँ.	చెపపాలంటే నీ సహాయానికి ధనయవాదాలు.
बयॉरन पेडरसन	బయోరన పీడరసన
मुझे दिखाओ. तुमहारे पास वो चितर हैं?	నాకు చూపించు. నీ దగగర ఆ బొమమలుననాయా?
"मुझे लगा था इलाज करवा लिया. "	"అది బాగు చేయించావనుకుననాను. "
"बायाँ कंधा या दायाँ वाला?	"నీ కుడి చెయయా, ఎడమ చెయయా?
गिराओ.	చెయయి.
-नहीं.	-వదదు.
भूल जाओ वो सारे भरम.	ఆ భరమల నుండి బయటపడు.
मैं कैसा लगता हूँ?	ఎలా కనిపిసతుననాను?
सराय	మోటల
दफतर	ఆఫీస
यहाँ आओ, जानू. ए, यहाँ आओ.	ఇలా రా, కయూటీ. హే, ఇలా రా.
ताक पर रखने के दो घंटे बाद	షెలఫలో పెటటిన రెండు గంటలకు
नया बंदा कौन है?	ఆ కొతతవాడు ఎవడు?
मैं पीला माल लेने आई हूँ. इसे भर दो.	నాకు కొనని పసుపులు కావాలి. నింపివవు.
एमिली!	ఎమిలీ!
माफ करना. बहुत. . .	మననించాలి. అది. . .
पलीज.	పలీజ.
इजबेल?	ఇజబెల?
इजबेल?	ఇజబెల?
इजबेल?	ఇజబెల?
नहीं! नहीं! मुझे लगा. . .	లేదు! అలా కాదు! నాకు. . .
मैंने कोशिश की, पर मैं. . .	పరయతనించాను, కానీ నేను. . .
इजबेल, रुको.	ఇజబెల, ఆపిక.
आओ.	రా.
और आपका बाहर निकलना?	మీ బయటపడే తంతరం ఏది?
सवेचछाकरमियों के साथ कभी-कभी होता है.	కొననిసారలు ఇది వాలంటీరలకు జరుగుతుంది.
याददाशत लौटी नहीं?	నీ మతి రాలేదు కదా?
अचछा है मुझे यह जगह याद नहीं	దీనిని మళలీ మళలీ చూడటానికెనా
नहीं.	లేదు.
मैं नहीं. . .	నావలల కాలేదు.
-नहीं.	-లేదు.
सवचलन, कृतरिम जीवविजञान,	ఆటోమేషన, సింథటిక బయాలజీ,
द थॉट विजुअलाइजर!	ఆలోచనల దృశయీకరణి!
और एसटरॉयड खनन के चलते	ఇక గరహశకల మెనింగ అయితే
मुझे देखो.	ననను చూడు.
गरेग.	గరెగ.
चलो भी.	అరే రా.
उनहोंने कया कहा?	నీతో ఏం చెపపాడు?
-किसी से मत कहो. मैं हूँ!	-ఎవరూ నమమరనకు. నేనుననాను!
है ना?	సరేనా?
