Hindi	Telugu	Similarity_Score
- बुरा नहीं है , ह ँ ? - हाँ .	- త కకువ కాదు , హా ? - అవును .	0.5986
दूस री और ती स री टा सक फो रस श वा इन फर ट में मौ जू द ब ॉल बे रि ंग की फै कट रि यों पर	రెండ వ , మూ డ వ టా స క ఫో ర సు లు ష వ యి న ఫర ట లో ఉనన బ ాల బ ే రి ంగ కర మా గా ర ాలు లకష య ంగా	0.7209
हम जर मन उ त पा द न को कई म ही नों के लिए बंद कर देंगे .	మనం జర మన ఉ త ప తతు లని కొ ద ది నె లల పాటు ని లి పి వే య చచు .	0.6568
क ॉर पो र ल .	కార పొ ర ల .	0.4921
यह रे ग न सब र ग है .	ఇది రే గె నస బ రగ .	0.5770
मे जर बो मन ?	మే జర బో మన ?	0.5712
मे जर ?	మే జర ?	0.5891
धनयवाद , रे ड .	థాంక యూ , రె డ .	0.4935
कया , मुझे एक या तरी ले जाना होगा ?	ఏంటి , నాతో పాటు ఆయన ఉండ బో తుననా డా ?	0.5651
सौ परति श त संभा वना है .	వ ంద శా తం అవకా శం ఉంది .	0.5550
धनयवाद , सट ॉर मी .	థాంక యూ , సటా ర మీ .	0.4989
" . . . आ स मान के नीचे सुन सान रा सत ों से उ डो . "	" . . . ఆ కా శం మా రగ ంలో ఒ ంట రి దారు లలో పర యా ణం . "	0.7262
पी न ट ब टर , पी न ट ब टर , पी न ट ब टर , जै म .	పీ న ట బ టర , పీ న ట బ టర , పీ న ట బ టర , జా మ .	0.6798
ब की .	బ కీ .	0.4399
ब की .	బ కీ .	0.4399
यहाँ आओ , मी ट ब ॉल . चलो . अचछे बचचे .	ఇలా రా , మీ ట బ ాల . ఇలా రా . గు డ బా య .	0.6328
डॉ न लड एल . मिल र की कि ता ब पर आ धा रि त	డ ొ నా ల డ ఎ ల మి లల ర రా సిన న వల ఆ ధా ర ంగా	0.5837
ती स रा भाग	మూ డ వ భా గం	0.5058
- रे डियो , नहीं . - वे सट , नहीं .	- రే డి యో , లేదు . - ర కష ణ , లేదు .	0.6289
नहीं , सर .	లేదు , సర .	0.4945
नहीं .	లేదు .	0.3291
अन य टा सक फो रस को हमारे पीछे होना चाहिए था .	వాళలు మళలీ రెండ ో సారి రా కుండా చూడ ాల సి ఉంది .	0.5477
रि जर व में पीछे बैठ ा पायलट .	రి జర వు లో వె నుక సీ టు పె లెట .	0.5856
विमान बा ई ं तरफ खि ं च रहा है .	విమానం ఎడ మ వెపు లా గే సతోంది .	0.5466
ठीक है .	వి ననా ం .	0.3605
सर .	సర .	0.6010
तुमहें पै रा श ू ट दिख रहे हैं ?	పా రా చూ టలు ఏమెనా కనిపి ంచా యా ?	0.5607
ध क का दो , बे बी फ े स ! मेरी मदद करो !	నె టటు . బ ే బీ ఫ ే స ! నాకు సాయం చేయి !	0.6516
नहीं !	వదదు !	0.3902
नहीं !	లేదు !	0.3291
सर .	సర .	0.6010
नहीं !	లేదు !	0.3291
डि की ! डि की ! नहीं !	డి కీ ! డి కీ ! లేదు !	0.5041
- वह वैसे भी मर ने वाला है , ले फ टि न ें ट . - नहीं , नहीं म रे गा !	- అతను ఎలా గ ెనా చని పో తా డు , లె ఫ టె నె ంట . - లేదు , తను చని పో డు !	0.7016
मैं तुमहारे पीछे ही हूँ . निक लो !	నీ వె నుక నే వ సతాను . నువవు వెళ లు !	0.5706
मैं हमें नीचे उ तार रहा हूँ , डि क . विमान मेरे निय ं तर ण में है .	మన విమా నా నని ల యా ండ చేసతుననా , డి క . విమానం నా అ దు పు లోనే ఉంది .	0.6336
