म ॅ क सि मस .	మా క సి మస .
सच जान ो कि बार ब कहाँ काम करती है .	మీ ఆ వి డ చేసే పని పె నిజం తెలుసు కో .
मि सटर हा वर ड ?	మిసటర హా వర డ ?
सै ंड रा ?	శా ండ రా ?
बात यह है , डै डी जी , मुझे तो लगता है कि	సరే , చూడు , పె ద దా య నా , నేనే ం చెపప గల న ంటే ,
तुमहारी छो टी बहन को भी .	నీ చి టటి చె ల లె లి తో సహా .
मैं यहाँ से जाने वाला हूँ या फिर तुम मुझसे बद ला लो गे	నేను ఇ వాళ నిజంగా వెళలి పో తా నా , లేదా నేను నీ సోద రు డి కి
टॉ मी !	టా మీ !
इतनी ही बकवास स ह न होगी .	ఇంత కంటే సో ది భ రి ంచ లేను .
मि . ह ॉ वर ड ?	మి . హా వర డ ?
कुछ ख री द ने के लिए वॉल ट - टे क ने कि तने पैसे दि ए आपको ?	వాటి ని మీరు వదిలే య డానికి వాల ట టె క ఎంత చె లలి ంచింది ?
वे सभी कं प निया ँ ख री द ली ं जहाँ मैंने कभी काम किया था .	అడుగు పె టటి , నేను పని చేసిన పరతి కం పె నీ ని కొ నే సింది .
एक करो ड पति कम यु नि सट ?	క మ యూ ని సట కో టీ శ వ రు లా ?
मैंने देखा तुमने उनहें पक ड र खा है .	ఆ పే ద మ హి ళ లను మీ రే ం చేశా రో చూశా ను .
कि वै ज ञ ा नि कों को खु ली छ ू ट देने पर कया होता है .	ఏం జరుగు తు ందని మనం ఓ కే స సట డీ గా ఉ ప యో గి ంచ కూడదు .
माफ करना , मैंने इसे बहुत समय से नहीं देखा है .	మన ని ంచు , నేను చాలా కాల ంగా ఆ ఫ ు టే జీ ని చూడ లేదు .
पर यो ग शा ला में मैंने . . . आपके डॉ क टर ों को . . .	పర యో గ శ ాల లో , నేను . . . మీ డా క టర లను చూశా ను . . .
नहीं .	లేదు .
ला ल रॉ के ट	రె డ రా కె ట
ठीक है . हाँ .	సరే . అంతే లే .
बर दर हु ड से सं पर क करके यह सिर उनहें देना है .	సో దర జా తి ని సం పర ది ంచి , ఈ త లను తిరిగి ఇవ వాలి .
{ \ an8 } इ जे कट	{ \ an8 } ఎ జె క ట
हाँ , पर इससे लोगों की मदद कर सकता हूँ .	అవును , కానీ ఈ క వచ ంతో పర జ లకు సా య పడ గలను .
सी पि यों की याद आ रही है ?	ఆ ఆ య సటర ల గురించి ఆలోచ నా ?
टा इट स , तुम अचछे इंसान हो .	నువవు మంచి మనిషి వి , టె ట స .
शे डी सै ंड स ? वह जगह तो ख तर ना क वि कि रण वाली है .	ష ే డీ శా ండ స ? అకకడ చాలా రే డి యో ధా ర మి క త ఉంటుంది .
- भा ड में जा ! - निकल !	- పో రా ! - అవ త లి కి పో !
मैं ऐसा कभी नहीं कर ूँगी . कभी नहीं .	నేను అలా ంటి పని చేయ ను . నేను చేయ ను .
लोगों को बुरा लगे गा जब उनहें पता चले गा .	జ నా లకు ఈ విషయం తెలి సతే వాళలు బాధ పడ తారు .
{ \ an8 } वॉल ट अ सा इन में ट शुरू करें	{ \ an8 } వాల ట అ సె న మె ంట ఆ రం భి ంచండి
दु बारा ब साह ट के अ सा इन में ट भेज रहे हैं	జ నా భా పు న రు దధ రణ అ సె న మె ంట లను పం పు తోంది
{ \ an8 } ब धा ई हो ! आप वॉल ट 3 3 में र हें गे	{ \ an8 } అభి న ంద నలు ! మీరు 3 3 లో ఉ ంటుననా రు
{ \ an8 } ब धा ई हो ! आप वॉल ट 3 3 में र हें गे	{ \ an8 } అభి న ంద నలు ! మీరు 3 3 లో ఉ ంటుననా రు
न ॉर म , तुमहारी याद आए गी .	నువవు గుర తొ సతా వు , నా ర మ .
चे ट .	చె ట .
सही सुना ,	అది నిజం .
और हम यहीं वॉल ट चार में र हें गे और काम करेंगे ,	మేము ఇకకడ ే వాల ట 4 లో నివ సి సతుననా ం , పని చేసతా ం ,
के पी ए स ए स	కే పీ ఎ స ఎ స
अब ऐसी आवा ज मिल ना मुशकिल है .	ఇక పె ఆ గొపప ధ వని ని పొ ంద లేవు .
तुम कौन हो ?	ఎవరు నువవు ?
नहीं .	లేదు .
थे डि य स . . .	థా డి య స . . .
नहीं .	లేదు .
यह अचछी बात है न ? बर दर हु ड के लोग अचछे होते हैं ?	ఏంటి ? ఇది మంచి దే గా , కా దా ? సో దర జా తి మంచి వాళ లే గా ?
कया कर रहे हो ?	ఏం చేసతుననా వు ?
