मार कस .	మార కస .
ब लै क माम बा .	బ లా క మా ం బా .
जैसे किल बिल में उ मा थ र मन .	కి ల బి లలో ఉ మా థ ు ర మన లా గా నా .
तुम कर लो गे .	నీ కే మీ కాదు .
चल , सा ले !	పద , వెధవ !
हाँ !	సరే !
या ह ू , सा ले !	యా హ ూ , వెధవ !
ऊ बर , यह अचछा नाम है .	ఉ బె ర , నా క ది న చచి ంది .
मेरे खया ल से हमें जाकर पता करना चाहिए .	అది మనం తపప ని సరి గా వెళళి చూడ ాలను కుంటా .
बा य , माँ .	బె , అమమా .
देखना कि सब को सै ंड वि च मिल जाए .	అంద రికీ సా ండ వి చ అంద ే లా చూ సుకో .
बा स तो स .	బా సటా స .
नहीं .	లేదు .
शायद तुम मेरा काम मुझसे बेहतर कर सकते हो ?	బహుశా నా పని నా కంటే బాగా నువవే చేయ గల వే మో ?
तुमने और क सान ड रा ने यही कहा था न ?	నువ వ ూ , కా సా ండ రా అదే కదా చెపపి ంది ?
नि को ल स . . .	ని కో లస . . .
तुमहें यहाँ देख कर अचछा लगा .	మిమమలని ఇకకడ చూడ డం బాగుంది .
हैलो , दोसत ों .	హాయ , అంద రికీ .
अब आपको यकीन हो रहा है ?	ఇపపుడు నా మాట నమ ము తా రా ?
मैंने कहा था , हम जी त सकते हैं .	మీకు చెపపా ను గా , మనం గె లవ గల మని .
वह हमारा दर द नहीं जान ना चाहते जो हम भ ू ख ,	మనం వె నిజ ు ల ాలో ఆ కలి , జ బ బు లు , అవి నీ తి వలల
नहीं .	లేదు .
तो मैं बता द ूँगा .	నీకు చెపపే వాడిని .
पर मु द दा वह नहीं है .	కానీ విషయం అది కాదు .
- समझ गए ? - समझ गए .	- వి ననా వా ? - వి ననాను .
ठीक है .	మంచిది .
यह कया ब ला है ?	అసలు ఇది ఏంటి ?
रुको .	ఉ ండు .
तुम कौन हो ?	ఎవరు నువవు ?
पर हम इसे अपने साथ तो हर गि ज नहीं ले जाने वाले .	సరే , వాడిని ఎ టటి పరిసథి తు లలో మన తో తీసుకు వెళళ ం .
डी ए नए .	డి ఎ న ఎ .
और मैंने कहा कि अब मैं तुमहारे लिए काम नहीं करता . चलो .	నేను కూడా నీకు చెపపా ను . నేను నీ కింద పని చేయ ట లేదు . పద .
तो वे मुझे द फ तर के काम में लगा देंगे या रि टा यर होने पर म जब ूर कर देंगे .	వాళళు ననను బ లల వ దద చేసే పని లో పె డ తారు , లేదా బ లవ ంత ంగా రి టె ర చేయి సతారు .
- वहाँ जो भी हुआ . . . - हम यहाँ डि ब ब ों की त ला शी ले ने आए थे ,	- అకకడ జరిగింది . . . - మనం ఇకకడ క ంట ె యి న రలు వె త క డానికి వచచా ం ,
कुछ अ ख बार ों में खबर आ रही है कि आप वा कई जी त सकती हैं .	నిజ ానికి మీరు గె లవ గల రని కొనని వార తా ప త రి కలు అ ంటుననా యి .
कि अ मरी की सा ंस द जि म मो रे नो के नि र द य ी का ति लों को . . .	యు . ఎ స . సె నె టర జే మీ మో రె నో ని హ తయ చేసిన కి రాత కులు . . .
