न व ंबर .	న వం బర .
आ ख िर वहाँ चल कया रहा है ?	అసలు అకకడ ఏం జరుగు తుంది ?
ए परि य स	ఎ పరి ఎ స
ए परि य स ल ंद न में स थि त एक नि जी सै न य कं प नी है .	ఎ పరి ఎ స అనే ది ల ండ న లో ని ఒక పర ె వే ట సె నిక సం సథ .
मुझे ल ंद न जाना होगा .	నేను ల ండ న కు వెళళ ాలి .
आ ख िर वह जा कहाँ रहा है ?	తను ఎ కకడికి వెళ తుననా డు ?
जरूर . मैं कया मदद कर सकता हूँ ?	ఫర లేదు . నీకు ఏం సహా యం చేయ గలను ?
शायद मुझे उनसे बात करनी चाहिए .	బహుశా నేను అతని తో మాటలాడ ాల ే మో .
मुझे भ ू ख नहीं है .	నాకు ఆ కలి గా లేదు .
कुछ नहीं .	ఏమీ లేదు .
रॉ ड रि गो .	రో డ రి గో .
बिना बता ए आने के लिए माफ ी चा हूँ गा .	చెపప కుండా వచచి న ందుకు ననను కషమించు .
गु ड ई व नि ंग .	శు భ సా య ంత రం .
गु ड ई व नि ंग , जन र ल .	శు భ సా య ంత రం , జ న ర ల .
आपका घर बहुत सु ंदर है .	మీ ఇ లలు అదభు తంగా ఉంది .
अग ला कार य का ल मेरे लिए आ खि री होगा .	వచచే సారి , నాకు ఆ ఖ రు టర మ అవు తుంది .
नहीं .	లేదు .
स था नी य लोगों को जब र न उनकी ज मी न से बे द ख ल करना .	సథా ని కు లను తమ పరా ంత ం నుండి బ లవ ంత ంగా పం పి ంచడం .
उनहें ला पता हुए एक साल से जयादा हो गया है .	ఆయన కనిపి ంచ కుండా పోయి ఏ డా ది పె నే అవు తుంది .
सर जि यो बेहद ई मान दार इंसान थे .	సే రి గో గొపప నిజ ా యి తీ గల వయకతి .
जानती हूँ कि यह बेवकू फी है .	అది పిచచి తన మే , నాకు తెలుసు .
तो मै कस को तुमने किस से मिल वा या था ?	అయితే , మీరు మా కస ను ఎవరి తో కలి పా రు ?
अपने और तुम जो भी करना चाहते हो	మన కి , మనం చేయ ాలను కునన ప నికి మధయ
तुमने आ खि री बार मै कस को कब देखा था ?	మీరు మా కస ని ఆ ఖ రి సారి ఎ పపుడు చూ సా రు ?
प ॉल	పాల
कया बात है , जान ? तुम ठीक तो हो न ?	ఏ మెంది తల లీ ? నువవు బాగానే ఉననా వా ?
तुम कहाँ हो ?	ఎకకడ ఉననావు ?
यह लो .	ఇది గో .
हे क टर !	హె క టర !
सट े क ए ंड कं प नी	సట ీ క & a m p ; కం .
फ लै श ला इ डा र	ఫ లా ష లె డా ర .
प ला जा के द कष ि ण - प श चि मी छो र पर .	ప లా జా కు నె రు తి ది కకు న ఉననాడు .
ठीक है , यह लो . सभी टी में तैयार हो जाएँ .	సరే , వెళ దాం . అనని జ టలు , సిదధ ంగా ఉండ ండి .
ग ृ ह म ंत री सर जि यो बो ना ल डे ने अ मरी का और वे ने जु ए ला के ते ल सौ दे को म ं जू री दी	అంత రగ త మ ంత రి సే రి గో బ ొ ండ ే ల యు ఎ స తో వె నిజ ు లా చ ము రు ఒ పప ందా నని ధ ృ వీ కరి ంచా డు
और ह थ िया र ों की त स करी के कारण वह वि त त वि भाग की ए स डी ए न सू ची में भी है .	అతను ఆ యు ధ ాల అ కర మ ర వా ణ ా కేసు లో , ఖ జా నా శా ఖ వారి ఎ స డి ఎ న జా బి త ాలో ఉననాడు .
वहाँ के लोग नौ जवा न हैं , पढ े - लि खे हैं और सो श ल मी ड िया इस ते माल करते हैं .	ఇ కకడి జ నా భా అ ధి కులు యు వ త , చ దు వు కునన వారు , సా మా జి క మా ధయ మ ాల లో ని పు ణ ు లు .
यह धयान में रख ते हुए , मैं आपको एक पर सता व देना चाहता हूँ .	దానని ద ృష టి లో ఉ ంచు కు ని , నేను నీ కొ క ఆ ఫర ఇవ వాల ను కుంటుననా ను .
यह एक जर म नी में बना हुआ तीन कट रहे ड वाला ड रि लि ंग रि ग है	ఇది ట రి పు ల భ ర మ ణ క టట ర హె డ గల జర మ నీ లో త యా రెన డ రి లలి ంగ రి గ ,
बिना अ दा ल ती आ देश के एक नि जी कं प नी के बै ंक खा त ों पर	అంటే , స రెన నయాయ సథా న ఆ దేశం లే కుండా ఒక పర ె వే టు సం సథ
और उसके लिए तुमहें किसी और की जरूरत नहीं होती है .	అందు లో ఏ ది చేయ డా ని కె నా , నీకు ఇం కె వర ూ అవసరం లేదు .
जब मैं अब तक इस देश की परति नि धि ब नी ही नहीं हूँ .	మీరు ననను ఎందుకు కల వాల ను కుననా రో నాకు అరథం కాల ేదు .
आप वे ने जु ए ला में कि तने समय से थीं , मि स सट े बि न स ?	మీరు వె నిజ ు ల ాలో ఎంత కాల ం ఉననారు , మి స సట ె బ బి నస ?
इसमें वे रो श नी की ला ख ों कि रण ों का इस ते माल करके	వాళళు ఏం చేసతా ర ంటే , లకష ల కొ దద ీ కా ంతి బి ందు వు లను
पर मुझे लगता है इसमें हम दोनों का फा य दा है .	కానీ ఇ ందు లో మని దద రికీ అవ సర మెన అ ం శ ాలు ఉననాయి .
को लि ना स डि बे लो म ों टे जि ला करा कस , वे ने जु ए ला	కొ లి నా స డె బె లలో మా ంట ె జి లలా క రా కస , వె నిజ ు లా
उनहें जो ड ते हो और अपनी रि पो रट लि ख दे ते हो	నువవు వా ట నని టి నీ కలి పి , నీ ని వే ది క రా సతా వు
यह साफ बता द ूँ कि हम खुद ये काम नहीं करते ,	మీకు సప షట ంగా చెపప ాల ంటే , మేము ఆ పని చేయ ము ,
- वह कहाँ है ? कहाँ ? - पलीज , थोडा पास जाओ .	- అతను ఎకకడ ఉననాడు ? ఎకకడ ? - ఇంకా జ ూ మ చేయాలి .
अपने देश में ख न न करना ग ैर कान ू नी नहीं है .	స వ ంత దేశం లో గ ను లు త వ వడం చ టట వి రు దధ ం కాదు .
पर वह काम के सि ल सि ले में कई जगह जाते थे .	కానీ తన పని మీద చాలా పరా ంత ాల కు వెళళ ే వాడు .
और शायद इन दोनों के पीछे रे य स का हाथ है .	ఈ రె ండి టి వెన క రే యే స హ స తం ఉ ందని నా నమమ కం .
ये त सवी र ें मैंने दूसरे डि ब बे में ली थीं .	ఇ వి నేను రెండ వ క ంట ె యి న ర లో తీ సిన ఫో టో లు .
रू पर ट थो र न . इसमें हमारी मदद कर सकते हो ?	రు పె ర ట తో ర నే . మాకు ఆ విషయం లో స హాయ పడ గల వా ?
मुझे लगा कि तुम ट रि पो ली में मा री गई थी .	నువవు ట రి పోలీ లో చని పోయా వని అను కుననాను .
अभी आपके परिवार की सुरकष ा सबसे अ हम है .	పర సతు తం మీ కుటుం బ భ దర త అత య ంత ముఖ య మెన ది .
कयोंकि मैंने वह किया , हमें उसे वि स फो ट से जो ड ने वाले उ ंग लि यों के नि शान मिल गए .	నేను అలా చేసా ను కా బ టటే , ఈ పే లు డు కు సం ధా ని ంచే అతని వే లి ము దర లు మనకు దొ రి కా యి .
हाँ . वह खु ले आ म रे य स का वि रो ध करते थे ,	తెలుసు . అతను రే యే స కు బ హి రం గ వి మర ష కు డు ,
है री , है रा न होने के लिए माफ ी चा हूँ गा .	హ యా రీ , నేను నిర ఘ ా ంత పోయి న ందుకు మన ని ంచు .
माफ कर दो . उसने मुझे यह करने पर म जब ूर किया . मेरी बहन उसके कब जे में है .	కషమి ంచండి . కషమి ంచండి . అతను నాతో అలా చేయి ంచా డు . నా చె ల లె లు అతని వ దద ఉంది .
आप जन र ल उ बा री को तो जानती ही हों गी .	నీకు జ న ర ల ఉ బర రి తెలుసు అనుకుంటా ను .
आप से मिल कर अचछा लगा , मि सटर ग री यर .	మిమమలని కల వడం బాగుంది , మిసటర గర ీ ర .
आपका देश हमेशा से ला ति न अ मरी का के	మీ దే శా నికి లా టి న అ మె రి కా ఎ నని క లలో
- नहीं , मैं ल ंद न में हूँ . - ल ंद न ?	- లేదు , నేను ల ండ న లో ఉననాను . - ల ండ నా ?
तो शा म तक उसके पास पहुँच जाएँगे .	స ూర యా సత మయా ని కల లా , త నని చే రు కో గల ం .
वह करी ब एक साल पहले ला पता हो गए .	అతను ఒక ఏ డా ది నుండి కనిపి ంచ ట లేదు .
वे दुनिया भर की अ हम और ख तर ना क जग हों पर सै न य सुरकष ा कर मी दे ते हैं .	వాళళు పరపంచ ంలో అనని ఉద రిక త పరా ంత ాల కు సె ని కు లను సర ఫ రా చేసతా రు .
यह एक बेहद अ हम मि शन है , म टे यो .	ఇది చాలా ముఖ య మెన పని , మే టి యో .
किसी को पता है कि कया हुआ था ?	ఏం జరిగి ందో ఎవరి కె నా తెలుసా ?
तो हमें ए म आई 5 से पूछ ना होगा .	మనం ఎ ం 1 5 ను అడ గ ాల సి వ సతుంది .
पर मैं समझ नहीं पा रहा हूँ कि आप मुझसे कया चाहती हैं .	కానీ మీరు ననను ఏం చేయ మని అడుగు తుననా రో నాకు అరథం కాల ేదు .
मुझसे बात करने का शुकरिया .	నా కాల ఎ తతి న ందుకు క ృ త ఙ ఞ తలు .
राज नी ति नौ जवा नों का खेल है .	రా జ కీ య ాలు యు వ త ఆ డు కునే ఆట .
