धनयवाद .	మంచిది !
- तो , हो मो एक - दूसरे से इस तरह बात करते हैं ? -	అంటే , హో మో స ఓ కరి తో ఒక రు ఇలా గే మాటలాడు కుంటా రా ?
न वा ब हो मो है .	న వా బ ఒక హో మో .
न वा ब हो मो है !	న వా బ ఒక హో మో !
अंदर .	లోప ల .
हम ती नों के बीच , ठीक है .	మన ము గ గురి మధయ లో , సరేనా ?
और हमारा सर कार में ग ठ बं धन है , और हम . . .	ఈ గ వర న మె ంటు పె గె లి చి ఇంకా మే మి దద రం కలిసి
नहीं , तुमने त बा ह नहीं की . मेरी जिंदगी बहुत अचछी है .	లేదు నువవు ఏమి చేయ లేదు . నా జీవితం బ రం హ మా ండ ంగా ఉంది .
वो सच नहीं है .	అది నిజం కాదు .
अगर पहली बार तुमहें सुना ई नहीं दिया तो .	ఒక వే ళ ముందు చెపపి ంది నువవు వి ను ండ కపోతే .
सर , न वा ब ?	సర , న వా బ ?
आर जे ए स पी अ ध य कष बर जे श याद व की बेटी का दे हा ंत	ఆర , జె , ఎ స , పి లీ డ ర బర జే శ యా ద వ కు మార తె మ రణ ం
क ंग न पता नहीं . इसमें देख ें . . .	గా జు లా ? నాకు తెలీదు . ఇకకడ చూడు .
सवी कार करता हूँ .	అ ంగ ీ కరి సతుననాను .
सवी कार करती हूँ .	అ ంగ ీ కరి సతుననాను .
जिंदगी की म ती है , और मैं अपनी जिंदगी अपने पति के साथ गु जार ना चाहती हूँ .	జీవితం చాలా వి లు వెన ది నేను దానని నా భ ర త తో కలిసి ప ంచుకో వాల ను కుంటుననా ను .
द फ तर 2	ఆ ఫీ స 2
कया है ये सब ?	ఇ దంతా ఏంట స లు ?
एक से क ंड , जान . एक से क ंड .	జ సట ఒకక సె క న . ఒకక సె కను .
हम इसे ठीक नहीं कर सकते , आ दिल .	మనం దీ నని ఫి కస చే స కో లే ం , ఆ ది ల .
बात सिरफ फै जा की नहीं है , यार . ये शादी ना काम या ब है !	ఇది ఫె జా ఒకక దాని గురి ంచే కాదు . మన పెళళి ఇం క న డ వ దు .
- हाँ , मैंने गलती की , फिर भी . . . - मैंने ध ो खा दिया !	- అవును , నేను మో సం చేసా ను , అయి నా - నేను మో సం చేసా ను !
गा ंड ू	వెధ వా
कुछ नहीं , आ ं टी . वो रो श नी ठीक कर रहा हूँ ना . एक मिनट लगे गा बस .	ఏం లేదా ంట ీ . ఆ లెట సె ట ప చేసతుననా ను . ఒక ని ము ష ం పడు తుంది , అంతే .
क बी र , मैं तुमहें बहुत पसंद करती हूँ . मुझे अभी बस ए ह सा स हुआ .	క బీ ర , నాకు నువ వ ంటే చాలా ఇషటం . అది నా కి పపు డి పపుడే తెలు సతోంది .
मैंने आप सभी को आज यहाँ ये ए ला न करने के लिए बुला या है	నేను మిమమలని అంద రి నీ ఇకకడ కి పి లి చి ంది నేను జా న మే థ యూ ని
पार टी ली डर का ब ंग ला है , साह ब . त ला शी तो होगी ही .	ఇది పార టీ లీ డ ర బ ంగ ళ ా , సర . చె కి ంగ అవు తుంది కదా .
- इसे बाद में कर सकते हैं ? ठीक है . - हाँ .	- మనం ఇది తరవాత చూ స కు ందా మా ? - ఆ , తపప కుండా .
मैं पूछ रहा हूँ , वह बाहर कैसे गई ?	ని న నే అడి గే ది , బయట కి ఎలా వెళళి ంది ?
- नहीं पता ? - बिलकुल नहीं पता .	- అర ధం కా వ ట లేదా ? - కొంచెం కూడా .
पिछ ली बार जब उसका फोन आया था , तो उसकी जु बा न लड ख डा रही थी .	పోయి న సారి తను కాల చేసిన పు డు తను మ తతు లో ఉనన టటు అనిపి ంచింది .
अब वि शा ल का भ वि ष य उ जज वल है .	వి శ ాల భ విష యత తు ఉ జ వల ంగా ఉంది .
तो , इसके लिए संभाल कर रख लो .	సో , దీ నని తన కోసం దా చి ఉ ంచు .
कया तुम कुछ कहना चाहती हो ?	నువవే మెనా చెపప ద లు చు కుననా వా ?
- न मस ते . - आ जा इए . आ जा इए .	- నమ సతే . - రండి . పలీజ రండి .
- मुझे वो रात याद है . - पलीज , उस कहानी को मत दो हरा ओ .	- నా కా రాతరి గుర తుంది . - పలీజ , పలీజ ఆ విషయం ఇ పపుడ ొ దదు .
किसी अ ज ञ ा त बी मा री के कारण	ఒక తెలియ పర చని వయా ధి కి గు రె
यार , कुछ तो बडा ब खे डा है .	డ ూ డ , ఏదో తే డా కొ డు తోంది .
इन होंने ख न ना ए ं सि ल री ज को	అతను ఖ ననా ఏ న సి ల రీ స ని కొతత
एक से क ंड ! एक से क ंड , एक से क ंड , तुमने कब ध ो खा दिया ?	ఒకక ని ము ష ం ! ఒకక ని ము ష ం . నువ వె పపుడు మో సం చేసా వు ?
सो ओ , या ना सो ओ , तुम उ तनी ही खू बस ू रत लग ती हो .	నువవు ని ద రా పోయి నా , పో క పోయి నా అంద ంగా నే ఉంటా వు .
- च लिए . ची यर स ! - ची यर स !	- ఇది గో . ఛ ీ రస ! - ఛ ీ రస !
कुछ और पह न कर देख ले ती ?	ఇం కే ద ెనా ట రె చేసతా రా ?
न ूत न : अं कल , इ ध र आ जा इए . मि से ज याद व : नहीं , मैं यहाँ आ जाती हूँ .	- అ ం కు ల , ఇలా రండి . - లేదు . నే ని కకడ ని ల బడ తాను . నువ వ టు వెళళ ు .
- जी . - लेकिन पीछे वाले दरवा जे से बुला ना .	- అలాగే . - కానీ వెన క గే టు నుంచి . సరేనా ?
बडी ही क सी हुई द ली ल थी आपकी . बहुत बढिया .	మీరు చాలా గొపప గా వా ది ంచారు . బ రం హ మా ండ ం .
ये मेरा है . कहाँ था ?	అది నా ది . ఎ కక డు ంది ?
- मुझसे झूठ मत बो लो , आ दिल . - एक से क ंड .	- నాకు అబ దధ ం చెపప కు , ఆ ది ల . - ఒకక ని ము ష ం .
तुमहारा काम है . इतना अचछा चल रहा है .	నీ కె లా గ ూ కం పె నీ ఉంది . బాగా చేసతుననా వు .
क बी र : बिलकुल . हाँ .	తపప కుండా . తపప కుండా .
अ ना उ ं सर : और अब , दे वि यो और स ज जन ो , जो र दार ता लिया ँ हो जाएँ ,	ఇక ఇపపుడు , లే డీ స ఎ ండ జె ంటి ల మెన , గ టటి గా చ పప టలు కొ టట ండి
इसे कहाँ रख ूँ ?	ఇ ద ె కకడ పెటట ను ?
व रु ण , याद है जब हमने पहली बार ता रा के बारे में सुना था ?	వ రు ణ , నీకు గురతు ందా మనం మొదటి సారి తా ర గురించి విన డం ?
मुझसे शादी कर लो .	ననను పెళళి చేసుకో .
और उसकी गु ड िया पर !	ఇంకా తన బ ొ మమ మీద .
देखो , ये जि ंदा है .	చూడు , బ తి కే ఉంది .
हे लो ! जै ज , है ना ?	హాయ ! జా జ , అవునా ?
और बु आ जी कहाँ है ?	మీ అత త ఎ కక డు ంది ?
भा र ती य सं सक ृ ति का उल लं घ न है ये .	భా ర తీ య సం స క రు తి ని అవ మా ని సతుననారు .
- आपको थोडी वा इन द ूँ ? - बि ंद ु : आप थोडी वा इन लें गी ?	- నీకు ఇం కొంచెం వెన పొ యయ నా ? - నీకు వెన తె చచి యయ నా ?
अरे , चल , चल . अब तो दु ल ह न की बा री है . अब तुम जाओ .	వెళళి ంక . ఇ పు డు పెళళి కూ తు రు వం తు . నువవు వెళళ ు .
उनसे प ं गा कौन ले गा ? तुमहें बर बाद करके रख देंगे .	వాళల తో తల పడ ే ది ఎవరు ? నా మ రూ పాల ే కుండా చేసతా రు .
आ ं टी , बैठ ने के प ला न में काफी उल झ न चल रही है .	ఆ ంట ీ కు రచ ీ లు ఎకకడ వె యయ ాలో అంతా గ ంద రగ ో ళ ంగా ఉంది .
- बहुत - बहुत खुशी हुई ये जान के . - वि शा ल .	- చాలా ఆన ంద ంగా ఉంది నీ గురించి . - బా బ ూ .
- बहुत अचछे . अ द भ ु त . - शुकरिया .	- వె ల డ న . అ మే జి ంగ . - థాంక యు .
