गरेस	గరేస
इ वा	ఈ వా
बि बी	బీ బీ
- मा इ कल , नहीं . - नहीं .	- మె ఖ ే ల , వదదు . - లేదు .
बै का	బె కా
ज ॉन प ॉल वि लि य मस 1 9 7 4 - 2 0 2 2	జా న పాల వి లి య మస 1 9 7 4 - 2 0 2 2
शायद ही टर थोडा कम कर देना चाहिए . ए ह त िया त के लिए .	గ ది లో వే డిని కొ ద ది గా త గ గి ంచాలి . ఎందు కె నా మంచిది .
ट रू गरेस	ట రూ గరేస
कया ? अरे , नहीं .	ఏంటి ? ఓహ , లేదు .
खास कर गरेस वि लि य मस के मा ता - पिता , बिल और कै थ ली न गा र वी को .	ముఖ య ంగా గరేస వి లి య మస తల లి ద ండ రు లెన బి ల ఇంకా కా థ లీ న గా ర వీ .
ज ॉन प ॉल वि लि य मस	జా న పాల వి లి య మస
और चिंता मत करो .	కానీ కంగా రు పడ కు .
कला फि न ए ंड सं स	క లా ఫి న అ ండ స నస
और आ इए हम उन खु शि यों के लिए धनयवाद द ें जो उसने अपने पू रे जी वन में बा ँ टी ं .	తన జీవి తమ ంతా అంద రికీ సంతోష ా నని ప ంచిన ందుకు మనం అతనికి ధనయవాదాలు తెలు పు దాం .
तुमहारे पास इतना बडा घर है , और फिर भी हमें त ंग जग हों में बि ठा ती हो .	మన కి పెదద ఇ లలు ఉంది , అయి నా కూడా మాకు ఇ రు కు గా ఉనన భా వ నని కలి గి సతా వు .
- यह बेहद अजीब नाम है . . . - यु वा लोगों के लिए .	- అది చాలా వి చి తర మెన పేరు . . . - ఈ తరం కు ర రా డు .
- और फिर सु ख दा य ी महसूस होता है . - तुम इसके आ दी हो जाते हो .	- ఆ తరువాత అది , మె తత గా జా రు తు ంటుంది . - నీకు అ ల వా టె పో తుంది .
यहाँ !	ఇకకడ !
- वाह . - वाह .	- వా వ . - వా వ .
यह लो .	ఇ దు గో .
मुझे देख ने दो .	ననను చూడ నివ వు .
कृपया , अपने बचचे को निय ं तर ण में रख ो गे ?	మీ పిలల వాడిని దయచేసి అ దు పు లో పెటట గల వా ?
मै मी , शायद हमें जाना चाहिए . हम घर जा रहे हैं .	మా మీ . ఇం క సమయం అయి ంది . మనం ఇంటికి బయ లు దే ర ాలి .
वह मजाक था .	అది ఒక జో క .
देखो , मुझे पता है कि उसे स ह ना आ सान नहीं है और . . .	చూడ ండి , అతను . . . అతను మొ ండి వా డని నాకు తెలుసు . . .
स टा र टर के लिए ऑ इस टर का बक सा .	సటా ర టర కోసం గు లల చే ప ల పెటట ె .
हाँ .	సరే .
हम फो र टी फु ट जा रहे हैं . जि तनी जलदी हो स के , लौट आ एँगे .	మేము ఫా ర టీ ఫ ు ట కి వెళ ు తుననాం . వీ లెన ంత తవర గా వచ చేసతా ము .
बै का !	బె కా !
बि बी !	బీ బీ !
नहीं .	వదదు .
यह सच नहीं है , बै का .	అది నిజం కాదు , బె కా .
उसे शा र कों को खिला दे ती .	షా రక ల కి ఆ హా ర ంగా వే య ాలి .
आ मी न .	ఏ మెన .
वैसे मुझे अचछी जै के ट कयों पह न नी है ?	నేను ఎందుకు మంచి జా కె ట తొ డు క కో వాలి ?
पर हम इस बारे में कया करेंगे ?	కానీ ఆ విషయం లో మనం ఏం చేయ గల ం ?
आज उसका परिवार सा व धा न नहीं होगा .	ఆ కుటుం బం ఈ రోజు జా గర తత గా ఉండ దు .
मुझे . . .	నేను . . .
खैर . . .	సరే . . .
एक से क ंड रुको . यह उनका घर है .	ఒకక కష ణం ఉ ండు . ఇది వాళల ఇ లలు .
अ ल वि दा , गरेस .	ఉంటా ను , గరేస .
उममीद है कि तुम यहाँ काम की बात करने नहीं आए हो . वह काफी बु रे द ौर से गु ज री है .	మీరు వయా పా రం గురించి మాటలాడ టానికి రాల ే దని ఆ శి సతుననాను . ఆమె చాలా విష ా ద ంలో ఉంది .
तुमहारा म ृ तक से कोई सं बं ध है ?	మీరు మ రణ ి ంచిన వయకతి బం ధ ు వు లా ?
तो तुम सु बह एक आदमी को लग भ ग मार डाल ती हो , पर दो पह र तक उसे भूल भी जाती हो ?	అయితే నువవు ఉద యా న నే ఒక మనిషి ని దా దా పు చం పే సి , మ ధ యా హ నా నికి అలా మర చి పో తా వా ?
हे भगवान . मुझे माफ कर दो .	ఓహ , దేవుడా . ననను కషమించు .
यह मेरे भाई की है . यह . . .	ఇది నా సోద రు డి ది . ఇది . . .
तुमहें ध ो ना नहीं पडे गा .	నువవు గ లా స క డ గ న కక ర లేదు .
बै का .	బె కా .
- माफ करना , कया कोई समस या है ? - नहीं .	- కషమి ంచాలి , ఏమెనా సమసయ ఉందా ? - లేదు .
नै प किन .	నా ప కి న .
ए ग जा इ ल इन बे बी ल ॉन .	ఎ గ జ యి ల ఇ న బా బి లో న .
ए ग जा इ ल इन बे बी ल ॉन .	ఎ గ జ యి ల ఇ న బా బి లో న .
तो , तुमहारे बै ंड के लोग अलग कयों हुए ?	సరే , మరి మీ బ యా ండ ఎందుకు వి డి పోయింది ?
पर मेरी बद कि सम ती में भी खुश कि सम ती होती है .	కానీ దు ర ద ృష టం లో కూడా నేను అద ృష ట వం తు ర ాలి నే .
नहीं .	లేదు .
बिलकुल नहीं .	నిజంగా కాదు .
- तुमहारे पास पर या पत जगह नहीं है , ज ॉन प ॉल ? - पता नहीं तुम यह कैसे करती हो .	- నీకు చో టు సరి పో వడం లేదా , జా న పాల ? - నువవు ఇ దంతా ఎలా చేసతా వో నాకు తెలియదు .
- तुमहें अं दा जा नहीं है कि हा ला त कि तने बु रे हैं . - तो फिर , बताओ मुझे !	- పరిసథి తులు ఎంత ఘ ో ర ంగా ఉననా యో నీకు తెలియ ట లేదు . - అయితే , నాకు చెపపు !
- कया तुम ना व ले जा रहे हो . . . - मैं ना व नहीं ले जा रहा हूँ . नहीं .	- ఈ పడ వని బయటకు తీ సతుననా రా . . . - నేను పడ వని బయటకు తీ య డం లేదు . లేదు .
हाँ . तुम मुझे आ देश दे ती रहना बंद करो गी ? मैं तुमहारी बी वी नहीं हूँ .	అలాగే . నాకు ఆ దే శ ాలు జా రీ చేయ కుండా ఉండ గల వా ? నేను నీ పె ళ లా నని కాదు .
तुमहें यह घर बे च कर अपनी बह नों को उनके ह क का हि ससा दे देना चाहिए .	నువవు ఈ ఇంటి ని అమ మే సి , నీ చె ల లె ళల కి హ కకు పర కా రం స ొ మ ము ని ప ంచాలి .
वह इन सु ले शन और का ली न की दो म ं जि लों के बीच से नहीं सुन सकती है .	రెండు అంత సతు ల ఇ న సు లే షన ఇంకా తి వా చ ీ లు ఉనన ందు వలల తను ఏమీ విన లేదు .
मेरा मतलब था कि किसी के घर में घु स ना सही नहीं लगता है , बेवकूफ .	నా ఉదదేశం వే ర ొ కరి ఇంటి లోకి వెళల డం స బ బు కాదు అ ంటుననా ను , మూ ర ఖ ు డా .
पर वह एक अचछा पति है , अचछा पिता है और वह मुझे खुश रख ता है .	కానీ అతను మంచి భ ర త , మంచి త ండ రి ఇంకా ననను సంతోష ంగా ఉ ంచు తా డు .
- बस बोल ने का तरी का गलत था . . . - तुमहारी आँख ें कब खु लें गी ?	- అది ఏదో పొ ర పాటు జరిగింది . . . - నువవు ఎ పపటి కి మే లు కొ ంటా వు ?
. . . आपने मेरे श तर ु ओं के सम कष मेरी खा ने की मे ज स जा ई है .	. . . నా శ తరు వు ల సమ కష ము లో నా కోసం ఒక బ లల ను సిదధ ము చేశా వు .
- तुमहारी समस या कया है ? अरे , चलो भी . - वह अप मान जन क था .	- నీ సమసయ ఏంటి ? ఎదు గు . - ఇంత కు ముందు జరిగి న ది సి గ గు చే టు .
इतनी जगह है और हम मर द ों को सि कु ड कर बैठ ना पड रहा है .	వి శ ాల మెన గ ది లో మన మ గ వాళల ం టి న లో చే ప లలా పడి ఉననా ం .
हाँ , उसने बस हमारी हर कत ों पर धयान आकर ष ित कर लिया .	అవును , మనం చేసిన ప ను ల నీ తను వె లు గు లోకి తె చ చేసి ంది .
पकका काफी झ ट का लगा होगा , ज ॉन प ॉल की दु र घट ना से .	జా న పాల పరమా ద ం మీకు అన ూ హ య మెన ద ె బబ అయి ఉంటుంది .
हम बस शा ंत र हें गे , और एक - दूसरे की रकष ा करेंगे .	మనం మ ౌ న ంగా ఉందా ం , ఒక రికి ఒక రం స హ కరి ంచు కు ందా ం .
पता नहीं कोई ग ड बडी है भी या नहीं , पर अगर है ,	ఈ కేసు లో ఏదెనా కు టర జరిగి ఉంటే , జరిగి ఉంటే ,
- पर वह ऐसा कभी नहीं करते . - तुमहें कैसे पता ?	- ఆయన ఇలా ంటి పని చేయ డు . - అది నీకు ఎలా తెలుసు ?
- बता ना क ठ ि न है . - हमें यहाँ नहीं होना चाहिए .	- చెపప డం కష ట ంగా ఉంది . - మనం ఇకకడికి రా కూడదు .
मैं म ृ त यु की अं धे री घ ा टी से गु जर ते हुए भी	నేను మ ృ త యు వు నీ డ లు నన లో య లలో న డ సతుననా కూడా ,
नहीं . नहीं . मेरे साथ यह अ क सर हुआ करता था .	లేదు . నేను కూడా ఎపపుడూ అలాగే చే సతు ంటా ను .
और हमें सु नि श चि त करना है उनहें यह न मिले .	అవును , కానీ అది జరగ కుండా మనం చూ సుకో వాలి .
घर पहुँच ने तक वह पूरी तरह से पक जाए गी .	మనం ఇంటికి వచచే స రికి అది చ కక గా ఉంటుంది .
वह ऐसा नहीं सोच ती . . . उसे पता है . . .	తను అలా ఆలోచి ంచ దు . . . తన కు తెలుసు . . .
मुझे नहीं लगता कुछ घ ंट ों से फर क पडे गा .	ఇం కొ ద ది గంట లు ఉండ టం పెదద ఇ బబంది కాదు .
आपने मेरे शी श पर ते ल उ ँ डे ला है . . . "	నా తల మీద న ూ నె తో అభి ష ే కం చేశా వు . . . "
उस कमी ने के रह ते वह आगे नहीं बढ सकती .	ఆ చెతత వెధవ నీ డ లో తను ఎ దగ లే కపో తోంది .
सी गल ों को उसकी आँख ें चु ग कर खा ने दे ती .	వాడి క ళ లని సీ గల ప కష ు లు పీ కకు తి నా లి .
और फिर तुम वापस जाकर गि टा र ब जा सकते हो या उ ँ ग लि यों के ना ख ून र ंग सकते हो	ఆ తరువాత నువవు తిరిగి వెళలి నీ పా టలు పా డు కో లేదా బ ొ టన వే ళల కి రం గు లు వే సుకో
है न ? कयोंकि हम ऐसा नहीं होने देंगे .	సరేనా ? ఎందుకంటే మనం అలా జరగ నివ వదదు .
माफ करना , शायद वह मेरी ही गलती थी .	కషమి ంచండి , అది నా పొ ర పా టే అనుకుంటా .
जो भी बुरा हो सकता था , हो चुका है .	ఎంత చె డు జరగ ాలో అది జరిగి పోయింది .
ल ंद न में मेरा एक बै ंड था , इसलिए मैं वहाँ रह ता था . पर हम अलग हो गए .	నాకు ల ండ న లో బ యా ండ ఉంది , అందుకే అ కకడికి వెళ లా ను . కానీ మే ం వి డి పోయా ం .
वह हमेशा से ऐसी नहीं थी . वह कमी ना उसकी जिंदगी नी रस बना रहा है .	తను ఎపపుడూ అలా ఉండే ది కాదు . వాడు ఆమె జీవి తా నని నా శ నం చేసతుననా డు .
मुझे वह स कार फ वापस चाहिए , बै का .	నా స కార ఫ నాకు మళలీ కావాలి , బె కా .
अगर तुम मुझ पर मु क द मे करने की तै या री कर रहे हो , तो शु भ काम ना एँ .	సరే , నా మీద కోర టు లో కేసు వే య డానికి ఏ ర పా టలు చేసు కు ంటు ంటే , గు డ ల క .
- मैं कहूँ गा " अस हा य पो लि श बि लड र ? " - चलो भी , यह फा दर करि समस है !	- " చి కకు బడి న పో లా ండ కార మి కు డు " అననా ? - ఇలా చూడు , ఇది ఫా దర కరి సమ స !
- माफ करना . - तुम मजाक कर रही हो ?	- కషమి ంచండి . - నీకు ఆ టలు గా ఉందా ?
- हाँ . - हाँ . यह शान दार वि चार है .	- అవును . - సరే . అది చ కక ని ఆలోచ న .
हाँ , पर वह यहाँ कया कर रहा है ?	అవును , కానీ వాడి కి ఇకకడ ఏం పని ?
किसी भी चीज के बारे में , समझ ी ?	ఇది దే ని గురి ంచ ీ కాదు , సరేనా ?
" माफ करना . हम नहीं आ पा एँगे . मेरी गलती है . मैंने जयादा पी ली . म जे करो . च ुम मी , च ुम मी . "	" కషమి ంచాలి . మేము రాల ే కపో తుననా ము . నా తపప ే . చాలా తా గ ాలి . సర దా గా గ డ ప ండి . ము దదు లు , ము దదు లు . "
मैं बस अपने म ूल य वा न ग रा ह क से दु ः ख की घ डी में मिलने आया हूँ ,	ఒక కష ట కాల ంలో వి లు వెన కల యి ంట ని మర యా ద పూర వ కంగా కలు సతుననాను ,
गरेस ! वे बी मा कं प नी से हैं जो भ ु ग ता न नहीं करना चाहते हैं .	గరేస ! వాళలు బీ మా మను ష ు లు , వాళల కి డబబు చె లలి ంచడం ఇషటం ఉండ దు .
आज हम ई सा म सी ह में हमारे भा इ यों और बह नों को याद करते हैं	మన తో ఈ రోజు న లేని , దేవు ని లో లీ న మెన మన సోద రు లు , సోద రీ మ ణ ు లను
मुझे माफ कर दो . मुझे माफ . . .	ననను కషమించు . నేను చాలా . . .
हम बस यह कह रहे थे कि इ वा को इतने ब डे घर की कया जरूरत है .	ఈ వా కి ఇంత పెదద ఇ లలు ఎందుకు అవ సర మో మనం మాటలాడు కుంటుననా ం .
मैंने श हर में अभी - अभी एक सट ू डियो के लिए पर सता व दिया है ,	నేను ఈ మధయ నే మన ఊ రి లో ఒక సట ూ డి యో పర దేశం కోసం పరయతని ంచా ను ,
उसने मुझसे पूछ ा कि जिस रात ज ॉन प ॉल म रा था , मैं कहाँ थी .	అతను జా న పాల మ రణ ి ంచిన రాతరి నేను ఎకకడ ఉననాను అని అడి గా డు .
वह मर चुका है . वह द फ न हो गया है . अब वह श ै ता न की समस या है .	అతను చని పోయా డు . మ టటి లో ఉననాడు . వాడు ఇపపుడు సా తాను సమసయ .
मजा आया ? तुम इतनी बद मा श हो .	అంటే ? నువవు చాలా చె డి పోయా వు .
उसने कहा कि वह हमारे साथ थी ?	తను మన తో ఉంది అని చెపపి ందా ?
और मुझे पता है कि तुमहें लगता है वह अचछा इंसान नहीं है ,	ఇంకా అతను మంచి వాడు కా దని మీరు అనుకుంటుననా రని తెలుసు ,
बकवास चीजें कयों कह रहे हो ?	ఇంత చెతత గా మాటలాడు తుననా వా ?
और मैं य हो वा के म ं दि र में हमेशा के लिए वास कर ूँगा . "	మరియు నేను ఆ పర భు వు ఇంటి లో ఎ లల పపుడ ూ నివ సి ంచ ె ద ను గా క . "
वह कम खा ओ . वर ना तुम भी अपनी क जिन जि तनी मो टी हो जाओ गी .	ఇ వి ఎకకువ వదదు . నువవు కూడా నీ క జి న అంత లా వె కకు తా వు .
तुम सी धे मेरे सामने आ गई .	నా ఎదు రు గా న డి చి వచ చేశా వు .
वह ऐ ल से शि यन नहीं है , टॉ म .	తను ఆ ల సే షన కు కక కాదు , టా మ .
फर ै ंक , यह मेरा परिवार है .	ఫ రా ంక , వీ ళల ంతా మా కుటుం బం .
तुम बेहद सु ंदर दिख रही हो .	నువవు చాలా అంద ంగా ఉననావు .
वह डि टे क टि व नहीं है , गरेस .	అతను డి టె క టి వ కాదు , గరేస .
- कमी ना कहीं का . - हाँ . बिलकुल नहीं . यह नहीं हो सकता .	- ఆ చెతత వెధవ . - అవును . అవకా శ మే లేదు . ఇలా జరగ కూడదు .
पर मेरी बस कि सम त बु री थी .	కానీ అది కేవలం దు ర ద ృష టం .
खैर , हमें तब तक इंतजार करना होगा जब तक वह कै ं सर व ग ै रह से मर नहीं जाता .	అవును , క యా న సర తో కానీ మ రే ద యి నా రో గ ంతో కానీ వాడు చచ చే వర కూ మనం ఎదు రు చూడ ాలి .
यह केवल आत मह तया होने पर अ मान य होगा या कया कहते हो ? बु रे इ रा दे होने पर .	ఏదో ఆ తమ హ తయ జరిగి తే నో లేదా దాని నే మ ంటా రు ? కు టర జరిగి తే తపప ఆ క లె యి మ చె లల దు .
कला फि न ए ंड सं स इन श यो र ें स	క లా ఫి న అ ండ స నస ఇ నస ూ రె నస
अब हम सं पर क कर सकते हैं .	ఇపపుడు మనం క నె క ట అయ యా ం .
हम तुमहारा सम र थ न करेंगे .	మేము నీకు అ ండ గా ఉంటా ము .
गरेस फोन जा रहा है . . .	గరేస క ాలి ంగ మొ బె ల . . .
जैसा कि शु रु आत में था ,	పరా రం భ ంలో ఉనన మా ది రి గా ,
- हम अपने मा ता - पिता का घर बे च ना नहीं चाहते हैं . - हाँ , इ वा ने इसी घर में हमारी पर व रिश की .	- మా తల లి ద ండ రు ల ఇంటి ని అమమ డం మాకు ఇషటం లేదు . - అవును , ఈ వా మమ మ లని ఈ ఇంటి లో పె ంచి పెదద చేసి ంది .
तुमने श ै म पे न पी थी . तुम गाडी नहीं चला सकती .	నువవు గ లా సు షా ం పె న తా గి ఉననావు . డ రె వ చేయ లేవు .
हम ज ॉन प ॉल की जी वन बी मा प ॉ लि सी संभाल रहे हैं .	మేము జా న పాల జీవి త బీ మా పాల సీ ని చూ సతుననా ము .
