पलीज . पलीज .	పలీజ . పలీజ .
मुझे माफ कर दो .	ననను కషమి ంచండి .
मुझे माफ कर दो .	ననను కషమి ంచండి .
मैं ज ॉन सन परिवार के खिला फ दा यर की मु आ व जे की माँ ग वापस ले ल ूँगी ,	నేను జా నస నస వారి పిలల ల మీద చేసిన ఫి ర యా దు లను వెన కకి తీసు కుంటా ను ,
पलीज मुझे एक और मौ का दो . मैं बदल सकती हूँ !	నాకు ఇం కొ క అవకా శం ఇవవ ండి . నేను మా రి పో తాను !
जा ह िर है वह बदल गई है .	తపప కుండా మా రి ఉంటుంది .
कया हम वह जाकर देख सकते हैं ?	మేము కూడా వెళలి అది చూడ ొ చచా ?
हाँ !	సరే !
ब धा ई हो , श री म ती ब ला न स की .	అభి న ంద నలు , మి స బ లా ంక స కి .
मैंने कर दिखा या ? आपका मतलब यह वा कई . . .	నేను సా ధి ంచా నా ? మీరు నిజంగా నే నేను . . .
लेकिन यह परा कृ ति क न शा है	ఇది స హ జ ంగా వచచే కు లా సా యే
ए मिली स मि थ	ఎ మి లీ స మి త
हाँ , सर . मैं समझ ती हूँ .	సరే , సర . నాకు అరథ మెంది .
मैंने आगे और पीछे , दोनों तरफ अ शि ष ट ट ै ट ू बन वा रख े हैं .	నేను ముందు అలాగే వె నుక కూడా ట రా ం ప సటా ం ప వే యి ంచు కుననా .
करि समस पु डि ंग .	ఫి గ గి పు డ డి ంగ .
लेकिन बाहर एक बडी पार टी चल रही है , तो . . .	కానీ , ఇకకడ ఒక పార టీ జరుగు తోంది కాబటటి . . .
बुरा मत मान ना , मार टी , हम यहाँ भा री मु सी ब त में हैं .	ఏమీ అనుకో కు , మార టి , కానీ మన పరిసథి తి అస స లు బ ాల ేదు .
या सै ं टा कल ॉ ज के लिए आवा ज उठा सकते हो	లేదా మీ వి లు వల కోసం ధ ె రయ ంగా ని ల బడ వచచు
लोग खुशी से तुमहें मु ँ ह माँ गे पैसे देंगे इन करि समस के ह त यार ों को गलत सा बि त करने के लिए	జ నం సంతోష ంగా మీరు అడి గే రే టు ఇ చచి కొ ను కకు ంటా రు కరి సమ స ని పా డు చేసే వారి ని అ ణ గ దొ కక ే య ండి
ग जब !	వా వ !
जे कब , उस आदमी का काम ही मत भे द पै दा करना है .	జే క బ , వాడి ప నే పర జ ల మధయ వి భ ే ద ాలు స ృష టి ంచడం .
यह स था पि त पर ो टो क ॉल का खु ला उल लं घ न है .	అది మన ని బం ధన లకు అనని వి ధ ాలా వయ తి రే కం .
असल में , ऐसा लगता है . हाँ .	అవును , నిజం . అలాగే ఉననావు .
सही कहा . ध र ती .	సరే . భ ూ మి పె కి .
ना सु ध र ने वाले को सु धा र ना लग भ ग नाम ुम किन है .	వి మో చి ం ప శ క యం కానీ వారి ని వి మో చి ంచడం అ సా ధ యం .
क लि ंट ब रि ग स - जन व री	కలి ంట బ రి గ స - జ న వరి
म ई	మే
कि एक वय क ति की द या की ल हर ें बहुत दूर तक जा सकती हैं .	అనే కు ల పె పర భా వం చూ ప గల దు అనన విషయం అంద రికీ తెలి సి ందే .
पता है , जैसे . . .	అంటే , ఇపపుడు . . .
न व ंबर	న వం బర
. . . जरा सोच ो इसकी ल हर ें कितनी दूर तक जाएँ गी .	. . . ఆ పర భా వం ఎంత మంది పె పడు తు ందో ఊ హి ంచుకో ండి .
ब रि ग स	బ రి గ స
जाएँ गी	చూడ ండి
पर बं धन की अन ुम ति मिल गई है .	మే నే జ మె ంట వారు ఒ పపు కుననా రు .
हैलो , माँ .	హేయ , అమమా .
ओह , ज ॉ श . तुमने कया पो सट कर दिया ?	ఓహ , జా ష . నువవు ఏం పో సట చేసా వు రా ?
. . . कुछ मिल गया जिस से काम बन जाना चाहिए .	. . . మనకు పని కొ చ చే ది ఒకటి నాకు దొ రికి ంది .
थोडा जयादा मुशकिल है	అను కునన దాని క ననా కష టం
हाँ .	సరే .
यह सप ष ट हो गया है . मैं एक बहुत बु री इंसान हूँ .	నేను అ ధి కా రిక ంగా చాలా దారు ణ మెన మనిషి ని అయ యా ను .
अरे !	హేయ !
नहीं .	లేదు .
क लि ंट ?	కలి ంట ?
कि म बर ली मो बा इ ल	కి మ బె ర లి మొ బె ల
ग जब , बे थ .	వా వ , బె త .
बे थ ?	బె త ?
ओह , ध . . .	ఓహ , ఛ . . .
मुझे माफ कर दो .	ననను కషమి ంచండి .
ओह , चलो भी .	ఓహ , మళలీ నా .
नहीं ? कयों ?	లే నా ? అంటే ?
- हाँ . हमें चल ना चाहिए . - हाँ .	- సరే . మేము ఇక వెళళ ాలి . - సరే .
बू म !	బ ూ మ !
अरे , भ ूत िया लडकी .	హేయ , భ ూ తం అమమాయి .
स पार की	స పార కి
वह कि च न में सो रहा है .	వ ంట గ ది లో పడు కు ని ఉంది .
- स पार की ? - स पार की ?	- స పార కి ? - స పార కి ?
क लि ंट , नहीं , यह झूठ बोल रही हैं .	కలి ంట , లేదు , అమమ అబ దధ ం చెప తుంది .
पता है , अगर आपने उस पर एक पै सा भी ख र च किया होता , तो हम पूरी रात उसे ढूँढ ते .	నువవు దాని మీద అర ధ రూ పా యి ఖ రచు చేసి నా , రాతరి అంతా దానిని వె తి కే లా చేసే దాని వి .
स पार की ?	స పార కి ?
नहीं .	కాదు .
साथ ही मैंने दोबारा कभी दरवा जा खु ला नहीं छो डा , तो दोनों तरफ से जी त हुई .	అంతే కా క , నేను మళళీ ఎపపుడూ తలు పు తె రి చి వ దల లేదు , కాబటటి అందరూ లా భ పడ డా రు .
हो , हो , हो .	హో , హో , హో .
- अरे . - अरे , ओ वे न .	- హేయ . - హేయ , ఒ వెన .
पा रख ी नजर है . हाँ , वह तब नहीं थी .	బాగా కని పెటటా వు . అవును , అది లేదు .
म ॉ म ने खुद को आ म ंत रि त कर लिया , तो . . .	అమమ పి లవ కుండా నే వచ చేసి ంది , కాబటటి . . .
- यह हम . . . - हैलो , जान .	- ఇకకడ . . . - హాయ , బు జ జి .
अरे .	హేయ .
अरे , अगर कोई मेरे लिए तो ह फा ढूँढ रहा हो . . .	హేయ , ఎవరెనా నాకు బహు మ తి కొ నా లి అను కు ంటే . . .
चलो भी , कै री . मैं तुमसे पयार करता हूँ , लेकिन तुमहें माँ बन ने के बारे में कुछ नहीं मा लू म है .	ఏంటి ది , క యా రీ ? నువవు అంటే నాకు చాలా ఇషటం , కానీ ఒక తల లి గా ఎలా వయ వ హ రి ంచ ాలో నీకు అస స లు తెలీదు .
तुमहारी बहन हमेशा तुमहारे साथ बहुत अचछी थी , है ना ?	నీ అ కక మొదటి నుండి నినను చాలా బాగా చూ సు కు ంది , కదా ?
- तुम बच चों जै सी बातें कर रहे हो . - मुझे सुना ई नहीं दे रहा .	- నువవు చినన కు ర రా డి లా చేసతుననా వు . - నా కే ం వి ని పి ంచడం లేదు .
बढिया .	అలాగే .
- हाँ . जा ह िर है . - . . . रि टा यर हो गया और . . .	- సరే . అలాగే . - . . . రి టె ర అయ యా డు , దా ంతో . . .
क लि ंट , तुम मेरी जानकारी में सबसे बु द धि मान आदमी हो . तुम खुद को संभाल लो गे .	కలి ంట , నువవు నాకు తెలి సిన అత య ంత తెలి వెన వాడి వి . నువవు ఎలా గ ెనా బర తి కే సతా వు .
- करि समस का डि नर करवा ता है . . . - यह दो दिन पहले की बात है .	- ఏ ర పాటు చే సతు ంటా రు . . . - ఇది , రెండు రోజు ల కరి తం జరిగింది .
यह सप ष ट हो गया है . मैं एक बहुत बु री इंसान हूँ .	నేను అ ధి కా రిక ంగా చాలా దారు ణ మెన మనిషి ని అయ యా ను .
एक से क ंड रुको . कया ? रुको . जरा रुको .	ఒక కష ణం ఆగు . ఏంటి ? ఆగు . అలాగే ఉ ండు .
अरे , रे नी . देखो क लि ंट मा मा तुमहारे लिए कया ला ए .	హేయ , రె ననీ . నీ కోసం అ ం కు ల కలి ంట ఏం తె చచా డో చూడు .
वह टे डी बे यर के ब गल में है , ठीक है ? मार था से मदद ले लेना .	టె డ డి బ ే ర ప కక నే ఉంది , సరేనా ? కావాల ంటే మార తా సహా యం తీసుకో .
नहीं .	లేదు .
मि सटर ब रि ग स !	మిసటర బ రి గ స !
सर , पलीज .	సర , పలీజ .
नहीं . सर .	వదదు , సర .
सर !	సర !
- मि सटर ब रि ग स . - नहीं .	- మిసటర బ రి గ స . - వదదు .
मुझे फर ें च नहीं आती . नहीं .	నాకు ఫ రె ం ష భా ష రా దు . వదదు .
मुझे माफ कीजिए .	నేను ఇక ఉంటా ను .
अगर तुमहें ना सु ध र पा ने वाले को सु धा र ना है .	వి మో చి ంచాలి అంటే ఆ మా తరం చేయ ాల సి ఉంటుంది లే .
तुमने पूछ ा था अगर मैं कभी जि ंदा था .	నేను ఎపపుడ ెనా బర తి కా నా అని అడి గా వు .
वह तुम हो ?	అది నువ వా ?
मि सटर स कर ू ज , मैं व ु ड रो हूँ , सर .	మిసటర స క రూ జ , నా పేరు వు డ రో , సర .
ग जब .	వా వ .
मैडम .	మే డం .
जो भी हो .	ఏద ొక టి లే .
नहीं .	లేదు .
तुमहारी इतनी हि म मत !	లేదు , అస స లు కు దర దు .
हैलो , दोसत .	హలో , గ వర న ర .
मैडम .	మే డం .
किसी के पिछ वा डे पर ला त मार ने से	దీని తో ఎవ డి నె నా తి టటి పా రే య ొ చచు
ओह , दो छो टे से श बद पूरा मि जा ज बदल सकते हैं	ఓహ , రెండు చినన పద ాలు పరిసథి తి ని మార చేయ గల వు
- खैर , वैसे भी यह वा सत वि क नहीं है . - ग जब , यह काफी चु सत है .	- పో ని లే , ఇదే ం నిజం కాదు కదా . - వా వ , చాలా చు రు కు గా ఉననాడు .
- नहीं था . मैं बस तुमहारी न कल कर रहा था . - तुम मेरी न कल कर रहे थे ?	- నాకు తెలీదు . నినను ఫ ాలో అవు తుననా అంతే . - నువవు ననను ఫ ాలో అయ యా వా ?
- लेकिन यह बहुत भा व बो ध क तरी का है . - और ये सब भी जानते थे .	- కానీ భా వ వయ క తీ క రణ కు భలే మా రగ ం . - వాళల ంద రికీ తెలుసు కూడా .
अरे , क लि ंट .	హేయ , కలి ంట .
यह कया बकवास है ?	ఏంటి ఈ గో ల అంతా ?
क लि ंट , पलीज .	కలి ంట , పలీజ .
पता है , मैं वापस अपने मे हमा नों के पास जा रहा हूँ .	ఒకటి చెపప నా , ఇక నేను నా అ తి థ ు ల దగగర కు వెళ తుననాను .
बॉ नी .	బా ని .
सुनो , मेरे पास लोगों का एक पूरा वि भाग है	ఇలా చూడు , సీ నలు ఇలా మా రచ డానికి చాలా మంది
कि म बर ली , अरे . हैलो .	కి మ బె ర లి , హె య . హాయ .
अब तुम लोग भी मेरी चु ग लिया ँ कर रहे हो . चलो चल ें . चलो . इसके बाद कया है ?	మీరు కూడా నా గురించి చెతత వా గు డు వా గు తుననారు . ప దా . వెళ దాం . తరవాత ఏంటి ?
हाँ .	సరే .
हाँ . पू र व गर ल फर ें ड , मैं समझ गया .	అవును . మా జీ గర ల ఫ రెండ , అరథ మెంది .
मैंने उसे मुझे नहीं देख ने दिया . वह बस . . .	ఆమె కు కనిపి ంచే లా నేను ఏం చేయ లేదు . ఆమె . . .
हाँ ,	సరే ,
तो फिर से इंसान बन ना तुमहारे लिए वय क ति गत रूप से सं तु ष टि दा य क होगा ?	అంటే మళళీ మనిషి వి అయితే నీ మన సు కు సంతోష ంగా ఉంటుంది అనన మాట , అవునా ?
ठीक है , काफी जो र से पक डा है . ठीक है .	సరే , చాలా గ టటి గా పటటు కుననా వు . అలాగే .
- वह ज ॉ श हा बि ंस है . - यह ली जिए . मेरी करि समस .	- వీ డు జా ష హ బ బి నస . - ఇ దు గో ండి . మె ర రీ కరి సమ స .
सब ठीक है .	ఏం పర లేదు .
है श ट ै ग ज ॉ श हा बि ंस को नजर अं दा ज	# జా ష హ బ బి నస ని దూ రం పెటట ాలి
ज ॉ श बेहद न क ली है !	జా ష పెదద వే ష ధా రి !
उममीद है तुमहें खुद पर गर व होगा !	నినను చూ సు కొ ని సంతో షి సతుననా వే మో !
