पै निक	పా నిక
- उसने डॉज की बहन को नहीं कु चला . - नाम ुम किन है .	- అతను డా డజ సోద రి ని గు దద లేదు . - అలా చేసి ఉండ డు .
शायद उसे हमेशा से पै सा ही चाहिए था .	అత నె పపుడ ూ డబబు నే కో రు కుననా డ ను కుంటా .
लू क सिरफ एक चे ता व नी है . वह नहीं चाहता कि किसी और को चो ट लगे .	లూ క జరిగింది హె చచ రిక అననా డు . అతనికి మ రె వర ూ గా య పడ డం ఇషటం లేదు .
हाँ . और जि मी को यह पता था .	అవును . జి మ మీ కి అది తెలుసు .
नहीं .	లేదు .
देखो .	చూడు .
मुझे पता है , रे .	నాకు తెలుసు , రే .
पता है , मि स नि ल ,	తెలుసా , మి స ని ల ,
नहीं .	లేదు .
इतनी जलदी आने का शुकरिया . उसका फोन बार - बार ब ज रहा था .	ఇంత తవర గా వచచి న ందుకు ధనయవాదాలు . తన ఫోన మో గు తూ నే ఉంది .
- वह को र टे ज ने नहीं किया . - पर उसने छु पा ने का बं दो बस त जरूर किया .	- అది కోర టె జ చేయ లేదు . - అద ె వ రు చేశా రో మనకు తెలియ నీ య కుండా చేశా డు .
सुनो .	వి ను .
पता है कि वह न यो ता एक राज था ,	ఆ ఆ హ వా నం ర హ సయ మని నాకు తెలుసు ,
डॉज को खो ज रही हूँ . चिंता हो रही थी .	డా డజ కె వె తు కు తుననాను . కంగా రు గా ఉంది .
पर , हेदर ने कहा कि भा ला मु का ब ले में को र टे ज डॉज की गाडी चला ए गा .	కానీ , హే థర , జ ౌ సట లో డా డజ కారు ను కోర టె జ న డు పు తా డని తను చెపపి ంది .
पापा को फोन करो . बो लो जरू री काम है .	మీ నానన కు ఫోన చె య . అత య వ సర మని చెపపు .
इसे आज रात खतम होना होगा .	ఈ రాతరి ఇది ము గి సి పో వాలి .
- मैंने तुमहारी जान बचा ई . - मैंने मदद नहीं माँ गी थी .	- నేను నీ పరా ణ ాలు కా పా డా ను . - నేను నీ సహా యం కోర లేదు .
किस ने कहा कि मदद कर रहा था ?	సహా యం చేసతుననా నని ఎవర ననా రు ?
नहीं . अभी भी दो मिनट ब चे हैं .	లేదు . అతనికి 2 నిమిష ాలు ఉంది .
- अभी भी उठा नहीं रहा . - वह कहाँ है ?	- అతను ఇంకా ఎ తత డం లేదు . - అతను ఎకకడ ?
अचछा , जो भी हो .	సరే . ఏద ె తే అది .
सं के त , चा लू .	సూ చి క , పె కి .
हेदर रे की गाडी चला रही है	రే టర కకు ను హే థర న డు పు తుంది
डॉज की गाडी में ब म है	బా ం బ డా డజ కారు లో ఉంది
नहीं !	వదదు !
मे ल नी ?	మె లని ?
वॉल र यु नि वर सि टी नए छा तर ों	కొతత వి ద యా రథ ు ల ఓ రి య ె ంటే షన
देखो .	చూడు .
कर ूँगा . वा दा करता हूँ .	చేసతాను . పరమా ణ పూరతి గా .
नहीं . मेरा काम खतम हुआ .	లేదు . నా పని పూర త యి ంది .
पर किसी लडकी के साथ . . .	కానీ కొనని అంద మెన వి . . .
तुम भूल जाते हो कि तुम पीछे छ ू ट रहे हो .	మీరు వె నుక బ డు తుననా ర నన విషయం మర చి పో తారు .
ड रे टन म ूर ति कार	వి యా ననా స కల ప చ ర
" पूरी स मा लो च ना के बाद , इस साल के जज ों ने	" స రెన సమ గర పరి శ ీ ల న తరువాత ఈ ఏ డా ది నిరణ యం
अचछा लगा कि तुम मिलने आए .	నువవు ఫోన చేశా వు , సంతోష ం .
हाँ .	సరే .
हाँ .	సరే .
मुझे लगता है मुझे यहाँ से निकल ना चाहिए .	నేను ఇక ఊ రు వది లి వెళళ ాలి , నీకు తెలుసా ?
हाँ .	సరే .
हाँ . हाँ , होना चाहिए .	అవును . అవును , ఉండాలి .
