पै ट !	పా ట !
ली सा ?	లీ సా ?
हाँ . मुझे यह बेहद पसंद है .	హా , నాకు ఇది బాగా న చచి ంది .
तो , आप कया कहते हैं ? डै ड ?	ఇంత కీ నువవే మ ంటా వు ? నా ననా ?
ली सा ?	లీ సా ?
शु भ रात रि , डै डी .	గు డ నె ట , నా ననా .
हाथ और क पडे ख ून से स ने थे ?	చే తు లకు , బ టట లకు రక తం ఉందా ?
पी डि त का कोई परिवार नहीं है ?	ఆమె తర ఫ ు బ ందు వు లు ఎవరూ లే రా ?
तुम समझ रहे हो कि तुम यहाँ कयों हो ,	మీరు ఇకకడ ఎందుకు ఉననా రో తెలుసు కదా ,
हाँ .	సరే .
है गर टी .	హె గర టీ .
वह वाला ? हाँ ?	అత నా ? అంతే నా ?
पहले तुमहें मुझे पक ड ना होगा .	ముందు నువవు ననను పటటు కో వాలి .
आ इस करी म ? जे ली ?	ఐ స క రీ మ ? జె ల లీ ?
पै ट रिक . . .	పా ట రిక . . .
जिस से मैंने बात की थी .	నేను మాటలా డి న వయకతి ని .
वे सारे जान वर हैं .	వాళల ంద రూ జ ం తు వు లు .
- अचछा ? - हाँ .	- అవునా ? - హా .
- सब ठीक है , श री है गर टी ? - हे भगवान .	- అంతా ఓ కే నా , మిసటర హె గర టీ ? - బా బో య .
हम तुमहारा सम र थ न करते हैं , डै न . तुम यह जानते हो .	ఎ లల వే ళ మా మ దద తు నీకు ఉంటుంది , డా న . నీ కూ తెలు స ది .
कोई नहीं आया . उनहोंने यही बताया .	ఎవరూ రాల ేదు . వాళలు చెపపి ంది అదే .
और ई श वर जानते हैं , मैं यहाँ आपकी आ लो च ना करने नहीं आया हूँ . क सम से .	నేనే మీ మిమమలని వి మర శి ంచ డానికి రాల ేదు . పరమా ణ పూరతి గా చెప తుననాను ఇది .
तुम उसके साथ कया करते हो ?	తన విషయం లో ఏం చేసతుననా రు ?
आप कया करते हैं जब आप पर आ स मान ट ू ट पडता है ?	ఎవరి పరపంచ మెనా తల కి ందు లె పో తే ఏం చేసతా ం మనం ?
उसका कोई नहीं था .	తన క ంట ూ ఎవరూ లే రు .
सर ?	సర ?
सर ?	సర ?
हम सब की खा त िर .	మా అంద రి కోసం .
आगे बढ ो .	వెళల ండి .
नहीं . कुछ याद नहीं आया .	లేదు . ఏమీ గురతు రాల ేదు .
यह अ त िर ि कत मे ह न त करने के लिए धनयवाद . कोशिश करना जरू री था .	ఈ సాయం చేసి పె టటి న ందుకు థ యా ంక స , గు రూ . మన పరయత నం మనం చేశా ం .
तुमहें पीछे ए सी चाहिए , ए र ॉल ?	వె నుక ప కక ఏ సీ కా వ ాలా , ఎ ర ర ొ ల ?
नहीं .	లేదు .
नहीं ?	లేదా ?
सुनो , मैंने तुमसे पहले एक झूठ बो ला था .	చూడ ండి , ఇం దా క మీ తో నేను నిజం చెపప లేదు .
और तुमने बस मेरे मु ँ ह पर झूठ बो ला और मेरी बात ों को तो ड - म रो ड कर पे श किया .	కానీ మీరు చేసి ంద లలా , అకకడ ని ల బడి అబ దధ ాలు చెపప డం , నా మాట లను వ క రీ కరి ంచడం .
कया टे प में उस ी की आवा ज है ? उसने कया कहा ? चलो भी . वह ब जाओ .	టే పు లో ఉనన ది వాడి మాట లే నా ? ఏమ ననా డు ? కా నివ వ ండి . ప లే చేయ ండి .
पै ट रिक . . .	పా ట రిక . . .
ठीक है . और . . .	సరే , ఇంత కీ . . .
समझ े वे कया करने की कोशिश में हैं ? वह मुझे बे च ै न करने की कोशिश में है .	వీ ళ లే ం చేసతుననా రో మీకు అరథ మ వు తో ందా ? నాకు కో పం తె పప ి ంచ ాలని చూ సతుననారు .
कयोंकि अगर तुमहें पकका यकीन नहीं है , तो कोई बात नहीं . बस कह दो . . .	నీకు ఖచచితంగా అరథం కా కపోతే చెపపు . మ రే ం పర లేదు . ఆ మాట అను చ ాలు . . .
केवल तुमहारे पास ही परिवार है ? तुमहें लगता है कि तुम इतने उ त त म हो ?	కుటుం బం ఉండే ది మీ ఒకక రి కే ? మీ ది అదభు త మెన కుటుం బ మని అనుకుంటుననా రా ?
वह मर चु की है . पता नहीं वह इस उ मर में यह स ह भी स के गा या नहीं .	అమమ చని పోయింది . అంత ప సి వయ స సు లో అతను ఎలా ది గ మి ం గు కో గల డో ఏ మో .
मार से ला आपके कम रे में माँ के क पड ों से छे ड छा ड कर रही थी .	మార సె లలా నీ బె డ రూ ము లో ఉంది , అమమ బ టట లను గె లు కు తూ ఉంది .
ए र ॉल ? मैं अं धे रे में अपना फोन नहीं ढूँढ सकता , ए र ॉल .	ఎ ర ర ొ ల ? చ ీ క ట లో నా ఫోన ఎ కక డు ందో కనిపి ంచ ట లేదు , ఎ ర ర ొ ల .
पता करना मुशकिल है , है न ? कि दरअसल कया हुआ था ?	నిజంగా ఏం జరిగి ందో కని పెటట డం కష టం అవు తోంది కదా ?
दरअसल , मि से ज मै थि स . मैं बस सच चा ई ढूँढ रहा हूँ .	చూడ ండి , మి సె స మయా థ ి స . నాకు వా సత వ ాలు కావాల ంత ే .
मुझसे अ ँ ग ूठ ी के बारे में पूछ रहे हो . चलो भी !	ఉ ంగ రం గురించి అడుగు తుననారు . ఏం పోలీసు లు మీరు !
मैं ई श वर की क सम खा कर कह ता हूँ , समझ े ? मैं . . .	దేవు ని మీద ఒ టటే సి చెప తుననా , సరేనా ? నేను . . .
माफ करना , इसका इस हतया से कया लेना - देना है ?	మన ని ంచాలి , ఈ లూ టీ కి , ఈ కేసు కు ఏంటి సంబం ధం ?
इस र सो ई के फर श पर . हाँ , मैंने उसे देखा था .	ఈ వ ంట గ ది నే ల మీద నే . హా , నేను త నని చూశా ను .
चि कि त सा वि भाग बे सब री से इंतजार कर रहा है	మా న సి క వె దయ బ ృ ంద ం అస హ నం వయ క తం చే సతోంది ,
- पता नहीं . - तो , उनहोंने उसे कया बताया ?	- నాకు తెలీదు . - మరి అతనికి ఏం చెపపా రు ?
- ए . ए , ए . - मुझे बेहद बुरा लग रहा है .	- హేయ , హేయ , హేయ . - నా తల తిరిగి పో తోంది .
- या बचचे का ? उसका नाम . . . - पै ट रिक .	- పి లలా డి తో అయి నా ? ఏంటి . . . - పా ట రిక .
हमें इस बारे में कैसे पता नहीं चला ?	దీని గురించి మన కి తెలీ లేదు ఎందుకు ?
मुझे खे द है कि यह कोशिश बे कार रही .	మీరు అను కునన ది జరగ క పోయి ఉంటే , సా రీ .
- तुमने झूठ बो ला था ? ठीक है . - हाँ .	- అబ దధ ం చెపపా ర నన మాట . సరే . - అవును .
अस पता ल में उससे कौन मिलने आया था ?	ఆ సు ప త రి లో అత డిని ఎవరు స ంద ర శి ంచారు ?
वह मर चु की है ! वह जि ंदा नहीं रही !	తను చని పోయింది ! ఈ లో క ంలో లేదు తను !
- मार से ला को फोन दो गी ? - ठीक है .	- ఫోన మార సె లలా కి ఇ సతా వా ? - సరే .
वह पिता जो उसके पास कभी नहीं था .	తన కి త ండ రి లేని లో టు ను తీ ర చా రు .
जैसा कि तुम जानते हो , हम काफी सु रख ि यों में आ रहे हैं , और . . .	నీకు తెలి సే ఉంటుంది , ఈ విషయం లో ప బ లి సి టీ చాలా ఉ ందని , అ దీ గా క . . .
कि आप खुद पूछ ता छ करना चा हें गे या वे पूछ ता छ शुरू कर सकते हैं ?	అత డిని మీరు వచచి అడుగు తా రా , లే కపోతే వాళల నే కా ని చ చేయ మ ంటా రా అని .
हम कल ही उनकी जा ँच कर चु के थे .	ఆ ప నం తా ని న నే పూరతి అయి పోయింది .
डै न , क मा ंड र ब लू म . गिर फ ता री के बारे में सुन कर बेहद खुशी हुई .	డా న , నేను క మా ండ ర బ లూ మ ని . అ రె సట చేశా ర నే తీ పి క బు రు తెలి సింది .
तुम मुझे स जा नहीं दिल वा सकते .	ననను మీరు అస స లు అ రె సట చేయ లే రు .
- मैं मदद कर सकता हूँ ? - बेशक .	- నేను సా య పడ గల నా ? - తపప కుండా .
हे भगवान . वह पै दा इ शी झ ू ठा है .	బా బో య . ప చచి అబ దధ ాల కో రు వాడు .
ब लू बर ड गर ु प हो म चि लड रे न स हो म	బ లూ బర డ గర ూ ప హో మ పిలల ల శ రణ ాల యం
- पै टी . - शा ंत हो जाओ , जान .	- ప యా టీ . - శా ంతి ంచు , బంగా రం .
तो उसकी फो टो पर नि शान लगा ना .	అతని ఫో టో ప కక న గురతు పెటటు .
- उममीद है कि तुम और समय माँ ग रहे हो ? - हाँ , हाँ , हाँ .	- నువవు ఇంకా సమయం కా వాలని అడుగు తుననావు కదా ? - హా , అవును .
- च ौ बी स घं टे , मैं नहीं . . . - . . . फिर उस पर आ रो प लगा ना होगा या उसे छोड ना होगा .	- ఇ ర వె నాలు గు గంట లా ? నా వలల . . . - . . . ఆ తరవాత అతని పె కేసు వే య ాలి లేదా వదిలే య ాలి .
मैंने उसकी अचछी पर व रिश करने की पूरी कोशिश की , समझ े ?	నేను వాడిని బాగా చూ సుకో వడానికి నా వం తు పరయత నం చేశా ను .
स टा र ऑ फ द व ीक पै ट रिक बर ौ ज	ఈ వార పు సటా ర పా ట రిక బ రో స
घर पर खाना कौन प का ता है ?	ఇంట లో వ ంట ఎవరు చేసతా రు ?
उ ठ ो . पै ट , उ ठ ो . चलो भी .	లే య . పా ట , లే య . కా నివ వు .
डै न . लॉ री हूँ , फिर से .	డా న . మళలీ నేనే , లా రీ ని .
तुमहारे पास पै ट रिक था .	మీకు పా ట రిక ఉననాడు కదా .
- हाँ . तुम समझ भी नहीं सकते हो ! - हाँ . मैं समझ नहीं सकता कि कैसे . . .	- అవును . అసలు మీకు అవి అరథం కూడా కా వు ! - హా , నాకు అరథం కా వు లే . . .
- सुन ना चा हो गे पै ट रिक ने कया कहा ? - हाँ . मैं तुमसे अनु रो ध कर रहा हूँ .	- పా ట రిక ఏమ ననా డో వి నా లను ందా ? - అవును . కావాల ంటే మీ కా ళలు పటటు కు ంటే .
- जानता हूँ , पर . . . - तो , तुमहें कैसे पता ?	- నాకు తెలుసు , కానీ . . . - మీ కె లా తెలుసు మరి ?
- जल द ही . - डै ड , इस पि ल ले को आपकी जरूरत है .	- తవర లోనే . - నా ననా , కు కక పిలల కి నువవు కావాల ట .
मैं ए र ॉल के इ ति हा स के बारे में पता कर रहा था .	నేను ఎ ర ర ొ ల నే ర చ రి తర ను ఒక సారి పరి శ ీ లి ంచా ను .
यह माम ला अलग कयों है ?	ఈ కేసు లో ఏంటి పర త యే క త ?
अ ना था शर म में प ली - बढ ी .	అ నా థా శ ర మ ంలో పె రిగి ంది .
मै थि स की कार दु र घट ना	మయా థ ి స కారు పరమా ద ఘ టన
मैं बस ढूँढ रहा हूँ .	నేను వె తు కు తుననా న ంత ే .
कयोंकि अगर तुम अभी अपने आ स - पास देखो , बे टे ,	ఎందుకంటే , ఓ సారి మీ పరిసథి తి ని గ మని ంచండి ,
कया ? तुमने . . . कया ?	ఏంటి ? మీరు . . . ఏంటి ?
यह समझ ा ना मुशकिल है .	వర ణి ంచడం చాలా కష టం .
ए र ॉल मै थि स , मैं तुमहें ए डा ले इ ड बर ौ ज की	ఎ ర ర ొ ల మయా థ ి స , అడి లె డ బ రో స ని హ తయ చేశా ర నన
कया उसे कुछ पता है ?	అతనికి ఏమెనా తెలుసా ?
ल ंद न हि ं सा की न ई त सवी र ें सामने आई ं हैं	ల ండ న వి ధ వం స కా ండ కు సంబం ధి ంచిన కొతత ఫో టో లు
बस अन ुम ा न लगा रही हूँ कि तुम खाना भूल गए , सर , इसलिए . . .	నా అ ంచ నా పర కా రం మీరు తి న డం మర చి పోయి ఉంటా రు , సర , అందుకే . . .
