को फु न !	ఉ తత రం .
वे मान ते हैं कि आप मह त व पू रण हैं . हाँ ?	నా ప టల అ గ ౌ ర వ ంగా ఉండ నని నువవు మా టి వ వాలి .
उ तनी जो र से नहीं जब वे बचचे थे लेकिन मैं अभी भी सुन सकता हूँ .	భ యా న క అను భ వాల ను చ వి చూశా డు , " అని నేను అనుకో వడం నాకు గుర తుంది .
तुमने सिरफ उसका मु कु ट जब त करने का पर या स नहीं किया .	పరమా ణం చేసిన టటు గా పటటు కొ నే కర మ ంలో నా జీవితం లో స గం కాల ం గ డి పా ను
वैसे भी मेरी बहन के लिए .	నా భ విష యత తు ను తన కి ఇవ వాల ను కుననా డు .
उनके पास कौन से ह थ िया र हैं ?	మరి నీ కా విషయం తెలియ జే య నా ?
मैं लोगों की कल प ना कर सकता हूँ जिन होंने तुमहारे साथ यह करने का सप ना देखा है .	పర సతు త రా జు య ొ కక చ ర మ ంలో ప ల జ ొ పప ి ంచి ఉ ంచ బడి న తా య ె తతు ను తీ సి
हम सब जब ज गे तब दरवा जा बंद था .	మనం చా వ లే దని మన కె లా తెలుసు ?
हम यहाँ हैं , पापा . आप ठीक हैं .	నా ననా ! నా చే తి ని అందు కో !
तुमने मो ल भा व में उसका सबसे पसंद ी दा सा थी लिया .	నీ ని వా స పరా ంతా నికి వెళలి త నని ని ల దీ య మని నీకు సూ చి సతుననాను .
तुमने काम करना बंद कर दिया है .	మి గ తా వాళళు కూడా బ లె పో వల సి వ సతుంది .
जब तुम स फ ल हुई तब तुम बस च ली ही नहीं गई .	అయితే నువవు పరమా ణం చేసిన మ హా రా ణి వ దద కి వెళలి నీ బాధ ని చెపపు కో .
एक मर ते हुए आदमी ने अपनी बेटी को चार श बद सुना ए .	ఇక రా జ య మ ంత టి భ విష యత తు ను నువవు నీ చే తు లలో ఉ ంచు కొ ని ,
मैं फिर से कोशिश कर ूँगा य दि आप ऐसा कह ती हैं तो ,	నీ లో శ కతి కూడా ఉ ందని వాళళ కి ని రూ పి సతే ఇంకా మంచిది .
यह सा बि त करने के लिए बेहतर होगा कि आप पर या पत म जब ूत हो .	- ఇ పపుడే వ సతాను . - నే నె కకడి కీ వెళళ ను .
चलो तुमहें बता ती हूँ , ठीक है ?	తెలుసు . గుర క పె డు తుననారు .
उसने देखा है . उसके साथ बहुत सा व धा न रहना .	నా ననా , దీ నని వెంట నే కి ంది కి పం పి ంచే సతా ం .
मैंने इसे नहीं देखा , लेकिन उसने कहा कि उसने इसे देखा , और . . .	లేదు , లేదు . నేను ఎ కకడి కీ పా రి పో వడం లేదు .
तुमने मुझे तब कम आ ं का , और तुम अब फिर यही कर रहे हो .	మా అను బం ధం మీద మా కె ంత టి త కకువ నియ ంత రణ ఉ ందో నీకు అది చెప తుంది .
कुछ जो इतने लं बे समय से नीचे हैं . . .	ఆ తలు పు తె రు చు కో గానే . . . మన లని బయట పడ ే సతాను .
अगर उनहोंने हमें सुन लिया , यह मेरे लिए उ तना ही ख तर ना क होगा जि तना तुमहारे लिए .	నేను ఇకకడికి వచచి నపపుడు , అయి దు ఏ ళళు గ డి సతే కానీ నాకు తలు పు తె రు చు కో లేదు .
तुमहारी पार टी का एक स दस य मिल गया है .	వాళళ కి సా య పడ ాల నే పరయతని ంచా ను . కానీ నేను చూ సే స రికి , వాళళ కకడ లే రు .
उनहोंने उसका उप हा स किया , उस पर थ ू के , उसे मा रा . . .	కొ ంద రు భయ ంతో , కంగా రు తో పా రి పో తు ండ గా వె ంటా డి మ రీ వారి ని చం పా డు .
य दि वे एक पल के लिए भी यह महसूस करते हैं , यह सब खतम हो जाएगा .	వదదు ! వదదు ! ననను వ దల ండి ! వెధ వల లా రా . . .
जैसे ही मैं अस फ ल हुई , मुझे पता था कि मैं नहीं रह सकती थी .	పిలల లు పు టట క ముందు ను ంచ ీ అతను ఏమ య యా డో నాకు తెలియదు .
मैंने दू सर ों से समझ ने और द या करने की परा र थ ना की .	వాడి తో ఎవర ె తే ఎకకువ క రూ ర ంగా పర వర తి ంచా రో వారి తో మొద లు పెటటా డు .
तुमहारे मु ँ ह में वह स वाद म श रू म का है .	ఎందుకంటే ఇంకా ఇకకడ అమమ లేదు కాబటటి .
मैंने कहा , कया तुम मेरे लिए उ ठ ो गी ?	అది వి వరి ంచ డానికి నే నె ంత పెదద పద ాలు వాడి నా . . .
- बू ट स ! - दरवा जा खो लो !	ఏం జరుగు తోంది ?
बा बा . मुझे माफ कर दो .	నా లో ఆ శ స నన గి లలు తో ందని వాళళ కి ఏ కో శా నె నా అనిపి ంచి నా ,
और मेरी चिंता मेरे भ ले के लिए है , तुमहारे लिए नहीं .	నా భ విష యత తు లో అంత కు మి ంచిన ది నా కస స లు అవ సర మే లేదు .
तुम अपने हर किए पर प छ ता ओ गे ,	మనం ఏ స ందే హం లే కుండా అ ంగ ీ కరి ంచ వచచు .
उसके पै दा हो कर जयादा समय नहीं हुआ था जब मुझे ए ह सा स हुआ वह अलग था .	ఆ పి లలా డు ఎవ వరి తో మాటలాడ కుండా పె రి గా డు , పె రి గే కొ దద ీ కో పం కూడా పె రుగు తూ ఉ ండి ంది . . .
कुल ों की कहा निया ँ हैं जिस ने नीचे श रण ली .	అంటే , ఏదో క సమయం లో , ఈ తలు పు నుండి ఎవరో క రు వ సతారు .
इसलिए मैंने उन दोनों से सब कुछ ले लिया .	నాకు తెలీదు . క త తులు , కర రలు .
आप ठीक हैं .	నాకు నీ చేయి అంద డం లేదు , నా చేయి ఇంకా ఎ తతు లో ఉంది .
क हो जो तुम अपनी बहन के बारे में कह सकती हो	కానీ దానికి బ దు లు గా నాతో పా రి పో వాలని ని శ చ యి ంచు కుననా డు .
हमारे पिता एक द या ल ु वय क ति थे . . .	ధా రా ద తత ం చేయ ాలని చూశా డు .
चु डै ल खो ज क यहाँ से बहुत दूर है .	అతని వార సు ని లోకి ఎ కకి సతా రని వి ననాను .
इसमें से कुछ भी मैंने नहीं पूछ ा .	అది తి రస కరి ంచే ంత సా మ రథ యం మాకు లేదు .
द ृ ष टि के साथ ये बचचे , वे तुमहारे हैं . . .	కష ే తరం లో ఉనన వా రికి సమా చా రం చే ర వే యి , పరా రీ లో ఉనన వారి ని స జీ వ ంగా పటటు కో వాలి .
तुम विश वास करने में सं को च नहीं करती थी .	చినన పపుడు ఇ ందు లో ఆ డు కొ నే వాడిని .
मुझे पता है . वे ख र रा टे ले ते हैं .	" ఈ పి లలా డు ఎలా ంటి . . .
वहाँ से और अधि क आ रहे हैं . हमें घ े र ने वाले हैं .	నేను నా క ళళ ా రా చూశా ను .
यह एक ध ो खा है .	వాళళ ని నేను చూడ గలను .
मैंने एक बार एक कहानी सु नी . शायद तुम मुझे बता स को कया यह सच है .	ఎవరి కే ం తెలుసు ? ఇది నిజం .
कि त नों के जी वन को स मा पत कर सकता है .	నేను మ దద తు కూడ గ టట డానికి పరయతని ంచిన పపుడు , అది నాకు ఆట కా దే .
पापा , हम यहाँ हैं .	నువవు చాలా దగగర లోనే ఉననావు .
मुझे वह दिन याद है जब तुम आए थे .	తన చేయి నా చే తి లోనే ఉ ండి ంది . నిజంగా నే ఉ ండి ంది .
पिता जी ! मेरा हाथ पक ड ें !	నినను పటటు కుననాను ! గ టటి గా పటటు కొ ను ననాను !
- पिता जी ! - वह च ढ रहे हैं .	- కొ ఫ ూ న , నువవు అత డిని అందు కో గల వా ? - నా చే తి ని చా సతుననాను .
" यह लड का कितनी भ या वह ता से प ला है ? "	పిలల లని పరే రే పి ంచింది నేనే .
य दि नि री कष क या , उससे भी बद तर का ट ने वाला हम में से एक से ना राज हो जाता है ,	అయితే , ఇ కక డు నన మన చి టటి పు రుగు లా గా ,
हमारे पास पहले भी ध नी रहे हैं और , सप ष ट रूप से , वे कभी बहुत लं बे समय तक नहीं रहे .	నీ కి లా చేయ ాలని ఎంత మంది కల లు క ననా రో నేను తే లి గగా ఊ హి ంచ గలను .
मैं सबसे बडी थी . . .	" అనని ంటి నీ " అంటే ? ఏం లా గే సు కుననా వు ?
तुमहें लगता है कि मैं वि रो ध नहीं करती कयोंकि मेरे पास हि म मत नहीं है .	నేను అను భ వి ంచిన ద లలా ఒక సం ప ూ రణ వి వ కష వె ఖ రి ని మాతరమే .
तुमने उनहें बताया नहीं , को फु न ?	మనం ఒక రి న ొక రు చం పు కో వ డా ని కే మన లని ఇకకడ వదిలే శా రే మో .
ह नि वा . तुम पीछे कयों रह गई ?	- లేదు , నా ననా . నేను నీకు స హాయ పడ గలను . - వెళలి ఎ కకు , బా బ ూ !
बू ट स !	ఇది కరి ంది కి జా రు తోంది .
मेरा साथ दो और मैं इसे करती हूँ .	న మా చా రా నని సం పా ది ంచా ను .
मैं काफी बडी थी यह समझ ने के लिए कि मेरे पिता के लिए कया सप ष ट था ,	నినను జె ర లా మ రె ల చం పా డని చెపపి ంది . ఎందుకు ?
और जब तुमहारे हाथ ों में पू रे राज य का भाग य था ,	కానీ నీ లో త గి న ంత శ కతి లేక పోయింది .
एक समय था जब तुम मेरी बात मान ती थी .	నాకు నా అ కక అంటే ఇషటం , కానీ తను అలా మా రు తు ందని నాకు ము ందే తెలుసు .
इसे इन कार करना बस हमारी कष म ता से परे था .	నీకు వాళళు దొ రికి నపపుడు . . .
कया . . . वह किस बारे में बात कर रही है ?	మనం ఆ మా ంత రి కా ంత కు డిని కను గొ ని వాడిని చం పే వర కూ నే నె కకడి కీ వెళళ ే ది లేదు .
