मा घ रा !	మా గరా !
मैं उनकी त ला श में गई थी .	త నని వె తు కకు ంట ూ వెళళ ా ను .
मुझे यह मिला . हमें अ व श य जाना चाहिए .	- ఇది దొ రికి ంది . - మనం ఇక బయ లు దే ర ాలి .
नहीं !	వదదు !
जन म में खा मो शी , दिल ट ू ट ने के पल में खा मो शी .	జ నన సమ య ము న ని శ బ ద ం , హ ృ దయ వే ద న సమ య ము న ని శ బ ద ం .
जे र ला म रे ल का एक और बच चा . . .	జె ర లా మ రె ల య ొ కక మ రో బి డ డ . . .
पर जहाँ तक तुमहारी उ पस थि ति की बात है . . .	కానీ నువవు ఇకకడ ే ఉండే విష యా నికి వ సతే . . .
तुम समझ ते हो न , कि यहाँ तुमहारा काम कितना मह त व पू रण है ?	ఇకకడ నీకు అ పప గి ంచిన పని ఎంత ముఖ య మెన దో నీకు తెలుసు కదా ?
ओह , वाह .	ఓహ , వా వ .
उनके चे ह रे , उनकी आवा ज , जिस तरह से वे सा ँ स ले ते हैं , वह भी .	వారి ముఖ ాలు , వారి స వర ాలు , వారు ఊ పి రి తీసుకు నే వి ధా నం కూడా .
तुमहें निय म पता हैं .	నియ మ ాలు నీకు తెలుసు .
ह नि वा .	హ నీ వా .
मैंने पहले कया कहा था . . .	నే ని ంత క ముందు అనన దంతా . . .
मुझे पता है .	నాకు తెలుసు .
मुझे लगता है हम सभी में से तुम समझ जाओ गी कि उसे कया चाहिए .	ఆమె కి ఇపపుడు ఏం అవ సర మో , అది అంద రిక ననా నీ కే తెలు స ను కుంటా ను .
हाँ . लेकिन उसके बाद . . .	అవును . కానీ ఆ తరవాత . . .
जे र ला म रे ल .	జె ర లా మ రె ల .
को फु न .	కొ ఫ ూ న .
हम लगा तार आगे बढ ते हैं .	మనం ము ందుకు సా గు తుననాం .
दो और . . .	ఇదద రు . . .
और रा नी का कया ? कया तुमहें पता है वह कहाँ पर है ?	మరి మ హా రా ణి సంగ తే ంటి ? ఆ వి డ ఎ కక డు ందో నీకు తెలుసా ?
और रा नी को कं जु आ ले जाना और उनहें सि ं हा सन पर आ सी न करा ओ .	యు వ రా ణి ని కం జు వా కి తీసు కె ళ లి , ప టట ా భి ష ే కం అ యయ ే లా చూడ ండి .
मैंने उस की स हम ति नहीं दी है .	నేను ఇంకా దానికి స మమ తి ంచ లేదు .
नहीं .	రా దు .
म हा रा नी ?	మ హా రా ణ ీ ?
मुझे पर स पर वि रो धी बातें महसूस हो रही हैं .	నాకు పర స పర వి రు దధ మెన విషయ ాలు తెలు సతుననా యి .
बा बा .	బా బా .
हि लो मत .	క దల వదదు .
तुम कया कर रही हो ?	నువవే ం చేసతుననా వు ?
और तुम जो चि ल ला ए . . .	మరి అ రి చి న వయకతి . . .
