रॉ बि न !	రా బి న !
हैलो , दोसत .	హే , మి తర మా .
बे क का .	బె క కా .
जि से हमेशा दे ते हैं .	ఎ పపటి లా అదే వయకతి కి .
मुझे .	నాకు .
हम किस तरह की आ पा त छ ू ट की बात कर रहे हैं ?	ఇకకడ మనం అసలు ఎంత పరమా ద భ త యం ఆ శి సతుననా ము ?
तुमने जो किया , उसका शुकरिया	మీరు చేసిన దానికి ధనయవాదాలు
उनहोंने मुझे त सवी र से निकाल दिया .	వాళళు ననను ఫో టో నుండి తొ ల గి ంచారు .
आप दोनों . . .	మీ ఇదద రూ . . .
मुझे पता है .	నాకు తెలుసు .
यह लो .	ఇది గో .
माफ करना , मैं . . .	ననను కషమించు , నేను
ओ ए !	ఓ య !
ऐ श ली .	ఆ ష లీ .
नहीं .	లేదు .
पर हम पक ड ल ेंगे .	కానీ పటటు కుంటా ం .
अचछा , आप लोगों को ए त राज ना हो तो ,	హే , నా దో పర శ న , మీకు ఫర వాలేదు కదా ?
ऐ श ली .	ఆ ష లీ .
ऐ श ली !	ఆ ష లీ !
किसी भी तरह से	ఏ వి ధ ంగా కూడా ,
आई बात समझ में ?	నీకు అరథ మ యి ందా ?
ट रा ंस लू स ें ट को आज द फ ना दिया गया ,	ట రా నస లూ సె ంట సం స కార ాలు ఈ రోజు . . .
सुनो .	వి ను .
तो , अब बताओ कि . . .	అయితే , ఇది ఎలా . . .
और फिर . . .	అపపుడు . . .
नहीं .	కాదు .
चर च ऑ फ द क ले क टि व	చ రచ ఆ ఫ ద క లె క టి వ
कया लड का ?	బా య ఏంటి ?
कया लड का ?	బా య ఏంటి ?
तुमने वह वी डियो देखा है .	నువవు ఆ వీ డి యో చూశా వు గా .
रे नर ?	రే న ర ?
तुम कया कर रहे हो ?	నువవే ం చేసతుననా వు ?
किसी और को यह सब संभाल ने दो , ठीक है ?	దీని ని ఇం కె రి నె నా నిర వ హి ంచ నీ , సరేనా ?
न ही रॉ बि न .	లేదా రా బి న .
किसी न किसी तरह , वे सब . . .	ఏదో ఒక ర కంగా , వాళళ ంద రూ . . .
यह . जो कि बहुत ही घट िया है , पर यही सच है .	ఇది . చాలా ని రు త సా హ పరి చే ది , కానీ ఇది నిజం .
के ट नि स .	కే ట ని స .
गे को .	గె కో .
- अरे , बा प रे . हैलो .	- దేవుడా . హాయ . - హాయ .
हाँ .	సరే .
ए नी ?	ఆ నీ ?
यह लै ंस क ॉर पो र ल डै न मिल र है .	ఇ తను లా నస కార పొ ర ల డా న మి లల ర .
दरअसल , पो रट लै ंड से ,	నిజ ానికి పో ర టల యా ండ ,
नहीं , मुझे नहीं लगता कि . . .	లేదు , నేను అనుకో వ టం లేదు ఇది
तुम लोग कैसे हो ?	మీరు ఎలా ఉననారు ?
मैडम , आपकी ना क .	మే డ మ , మీ ము కకు .
