सा ला !	అబబా !
तो फिर , तुम कहाँ थे ?	నువ వె కకడ ఉ ండి పోయా వు ?
इस ने मै ड लि न सट ि ल वे ल को उडा डा ला !	అతను మా డ లి న స టి ల వె లను పే ల చేశా డు !
हाँ .	సరే .
नहीं .	లేదు .
और एक आ जा द प ं छ ी की तरह घ ू म रहा है ,	స జీ వ ంగా , చ కక గా , చు టట ూ తి రుగు తుంది ,
सब कुछ ठीक तो है ?	అంతా బాగానే ఉందా ?
अरे , आप कहाँ जा रही हैं ?	ఓ య , ఎ కకడికి వెళ ు తుననావు ?
पर मैं इसका जवाब पता कर सकता हूँ .	కానీ అది ఎలా పొ ంద ాలో నాకు తెలుసు .
ठीक है , भा ड में जाए . गरेस ! रु किए !	సరే , అది వదిలే య . గరేస ! గరేస ! ఆగు !
बस मेरी बात सु नि ए .	నేను చెపపే ది వి ను .
- नहीं . तुमहें हमारी ओर देखना होगा .	- లేదు . నువవు మమ మ లని చూడ ాలి . - లేదు .
मुझे तो लगा कि स डी हुई म छ ली की वजह से	అది చె డ డ మంచి నీ టి మ లు గు చే ప అనుకుంటా .
मैं सोच ती रही कि तुम फोन करो गी .	నువవు ఫోన చేసతా వ ను కు ంట ూ ఉననాను .
बिलकुल अके ली हूँ .	ఖచచితంగా ఒ ంట రి ని .
व ॉ ट मुझे इसमें जे ब नहीं रख ने दे गा .	వా ట ఇ ందు లో జే బు లు పెటటు కో నివ వ లేదు .
जब मेरी आँख खु ली , तो मुझे लगा ,	నాకు మె లు కు వ వచచా క అను కుననాను ,
तुम उनसे मिले ?	ఆమె ను కలి శా వా ?
मेरे साथ खेल मत खे लो .	ననను గ ంద రగ ో ళ పర చ ొ దదు .
- मैं ही इतना भ द दा हूँ .	- నేను కు రూ పి ని . - కాదు .
नहीं !	కాదు !
शायद इतनी जलदी , अपने दोसत ों के साथ ,	బహుశా నువవు ఇంత తవర గా నీ సనే హి తు లతో
