- रा यन !	- రా యన !
एल . ए . ड बल यू .	ఎ ల . ఏ . డబ ల యూ .
आर म	ఆర మ
और ही रो का इंतजार करो .	హ ీ రో కోసం వే చి చూడ ండి .
अचछा , से डो ना में सी धे जे न ज तक जाना है .	సరే , నే రు గా సె డో నా లో జె న దగగర కు వెళ తా .
और वा इ ल ई . का यो टी .	ఇంకా వె ల ఈ కొ యో టీ .
बिलकुल . हम रो ड र नर को	అవును . మనం రో డ ర నన ర ను
मुझे बेहद . . . हैलो . ह यू ई .	నేను చాలా . . . హాయ . హ యూ య ీ .
मैं थ क चु की हूँ .	నేను అ ల సి పోయా ను .
हम सब थ क चु के हैं .	మన ంద రం అ ల సి పోయా ము .
देखो . . .	చూడు . . .
और मैं थ क चु की हूँ .	ఇక నేను అ ల సి పోయా ను .
उसे ए - ट रे न से कया परे शा नी है ?	ఏ ట రె యి న తో ఆమె కునన సమసయ ఏంటి ?
डी प फिर भी चु ना गया .	డీ ప అయి నా పర యో జ కర మే .
वि लि य म बु चर .	వి లి యం బు చ ర .
हम लोगों को बहुत मजा आ रहा था .	మేము ఇకకడ చాలా సర దా గా గ డి పా ము .
यह अके ला नहीं था . मैं यहीं थी .	తను ఒ ంట రి గా లే డు . నేను ఉననాను .
एक कम रे में बंद र हूँ ,	ఈ వె సట ఎ ల మ డె త సటా ర లో
- हो म लै ंड र ?	- హో ం లా ండ ర ?
- हो म लै ंड र !	- హో ం లా ండ ర !
नया ग ह ना है ?	కొతత చె యి నా ?
बा प रे . माँ एँ भी ना .	దేవుడా ఈ అమమ లు ననా రే .
- तुमने हमें कैसे ढूँढ ा ?	- మమ మ లని ఎలా కను గొ ననా వు ?
आप रो ते भी हैं ?	నువవు ఏ డు సతా వా ?
बेटा . . .	బా బు . . .
तुम बहुत अचछी हो .	నువవు మంచి దాని వి .
बिलकुल तैयार हैं .	అవును మే మూ వ సతా ం .
सट ॉर म फर ंट . . .	సటా ర మ ఫర ంట . . .
देखो . . .	చూడు . . .
अचछा . तो , फिर से कोशिश करते हैं .	సరే . అయితే మనం మళళీ పరయతని ద దా ము .
पर ना जी बु रे लोग हैं .	కానీ నా జీ లు చె డ డ వారు .
उसके ऊपर से गाडी च ढ ा दो . . .	ఆమె ను కారు తో తొ కకి ంచండి . . .
कया हो रहा है ?	ఏం జరుగు తోంది ?
तुम ठीक हो . हमें जाना होगा , ठीक है ? चलो .	బా నే ఉననావు . మనం వెళ ు తుననా ము , సరేనా ? రా .
- तुम अचछे से इसकी पर व रिश करना .	- నువవు వాడిని సరి గా పె ంచు తా వు .
और वे तुम तक कभी नहीं पहुँच पा एँगे .	వాళళ ని నినను ఎ పపటి కీ కని పెటట నివ వ ను .
बे क का !	బె క కా !
लोगों को मेरी बातें बहुत पसंद आती हैं .	నేను చెపప ాలను కునన ది జ నా నికి న చచు తుంది .
और सच का कया ?	నిజం మాట ే ంటి ?
ए नी !	ఆ నీ !
लड किया ँ वा कई में काम पूरा करती हैं .	మళళీ ఇది అమమాయి లు పూరతి చేసతుననా రు .
नहीं .	వదదు .
रा यन .	రా యన .
यह तुमने किया है ?	నువవు ఇది చేశా వా ?
मेरा वह इ रा दा नहीं था .	ఇలా చేయ ాలని అనుకో లేదు .
रा यन .	రా యన .
नहीं .	రా డు .
- पलीज .	- పలీజ .
इन हें जाने दो .	వాళళ ను వదిలే య .
हो म लै ंड र ?	హో ం లా ండ ర ?
सट ै न .	సటా న .
और उसे स जा दी जाए गी .	ఆమె శి కషి ంచ బ డు తుంది .
" पी डी आर " ?	" పీ డీ ఆర " ?
रु किए .	ఆ గ ండి .
- हाँ !	- అ దీ !
नहीं .	లేదు .
तो , अगर तुम मेरी बात नहीं कर रहे थे ,	అయితే , నా గురించి కా దా మాటలాడు తుంది ,
यह स ें ट करि सट ो फर है .	ఇది సె యి ంట కరి సట ొ ఫర .
व ॉ ट को मैं संभाल ल ूँगी .	నేను వా ట ను చూ సు కుంటా ను .
मुझे मेरी ता कत का इस ते माल करने के लिए	నా శ క తులు ఉ ప యో గి ంచ మని పరే రే పి సతుననారు .
मुझसे वा दा करो कि उसे हि फा ज त से रख ो गे .	వాడిని సు ర కషి తంగా ఉ ంచు తా నని మాట ఇవ వు .
अब , मैंने तुमसे जो कहा , उसे याद रख ना .	ఇపపుడు , నేను నీకు చెపపి ంది గురతు ంచుకో .
देखो , मैं समझ ती हूँ कि इसमें खत रा है .	చూడు , నాకు అది పరమా ద కర మెన దని తెలుసు .
इन त सवी र ों के आ धा र पर , अब यह मा ना जा	ఫో టో ల ఆ ధా ర ంగా , ఇపపుడు ఆ హె ఫ రె డ రిక వా ట
माफ करना जो तुमहें अके ला छोड ना प डा .	కషమించు నినను ఒ ంట రి గా వది లి వెళళ ా ము .
तुमने उसे खुद हा सि ल किया है , ठीक है ?	నువ వి ది స వ ంత ంగా సం పా ది ంచా వా , అవునా ?
और तुम मुझे नि ष ठ ु र कमी ना बता रहे हो .	నువవు ననను కని క రం లేని వెధవ అంటా వు .
अफ सो स , पु रा ले ख में एक हा द सा हो गया .	పరా చ ీ న గ రం థ ాల యం లో ఒక సం ఘ టన జరిగింది .
उनहोंने ड वे न री ड से ही लिया होगा .	ఖచచితంగా డు న రీ డ దగగర ఇ చచు ంటా రు .
अब और उ द घ ा टन स मा रो ह नहीं होंगे .	పర ీ మి య రలు ఉండ వు . లేదా పా పరా జీ లు .
ये लोग वापस यहाँ कया कर रहे हैं ?	వాళళు తిరిగి ఇకకడ ే ం చేసతుననా రు ?
वी को जन ता में नहीं बा ँ ट सकते .	సమా జ ంలో కి వీ ని వి డు దల చేయ కూడదు .
वह मेरा बेटा है और मैं चल ूँगी .	వాడు నా కొ డు కు , నేను వ సతుననాను ,
सट ै न एडगर को जब र द सत झ ट का लगे गा .	సటా న ఎడ గర ను చా వు ద ె బబ కొ టట చచు .
पर यह एक बिलकुल न ई दुनिया है .	కానీ ఇది మొతత ం సరి కొతత పరపంచ ం .
मैं राज यों के नाम लि ख रहा था .	నేను నా రా ష టర ాలను వ రా సతుననాను .
बे क का , हमारे पास वकत नहीं है .	బె క కా , మనకు సమయం మి ంచి పో తుంది .
मैं दु आ करती हूँ कि वह सही हो .	ఆమె నిజం కా వాలని కో రు కుంటా ను .
अगर मुझे किसी बात का पता है ,	నాకు తెలి సిన విషయం అ ంట ూ ఉంటే ,
पै ट रो ल ले ने पर न क द देना है ,	ఇం ధ నం కోసం డబబు , హో ట లస వదదు .
यह तो बडी अचछी बात है , रा यन ,	సరే , అది చాలా మంచిది , రా యన ,
प ें ट ग न को बडा आर डर मिला है ,	పె ంట గా న పెదద ఆర డ ర ఇ చచి ంది ,
हर कोई तुमहें ढूँढ रहा है .	అందరూ నీ కోసం వె తు కు తుననారు .
धत तेरी . अभी - अभी खबर आई है .	అయ యో , అది బ హి రగ తం అయ యి ంది .
तो जरूर कोई बडी ता कत होगी .	అయితే ఏదో అ ధి క శ కతి ఉండాలి .
इन होंने मुझे उडा कर दिखा या .	పె కి తీసు కె ళళ ి చూపి ంచారు .
हाँ , कु र बा निया ँ दे नी प डी ं ,	అవును , బ లి దా నాలు జ రి గా యి ,
और तुम किस लिए ह ँ स रही हो ?	నువవు దే నికి నవ వు తుననావు ?
