हाँ .	సరే .
चिंता मत करो , कै नी . मुझे कुछ महसूस नहीं हो रहा है .	కంగా రు పడ కు , కె ననీ . నాకు మ తతు గా ఏమీ అనిపి ంచడం లేదు .
मैंने मे जर क ले वे न के विमान पर सी धे गोली लग कर उसे गिर ते हुए भी देखा .	అలాగే మే జర క లె వెన విమానం దా డి లో ద ె బబ తి ని నే ల కూ ల డం పర తయ కష ంగా చూశా ను .
- अगर तुम कहते हो तो . - बहुत खू ब .	- నువవు ఎలా అంటే అలా . - బ యూ టి ఫ ు ల .
वे नहीं बदल ेंगे .	వాళలు అలా చేయ రు .
ह द है .	డా మి ట .
ड यू टी ऑ फि सर	డ యూ టీ ఆ ఫీ సర
मे जर ?	మే జర ?
नहीं .	లేదు .
आपका मु ख य ल कष य मु ं सटर है .	మీ పరా థ మి క లకష యం , ము ం సటర .
धनयवाद , रे ड .	థాంక యూ , రె డ .
मा रे जाएँ या ला पता हो जाएँ .	మనం ఇ పపుడే దా డి చేయడం మే లు .
बुरा ही महसूस कर रहा हूँ . वह मुझे दो .	నా కూ అలాగే అనిపి సతోంది . ఇది ఇలా ఇవ వు .
जै क !	జా క !
रॉ य ल फ ल श .	రా య ల ఫ ల ష .
रॉ य ल फ ल श .	రా య ల ఫ ల ష .
धनयवाद , लॉ य ड .	థాంక స , లా యి డ .
रॉ य ल फ ल श	రా య ల ఫ ల ష
बॉ म बार डि यर बोल रहा हूँ .	బం బా ర డి య ర సిదధ ం చేయాలి .
नहीं .	లేదు .
धत तेरी की . है री , सा ँ स लो , है री .	డా మి ట . హ యా రీ , శ వా స పీ ల చు , హ యా రీ .
कृपया , है री .	పలీజ , హ యా రీ .
पायलट , बॉ म बार डि यर के लिए , हम ल कष य के करी ब पहुँच रहे हैं . कया तुम तैयार हो ?	బం బా ర డి య ర కి పె లెట స ందే శం , మనం లకష యా నికి దగగర వు తుననాం . దా డు లకు మనం సిదధ మా ?
पायलट , बॉ म बार डि यर के लिए . विमान तुमहारा हुआ .	బం బా ర డి య ర కి పె లెట స ందే శం . ఇక ఇది నీ విమానం .
है म बो न ! है म बो न !	హా ం బో న ! హా ం బో న !
बाकी के कहाँ हैं ?	మి గ తా అందరూ ఎకకడ ?
ब बल स का कया हुआ ?	బ బు లస కి ఏ మెంది ?
बहुत हुआ .	ఇం క చ ాలు .
वह काफी क ठ ि न था .	అది కష ట మెన మి షన .
तुमहें वापस विमान में बैठ कर कम ब खत काम पूरा करना चाहिए .	నువవు తిరిగి యు దధ ంలో కి వెళలి మి గి లి న లకష యానని ము గి ంచు .
नहीं , च मत कार तो कर ॉ ज का दि शा - नि र देश था . एक डि ग री इ ध र - उ ध र होता , तो हम पा नी में उ तर ते .	లేదు , అదభు తం అంటే క రో జ నె పు ణ య మే . ఒకక డి గర ీ తే డా వచచి నా మేము నీ టి లో ము ని గి పో యే వాళల ం .
फु ट ब ॉल के आ कार का एक ब म का ट ु क डा हमारे फो रट के सामने के हि स से से ट करा या था ,	ఫ ు ట బ ాల సె జు లో ఉండే బా ం బు శ కల ం ఒకటి వచచి మా విమానం ముందు భా గా నని ఢ ీ కొ టటి ంది ,
मैंने तुमहारी प तनी को एक चि ट ठ ी लि ख ी . हम सभी को लगा कि तुम . . .	నీ భా రయ కి నేను ఉ తత రం రా శా . నువవు ఇక రా వని మే మ ంతా అను కుననా ం . . .
उनके विमान में आ ग लगी थी और फिर विमान के ची थ डे उ ड गए .	వాళల విమా నా నికి మ ంట లు అ ంటు కు ని ఆ తరువాత పే లి పోయింది .
- बस कि सम त अचछी थी . - हाँ , तुम यह इतना अ क सर करते हो	- పూరతి గా అద ృష టం . - అవును , అలా ంటి వి జరగ డం చాలా అ రు దు
मुझे वे दिख रहे हैं . सी धे सामने . बच ने के पै तर ें !	నాకు కనిపి సతుననారు . నే రు గా పో నివ వు . ప ల టీ లు కొ టటు !
मुझे नहीं लगता कि यह मा ह ौ ल मेरे लिए मदद गा र है .	ఈ వా తా వర ణం నాకు సరి పో తు ందని నేను అనుకో వడం లేదు .
अब भी यही लगता है कि तुम बेह तरी न नै वि गे टर हो .	ఇ పపటి కే నువవే బె సట నా వి గే టర అని నా అభి పరా యం .
सक वा ड ली डर इ ग न वि नया स से बाहर निकल रहे हैं .	స క వా డ లీ డ ర ఈ గ న ఫా ర మే షన నుండి తపపు కుంటుననా డు .
उन में से एक से रे डियो पर मेरी बात करवा ओ .	వాళ లల లో ఎవరి నె నా రే డి యో లో మాటలా డి ంచండి .
