नहीं .	లేదు .
हाँ , मुझे वह दिख रही है .	అవును , నాకు కనిపి ంచింది .
- कया खबर है ? - पू र वी मो र चे पर . . .	- ఇది ఏంటి ? - త ూర పు సరి హ దదు లలో . . .
दोसत ों , चलो चल ें .	మి తరు లా రా , పద ండి .
जी , सर .	య స , సర .
ड ले इ नी . एल बर ट .	డె లే నీ . ఆ ల బర ట .
तुम लोगों को यहाँ देख कर खुशी हुई .	మీరు ఇకకడికి రా వడం సంతోష ంగా ఉంది .
धनयवाद , सर .	థాంక యూ , సర .
परा र थ ना करो कि तुम उससे आ धी अचछी उडा न भर स को , तो शायद तुम भी 2 5 मि श नों तक पहुँच स को गे .	అతని నె పు ణ యం లో నీకు స గ మెనా ఇ మమ ని దేవు డిని కో రు కో , నువవు ఇ ర వె ఐ దు మి షన లు పూరతి చేయ గల వు .
ता ं बे का तार , गरे फा इट , से फ टी पि न .	రా గి తీ గ , గరా ఫె ట , పి ననీ సు కావాలి .
चलो . चलो चल ें .	పద ండి . వెళ దాం .
उनकी खा त िर आ शा करता हूँ कि उनहें तु र ंत मौ त मिली हो .	క నీ సం వాళ లలో కొ ంద రె నా పరా ణ ాల తో బయట పడ తా రని ఆ శి ంచా ను .
है मिल टन .	హా మి ల టన .
- मार ज . - मार ज .	- మార జ . - మార జ .
7 मार च , 1 9 4 4	మా రచ 7 , 1 9 4 4
जब यह मौ सम बेहतर हो जाएगा ,	ఈ వా తా వర ణం కా సత మె రు గ య యా క ,
ती स में से एक , 4 0 में से एक , 5 0 में से एक है ?	ము పప ె కి ఒకక అవకా శం , న ల భ ె కి ఒకటి , యా భ ె కి ఒకటి ?
8 मार च , 1 9 4 4	మా రచ 8 , 1 9 4 4
मे जर बो मन ?	మే జర బో మన ?
रो जी स रि वे टर स	రో సీ స రి వె టర స
दि शा हो नी चाहिए , 2 5 3 . दो हरा ता हूँ , 2 5 3 .	మన ది శ 2 5 3 డి గర ీ లు . రి పీ ట , 2 5 3 డి గర ీ లు .
वाह !	వా వ !
समझ गया .	వి ననాను .
हाँ ! रो जी !	అ దీ ! రో సీ !
रो जी ! रो जी ! रो जी ! रो जी ! रो जी !	రో సీ ! రో సీ ! రో సీ ! రో సీ ! రో సీ !
और मैं बस जान ना चाहता हूँ कि तुम कहाँ थी .	మీరు ఎకకడ ఉననా రో తెలుసు కో వాలి అను కుననాను .
बक ?	బ క ?
कर ै ंक ?	క రా ంక ?
ए म बु लें स	అ ం బు లె నస
शायद मैंने कभी किसी से करी बी रिश ता ही नहीं बना या .	నేను ఎవరి తో న ూ స రెన బం ధా నని ఏ ర పర చు కో లేదు అనుకుంటా .
मौ त के घ ा ट ?	ఉ రి తీ శా రా ?
अब , मैं तुमहें नहीं रो क सकता , कै प टन .	ఇపపుడు , నేను మిమమలని ఆ ప లేను , కె ప టె న .
दरअसल , सर .	అవును , సర .
नहीं , सर .	లేదు , సర .
हमारे बॉ म बर .	మన బా ం బర లని .
आर . रो जे न थ ॉल	ఆర . రో సె న థ ాల
धनयवाद , कर न ल .	థాంక యూ , కల న ల .
और मुझे पता है कि वह जैसा कह ता है , वै सा बन ने के लिए क डी मे ह न त कर रहा है .	అది ఎలా ఉండ ాలని అను కు ంటు ందో అలా మార డానికి చాలా కష ట పడు తో ందని నాకు తెలుసు .
पर उनहें बस यु द ध के मो र चे से खबर ें चाहिए थीं ताकि उनकी उममीद ें जा ग सक ें	యు దధ రం గం నుండి కేవలం ఒక వార త కో స మే అకకడ మా సె ని కులు ఆ శ గా ఎదు రు చూ సే వారు
पर मैं आपको यह बता ने के लिए लि ख रहा हूँ कि आपका बेटा मेरा दोसत था .	కానీ మీ అబబా యి నాకు మంచి మి తరు డు అని చెపప డానికి ఈ లే ఖ రా సతుననాను .
ब रि टि श से ना ने म ों टे क सी नो पर दोबारा हम ला करने की कोशिश की .	మా ంటే కా సిన ో మీద దా డి కి బ రి టీ ష సె ని కులు మ రో సారి పరయతని ంచారు .
जानती हो , इन पिछ ले कुछ हफ त ों में , मुझे तुमहारी काफी याद आई .	మీకు తెలుసా , గ త కొ ద ది వార ాలు గా నేను మిమమలని చాలా మి స అయ యా ను .
- ग ले म नि ट ज कहाँ है ? - उनहोंने उसे बिना कारण गोली मा री .	- గ లె మని ట జ ఎకకడ ? - అత డి మీద అ కారణ ంగా కాల పు లు జ రి పా రు .
मेरा मतलब , हम यहाँ बिना कुछ किए इंतजार कर सकते हैं .	నా ఉదదేశం , మనం ఇకకడ ఏమీ చేయ కుండా , ఎదు రు చూ సతూ ఉండ చచు .
बेहतर होगा कि हमारे सै निक य था र थ वा दी उममीद ें रख ें .	మన సె ని కులు వా సత వాల ఆ ధా ర ంగా అ ంచ నాలు ఏ ర ప రు చు కో వాలి .
च ूँ कि हम सभी ने कम से कम एक करी बी दोसत को खो या था ,	మ ాలో పరతి ఒకక రూ క నీ సం ఒక పరా ణ మి తరు డిని కో ల పోయా ం ,
मैं यहाँ भी एक बना ने की कोशिश करने की सोच रहा हूँ .	ఆ పర యో గా నని ఇకకడ కూడా పరయతని ంచ ాలని అనుకుంటుననా ను .
है री बल ॉ क में ही था . उनहोंने उसे गोली कयों मा री ?	హ యా రీ ఆ బ లా క లో ఉననాడు . అత డిని ఎందుకు ష ూ ట చేశారు ?
- दोबारा आ रहा है ! - वह हमारे करी ब से गु ज रे गा !	- తిరిగి వ సతోంది ! - వాడు మన మీద కి వచ చేసతుననా డు !
कि सम त वाले कमी नों को घर लौट ने का मौ का मिल गया .	వాళ లలో అద ృష ట వం తులు మాతరమే ఇ ళల కి తిరిగి వ సతారు .
साथ ही , यह नए सै नि कों को यह दिखा ना अचछा रहे गा	అలాగే , నువవు కూడా ఇ ర వె మి షన లు చేయడం సా ధయ మే అని
ल ु फ ट व ॉ फ को हरा ने की हमारी संभा वना एँ बढ गई थीं .	జర మన వె మా నిక ద ళ ా నని ఓ డి ంచే అవకా శ ాలు పె రి గా యి .
सामने ह ल का दा ई ं तरफ ढ े र ों ल डा कू विमान हैं .	కు డి వెపు ఎ గు వ న చాలా యు దధ విమా నాలు ఉననాయి .
हम कुछ ही घ ंट ों में यू रो प पर आकर म ण करेंगे .	యూ ర ప ఆ కర మ ణ కి మనం కొ ద ది గంట ల దూ రం లో ఉననా ం .
बर लि न पर या उसके आ स - पास हम ले हो रहे हैं .	అది బె ర లి న లేదా దాని పరి సర పరా ంత ం కా వచచు .
स टा लग ल ु फ ट I I I - सा ग न , जर म नी मार च , 1 9 4 4	మూ డో సట ాల గ లు ఫ త - సా గ న , జర మ నీ మా రచ , 1 9 4 4
- विश वास ही नहीं होता है . - ए , नौ सि ख िए .	- ఇది గ ంద రగ ో ళ ంగా ఉంది . - ఓ య , కొతత అబబా య .
तुमहें कोई देश पता है जो जयादा बेहतर हो ?	ఇంత క ననా మె రు గె న దేశం ఏదెనా మీకు తెలుసా ?
जर मन से ना को दो भाग ों में बा ँ ट दिया है .	దీని తో జర మన సె న యం రెండు గా చ ీ లి పోయింది .
