तुम कौन हो ?	ఎవరు నువవు ?
मेरे लिए ये लोग कोई मा य ने नहीं रख ते .	ఈ జ నం ఎవ వర ూ నాకు ఏ మా తరం ముఖ యం కాదు .
- तुम आ ख िर हो कौन ? - तुम लोगों ने जलदी शुरू कर दिया , है ना ?	- నువవు అసలు ఎవరు ? - మీరు చాలా తవర గా పని మొద లు పెటటా రు , కదా ?
ने ल सन - सै म ब रि टि श ना गर ि क	నె లస న - సా మ బ రి టీ ష ప ౌ రు డు
सै म ने ल सन ?	సా మ నె లస న ?
नहीं !	వదదు !
हम चाहते हैं कि आप अपनी - अपनी सी ट ों पर बैठ े र हें और अपनी कु र सी की पे टी बा ं ध लें .	మీ సీ ట లలో మీరు కూ రచు ని సీ టు బె ల టు లు పెటటు కు ని ఉండ ాల సింది గా మిమమలని కో రు తుననాను .
बढिया , इसे मुझे दो .	సరే , అది నాకు ఇవ వు .
एक बार और देखो .	ఇం కొ క సారి చూడు .
नहीं . यहाँ नहीं , मेरे दोसत .	లేదు . ఇకకడ ఆడ కూడదు , మి తర మా .
लेकिन उसकी आवा ज .	కానీ అతని గొ ం తు .
तो तुमहें अब कुछ करने की जरूरत नहीं है ?	అయితే నువవు ఇపపుడు ఏమీ ము టటు కో న కక ర లేదా ?
नहीं . ही थ रो पहुँच ने के एक घं टे पहले तक नहीं .	లేదు . హ ీ త రో చే రు కో వడానికి ఒక గంట ముందు వర కూ .
कया हो रहा है ?	ఏం జరుగు తో ందా ?
हैलो ? नीचे बैठ ो .	హలో ? కింద కూ రచ ో .
मैं अपना फोन चा लू रख ूँगा .	నా ఫో ను ఆన లోనే ఉ ంచు తాను .
मार शा .	మార షా .
2 डी	2 డి
2 डी : यहाँ बातें करें .	2 డి : ఇకకడ చా ట చేయ ండి .
अपना सं देश टा इ प करें	మీ స ందే శం టె ప చేయ ండి
1 के : अभी तक कुछ नहीं .	1 కె : ఇంకా ఏం తెలియదు .
मैंने कहा था ?	నేను చెపపా నా ?
अब दु ल ला .	అబ దు లలా .
1 के : इ रा की ए टी सी विमान से सं पर क करेंगे . लेकिन उनहें कोई जवाब नहीं मिले गा .	1 కె : ఇ రా కీ ఎ టి సి మన విమా నా నని కా ంటా క ట చేసతా రు . కానీ ఎలా ంటి సమా ధా నం ఉండ దు .
इ रा क	ఇ రా క
{ \ an8 } कि ंग डम 2 - 9 .	{ \ an8 } కి ంగ డ మ 2 - 9 .
कया आप कै प टन बोल रही हैं ?	మాటలాడు తునన ది కె ప టె న కదా ?
ठीक है . मैं जाता हूँ .	సరే . నేను వెళ తుననాను .
कि ंग डम 2 - 9 .	కి ంగ డ మ 2 - 9 .
जा बे ल अ ली अब ू धा बी	జె బె ల ఆ లి అ బు దా బి
मा इ कल ?	మె ఖ ే ల ?
अपना मै से ज टा इ प करें	మీ స ందే శం టె ప చేయ ండి
यह सिरफ एक तरह का सं के त हो सकता है कि कुछ ग ड ब ड है .	ఏదెనా దా రి తపప ి తే , విమానం లో ఏదో సమసయ ఉ ందని సం కే తం .
नी ला !	నీ లా !
नी ला ?	నీ లా ?
नी ला ?	నీ లా ?
बा थ रू म साफ करना आ सान होता है .	బా త రూ ము లు శు భ రం చేయడం తే లి క .
दे री से उ डे गी . मैंने तुमहारी के एल ए म देख ली थी . मा इ कल ने तुमहारी स वि स ए यर संभाल ली .	ఆ లస యం అయి ంది . నీ కె ఎ ల ఎ మ కూడా నేను చూ సు కుననాను . నీ స వి స ఎ యి ర ని మె ఖ ే ల చూ సు కుననా డు .
सब जानते हैं कि पायलट सिरफ उडा न भर ते हैं और विमान को नीचे उ तार ते हैं .	పె లె టలు కేవలం టే కా ఫ ఇంకా ల యా ండి ంగ మాతరమే చేసతా రని అంద రికీ తెలి సి ందే .
सिरफ वही करें जो वे लोग कहते हैं जिन का इस समय इस विमान पर कब जा है .	ఈ విమానం పర సతు తం సవా ధ ీ నం చేసు కునన వారి ఆ దే శ ాలను మాతరమే అను సరి ంచండి .
उनहोंने दु ब ई के ह वाई अ ड डे के लोगों से बात की . वे बिना वजह डर गए थे .	వాళలు దు బా య లో , ఎ యి ర పో ర ట సి బబంది తో మాటలా డా రు . అది త పపుడు హె చచ రిక .
दु ब ई के पास पहले ही एक फोन आ चुका था . समस या पहले ही ह ल हो चु की थी .	అంత కు ము ందే దు బా య కి ఒక కాల వెళలి ంది . అది అ పపటి కే పరి ష కా రం అయి ంది .
- ख रा ब हो जाएँगे . मेरी बात सुनो . . . - पे टी से अपना हाथ ह टा ओ .	- ఘ ో ర ంగా మార తా యి . నా మాట వి ను . . . - ఆ బె ల టు మీద నీ చేయి తీ యి .
इस सब का मतलब यह है , सा इ मन , कि मुझे दस मिनट की देर हो जाए गी .	ఈ అనని కారణ ాల వలల , సె మన , నేను ప ది నిమిష ాలు ఆ ల సయ ంగా వ సతాను .
मैं कर सकता हूँ , पर वाई फा ई चल रहा हो तो कोई भी कर सकता है .	అంటే , మాటలాడ గలను , కానీ వె - ఫె ఆన లో ఉంటే ఎవరెనా సం పర ది ంచ చచు .
जैसा कि मैंने कहा था , मैं बस घर जाना चाहता हूँ .	నేను ము ందే చెపపి న టలు , నాకు ఇంటికి వెళల ాలని ఉంది .
पलीज , जा रा . मैंने उससे कहा है मैं कोशिश कर ूँगा .	పలీజ , జా హ రా . నేను చూ సు కుంటా నని తన కి హా మీ ఇ చచా ను .
वह पाँच घं टे बाद हमारी ह वाई सी मा में आए गा .	మన గ గ న తల ంలో కి రా వడానికి ఐ దు గంట లు పడు తుంది .
देखो , कल ही बॉ बी का अप ें डि कस निकल वा या है ,	చూడు , బా బీ కి ని నన అ పె ండి కస సమసయ వచచింది ,
या हम वहाँ के ए टी सी से सं पर क करने . . .	లే ద ంటే మనం ఎ టి సి ద వా రా పరయతని ంచ చచు . . .
किसी ने गोली चला दी , मैंने बस यही सुना .	తు పా కి పే లి ంది , నాకు అదే వి ని పి ంచింది .
तो , आपने ऐसा कयों कहा कि कै प टन आप हैं ?	అపపుడు , నేనే కె ప టె న అని ఎందుకు చెపపా వు ?
- वे पी . ई . के लिए हैं . - वे ल करो पह नो .	- ఇ వి ఫి జి కల ఎడ యు కే షన కోసం . - వె ల క రో .
हे ! जो तुम चाहते हो , वह कर तो रही हैं .	హేయ ! ఆమె నువవు అడి గి ంది చే సతోంది కదా .
