इट ली .	ఇ ట లీ .
व हा इट ह ॉल के सुरकष ा कर मि यों से सं पर क करके उनसे क हो वे सी सी टी वी चे क करें .	ఆ సి సి టీ వీ ని చె క చేయ డానికి వె ట హ ాల సె క యూ రి టీ సి బబంది తో ఒక సారి మాటలాడు .
कॉ लि ंग व ु ड हा उस सी ए च	కో లి ంగ వు డ హ ౌ స సి హె చ
हमें उनके दोसत ों और परिवार ों पर धयान देना है ,	మనం వాళల సనే హి తులు , కుటుం బ ాల మీద ద ృష టి పె డ దాం
किस की माँ ?	ఎవరి తల లి ?
कया मैं कुछ कह सकता हूँ , हाँ ?	నేను ఒక మాట చెపప నా , ఫర వాల ే దా ?
नहीं .	లేదు .
डॉ क टर ने तुमसे वही कहा जो तुम सुन ना चाहते हो , कयोंकि उसके हाथ - पा ँ व फ ू ले हुए हैं .	నువవు ఏం వి నా లి అనుకుంటా వో డా క టర నీకు అదే చెపపా డు , ఎందుకంటే అతను భయ పడి పో తుననా డు .
आगे बढ ो .	కా నివ వు .
गा ला .	గ ాలా .
गा ला .	గ ాలా .
उसके लिए तो नहीं .	వాడిని కి ంచ పర చ కు .
ओ य .	ఓ య .
हाँ , देखो . किस बारे में बातें करना चा हो गे ? सं गी त के बारे में बात करें ?	ఇలా చూడు . నువవు ఏం మాటలాడ ాలి అనుకుంటుననా వు ? మ యూ జి క గురించి మాటలాడ తా వా ?
फिर हमें इसे यह पि ला ना होगा .	అపపుడు అతని తో మనం తా గి ంచ చచు .
ये कौन हैं ?	వాళలు ఎవరు ?
बु डा पे सट . . .	బు డా పె సట . . .
कि ंग डम 2 - 9 ?	కి ంగ డ మ 2 - 9 ?
यहाँ विमान में अ ंग रे जी भा ष ी लोग हैं ,	విమానం లో ఇం గ లీ ష మాటలా డే వాళలు ఉననారు ,
लेकिन पलीज इस बात को समझ िए . . .	కానీ దయచేసి అరథం చేసుకో ండి . . .
कि ंग डम 2 - 9 . . .	కి ంగ డ మ 2 - 9 . . .
- कया कहा उसने ? - वह हमारे लिए ग यो र ह वाई अ ड डे पर	- ఆమె ఏం అ ంట ో ంది ? - ఆమె పర మి షన కోసం పరయతని సతోంది
देखो , बाद ल ऊपर की तरफ जा रहे हैं .	చూడు , మే ఘ ాలు పె కి వెళలి పో తుననా యి .
