मै मी ?	మా మీ ?
मै मी .	మా మీ .
यह सच है .	అది నిజం .
म ून पि ग . म ून पि ग डॉ ट कॉ म .	మూ న పి గ . మూ న పి గ డా ట కా మ .
शायद यह के क डा है .	అది పీ త అనుకుంటా .
कयोंकि तुम मेरी मदद नहीं कर सकती .	ఎందుకంటే నువవు సాయం చేయ వు కాబటటి .
बि बी .	బీ బీ .
- हम कया करेंगे ? - आ ं टी इ वा ?	- మనం ఏం చేయ గల ం ? - ఈ వా ఆ ంట ీ ?
वह छो टी सी जै के ट पह न कर मत आ ना . फोन करने के लिए धनयवाद .	ఆ చినన జా కె ట తొ డు కకు ని రా కు . కాల చేసిన ందుకు ధనయవాదాలు .
पर इससे पहले कि वह दरवा जा खो ले , बेवकूफ ों की तरह मु स कु रा ना छोड ो गे ?	కానీ ఆమె తలు పు తీ సే లో పు నీ ముఖ ం మీద ఆ పిచచి నవ వు లే కుండా చేయ గల వా ?
टॉ म .	టా మ .
तो ज ॉन प ॉल की मौ त की रात को तुम अपने पति के साथ थी ?	అయితే , జా న పాల చని పోయి న రాతరి మీరు మీ భ ర త తో ఉననా రా ?
फ लि न . मि से ज फ लि न .	ఫ లి న . మి సె స ఫ లి న .
इ वा .	ఈ వా .
डी लेना हो ट ल ए ंड स पा	డె లీ నా హో టల అ ండ స పా
मैंने तुमहें बताया कि मैं तुमहें सच में पसंद करता हूँ ?	నీ మీద నాకు చాలా గా ఢ మెన పరే మ ఉ ంద నే విషయం నీకు చెపపా నా ?
ज ॉन प ॉल .	జా న పాల .
अरे , काफी जो र से लगी .	ఓహ , పెదద స ొ టట పడి ంది .
हैलो , जै र लड .	హలో , జె రాల డ .
इ वा ?	ఈ వా ?
- बहुत - बहुत धनयवाद . - म जे करो .	- చాలా ధనయవాదాలు . - ఆ సవా ది ంచు .
अगर एक पु रु ष वह दे ता , तो वह मु स कु रा कर ले ती ?	అదే ఏ మ గ వా డో ఇ చచి ఉంటే , ఎలా ఉ ంటు ందో ఊ హి ంచు ?
जब तुम ना जि यों को न देख रही हो .	నువవు నా జీ లను టీ వీ లో చూడ నపపుడు .
कया कर रही हो , इ वा ?	ఏం చేసతుననా వు , ఈ వా ?
- बाद में मिल ूँगी . - ठीक है .	- తరువాత కలు దదాం . - కలు దదాం .
रिश ता खतम हो गया , ठीक है ?	అది ము గి సి పోయింది , సరేనా ?
तुम दोनों हो ट ल में कया कर रहे थे ?	హో టల దగగర మీ రి దద రూ ఏం చేసతుననా రు ?
सं भ ल कर , शायद फ ल श नहीं किया गया होगा .	సరి గగా నీ ళలు కొ టట ా రో లే దో చూ సుకో ండి .
हैलो . अरे , धत .	హలో . ఓహ , చెతత .
हाँ .	సరే .
हाँ . तुमसे मिल कर खुशी हुई .	సరే . మిమమలని కల వడం సంతోష ం .
मुझे पता था .	నాకు తెలుసు .
तुम बच चों को नहीं खो ओ गी .	నువవు పిలల లని వ దు లు కో వు .
धत . कया ?	ఛ . ఏంటి ?
अगर मैंने रिश ता नहीं तो डा , तो वह डॉ न ल को सब बता दे गा .	నేను దానిని ము గి ంచ కపోతే , తను డో న ల కి అన నీ చెపపే సతా డు .
- वाह . - धत तेरी की .	- వా వ . - ఓ రి దేవుడా .
धत तेरी की .	ఓ రి దేవుడా .
गरेस , शुकर है कि तुम और ब ला न ड वहाँ नहीं थीं .	గరేస , నువ వ ూ , బ లా న డ అకకడ లే కపో వడం దేవు డి ద యే .
नहीं .	వదదు .
- चलो भी ! - कयों ?	- చేయి ! - ఎందుకు ?
- नहीं ! - बै का ! बै का ! बै का !	- లేదు ! - బె కా ! బె కా ! బె కా !
" यह देश . . . "	" ఈ దేశం . . . "
अ रस !	ఉ రస !
" पि यर स . "	" పి య రస . "
हम घर जा रहे हैं . माफ करना , ठीक है ?	ఇంటికి వెళ తుననాం . కషమి ంచండి , సరేనా ?
तुम कहाँ जा रही हो ?	ఎ కకడికి వెళ తుననావు ?
- कया ? - माफ करना . हम बात कर सकते हैं ?	- ఏంటి ? - కషమించు . మనం మాటలాడు కు ందా మా ?
कुछ नहीं !	ఏమీ లేదు !
- अ र सला . - हैलो !	- ఉ ర సు లా . - హాయ !
माफ करना मैंने तुमहारे साथ यह सा झा किया मुझे लगा कि तुमहें पता होना चाहिए .	ఇది నీ తో ప ంచుకో వడం నాకు బాధ గా ఉంది కానీ నువవు ఇది తెలుసు కో వాలని భా వి ంచా ను .
थ ॉ मस !	థా మస !
आ रहा हूँ !	వ సతుననాను !
यह बढिया है .	ఇది బాగుంది .
श ॉ ट .	షా ట .
धत . वह तुमहारा दोसत था ?	ఛ . అతను నీకు సనే హి తు డా ?
सत नों के ?	చ ను మొ న లా ?
नहीं , मैं भी नहीं . नहीं .	లేదు , నా వలల కాదు . కాదు .
नहीं , नहीं . बिलकुल नहीं . . .	లేదు , వదదు . ఈ ఫోన ఎ తత కు . . .
नहीं .	లేదు .
" कया हुआ अगर . . . कया हुआ अगर अ त य धि क पयार ने उनहें मर ने तक ह त पर भ किया ? "	" అయితే మరి . . . మి తి మీ రి న పరే మ వాళలు మ రణ ి ంచే వర కూ వాళ లని వి సమ య పరి చి ందా ? "
नहीं . . . नहीं जा सकती कयोंकि मुझे र वि वार के लं च की तै या री करनी है .	నేను . . . నేను వెళల లేను ఎందుకంటే ఆ ది వా రం వి ందుకు ఏ ర పా టలు చేసుకో వాలి .
सुनो , मैं मै ल कम हि ल का दोसत हूँ . उसने मुझे तुमहारा नंबर दिया और . . .	విన ండి , నేను మ ాల క మ హి ల సనే హి తు డిని . అతను మీ నె ం బ రు ఇ చచా రు ఇంకా . . .
- कया कर रहे हो ? जवाब दो . - नहीं , मैं तुमहारे सामने जवाब नहीं द ूँगा .	- ఏం చేసతుననా వు ? ఫోన తి య యి . - లేదు , నువవు ప కక న ఉండ గా నేను మాటలాడ ను .
अरे , मैं समझ ता हूँ . पर , इस वाली को खुश रख ना बेहद क ठ ि न है .	ఓహ , బాగా చెపపా వు . ఈ భా రయ ని సంతోష ంగా ఉ ంచడం చాలా కష ట మెన పని .
तर ल क व क कल चर दवा रा वि ष ा कत प दार थ ों को निका ला जा सकता है . "	వీ టీ మీద ఫ ంగ స ని దర వీ కరి ంచడం ద వా రా విష ప దా రథ ాలను తీ య వచచు . "
ए , जान . मैं बस खाना प का रही हूँ . तुमहें बाद में फोन कर ूँ ?	హేయ , బంగా రం . నేను వ ంట మధయ లో ఉననాను . నేను మళలీ కాల చేయ నా ?
मुझे म ं जू र है . मुझे . . . मुझे अचछा लगता है कि कभी . . .	నేను వ సతాను . నాకు ఇషటం . . . అకకడ ఏమీ లే కపో వడం అంటే . . .
वे ज ॉन प ॉल की . . . गरेस की बी मा प ॉ लि सी संभाल रहे हैं .	వీ ళలు జా న పాల , గరేస బీ మా పాల సీ వయ వ హా ర ాలు చూ సతుననారు .
आपको लोगों की नि जी जानकारी चु रा नी नहीं चाहिए , अ र सला .	నువవు ఎవరి వయకతి గ త సమా చా రా ననీ దొ ం గి లి ంచ కూడదు , ఉ ర సు లా .
हाँ , मैं भी नहीं . मैं उसकी सा स से मिलने जा रही हूँ .	అవును , నేను కూడా వెళల లేను . తన అత త గా రి ని కలు సుకో వాలి .
पो सट म ॉर ट म के लिए उससे अन ुम ति ले ने की कोशिश करेंगे .	కాబటటి , పో సట మార ట మ కోసం మనం అతని అను మ తి ని అడుగు దాం .
