वाह .	వా వ .
नहीं .	లేదు .
- हैलो ! - हैलो !	- హో లా ! - హో లా !
हैलो , लड कि यों .	హలో , అమమాయి లూ .
ड यू टी के समय कभी आ राम मत करना . "	డ యూ టీ లో ఎపపుడూ రి లా కస కా వదదు . "
- बाद में मिल ूँगी . - धनयवाद .	- మళలీ కలు దదాం . - ధనయవాదాలు .
कया सच में ग ड बडी है ?	అది అలా అనిపి స తో ందా ?
लो टो - वि न 1 00 , 00 0 कला फि न ए ंड सं स	ల ొ టట ో - లకష గె లవ ండి క లా ఫి న అ ండ స నస
- सु पर भा त , टॉ म . - हैलो . सु पर भा त , लि ज . चि प खाना चा होगी ?	- శు భ ో ద యం , టా మ . - హాయ , శు భ ో ద యం , లి జ . నీకు చి ప ఇష ట మే నా ?
नहीं .	లేదు .
शायद तुमने मुझे सं दि ग ध बना दिया है .	నా మీద అను మా నం వచచే లా మాటలాడ బో యా వు .
वह भूल जाओ .	ఇం క మర చి పో .
- गरेस . - सी धे बे बी बी को फोन किया .	- గరేస . - నే రు గా బ ే బీ బీ కి చేసి ంది .
पसंद तो है .	నాకు ఇష ట మే .
नहीं आ सकती .	నేను రాల ే ను .
पता नहीं . यह हमारा प ला न बी हो सकता है . " बी " से बे बी बै का .	నాకు తెలియదు . అది మన ప లా న బి కా వచచు . " బి " అంటే బ ే బీ బె కా .
नहीं , बि बी . नहीं .	వదదు , బీ బీ . వదదు .
हैलो रॉ जर . मैं ऑ स कर हूँ	హాయ రో జర . నేను ఆ స కర ని .
मुझे लगा हम मिल कर ज शन मना एँगे .	మనం ఏదెనా చే ద దా మని అను కుననాను .
ग ना श .	గ నా ష .
ग ना श .	గ నా ష .
नहीं .	లేదు .
ट रू गरेस	ట రూ గరేస
ये य .	యా య .
नहीं .	లేదు .
और मेरी आँख इसकी वजह नहीं है . तुमहें नि शा ना लगा ने के लिए दो आँख ें नहीं चाहिए .	ఇది నా క నను గురించి కాదు . మనం లకష యానని గురి పెటట డానికి రెండు క ళలు అవసరం లేదు .
बि बी .	బీ బీ .
अगर है , तो मैं ए थ ली ट हूँ .	అదే అయితే , నేను అ థ లెట ని .
मैं घर पर म हिला ओं से घ ि रा हूँ .	ఇంట లో నా చు టట ూ ఆడ వాళ లే ఉననారు .
- या शायद हमें पहले कोई सा ं सक ृ ति क चीज देख नी चाहिए . - सच में ? यह जरू री है ?	- లేదా కొ ద ది సమయం సం స క ృ తి కోసం వె చచి దదాం . - నిజంగా నా ? మనం అలా చేయ ాల ంటా వా ?
और तुमहारे न न हें श ॉर ट स भी . नहीं .	నీ పొ టటి లా గ ూ లు . అవి మా తరం వదదు .
- और तुमहारे ट रे डि ंग कार ड भी . - नहीं , वह तुमहारे कॉ मि कस नहीं ज ला एँ गी .	- ఇంకా నీ ట రే డి ంగ కార డు లని కూడా . - లేదు , తను నీ కా మి కస ని త గు ల బె టట దు .
स जा देने के बारे में सोच ने से पहले , तुमहें शा ंत होने का इंतजार करना चाहिए .	నీ కో పం వలల జ రి గే పరి ణ ా మ ాల గురించి నువవు ఆలోచి ంచు కునే వర కూ శా ంత ంగా ఉండాలి .
मेरे परि ण ा म में निक ला कि . . .	నా వయకతి త వ లకష ణం ఏమి ట ంటే . . .
कि कैसे वो यह बेहतर तरी के से कर सकता है ?	మనం ఇంకా బాగా ఎలా చేయాలి అని ఆలోచి సతా డా ?
पर तुम सबसे अचछे अ भ ि भा व कों में से एक हो .	కానీ నాకు తెలి సిన అ తి మంచి తల లి వి నువవు .
और ब ला न ड के लिए .	ఇంకా బ లా న డ కోసం .
तुमहारे लिए यह कहना आ सान है . उसने तुमहारी जिंदगी बर बाद नहीं की .	నీకు అంతా మంచి గానే ఉండ చచు . వాడు నీ జీవి తా నని నా శ నం చేయ లేదు కదా .
इ वा .	ఈ వా .
- अ ल वि दा . - अ ल वि दा .	- ఉంటా ను . - ఉంటా ను .
जिस से उ बर ना क ठ ि न था ?	కో లు కో వడం కష ట మ యి ందా ?
वह बेवकूफ कयों है ?	వాడు ఎందుకు దద ద మమ ?
नहीं ?	లేదా ?
पर तुम कोई न रत की नहीं हो .	కానీ నువవు ష ో గర ల వి కా వు .
- कल कोशिश करना . - ठीक है .	- రే పు పరయతని ంచు . - అలాగే .
हाँ .	సరే .
हमें बस गो लिया ँ बदल ने का तरी का सोच ना होगा .	వాటి ని బయటకు ఎలా తీసుకు వెళ తా మో ఆలోచి ంచాలి .
- तुमहें बिलकुल सट ीक नि शा ना लगा ना होगा . . . - हे भगवान . मैं यह कर सकती हूँ !	- నువవు ఖచచితంగా గురి చూ సి కొ టట ాలి . . . - ఓహ , దేవుడా . నేను ఈ పని ని చేయ గలను !
इ वा , तुम और मैं जे पी को ल कष य बना एँगे .	ఈ వా , నువవు నే న ూ జె పి మీద గురి పె డ దాం .
- हाँ . - बढिया है .	- అవును . - మంచిది .
वह तुम हो , मै मी .	అది నువవే , మా మీ .
अब कया करें ?	ఇపపుడు ఏంటి ?
चलो भी !	ఇలా రా !
अब कया करें ? बि बी .	ఇపపుడు ఏంటి ? బీ బీ .
- हैलो ! - ठीक है , दोसत ों .	- హాయ ! - అలాగే , కు ర రా ళ లూ .
तुम सट ीक नि शा ना लगा सकती हो !	నీకు సప షట మెన గురి దొ రికి ంది !
बि बी .	బీ బీ .
कया हो रहा है ?	ఏం జరుగు తోంది ?
नहीं , नहीं , नहीं .	లేదు , లేదు , లేదు .
किस दु र घट ना को लेकर ? जिस में मेरे मा ता - पिता मा रे गए या जिस में मेरी आँख फ ू टी ?	ఏ పరమా ద ం ? మా తల లి ద ండ రు లు మ రణ ి ంచిన పరమా ద మా లేక నేను నా క నను కో ల పోయి న పరమా ద మా ?
मैंने उसका फोन तो ड दिया था , अ रस . वह फो टो मि ट चु की है , तुम सुरकष ित हो .	వాడి ఫో ను ని నే ల కే సి కొ టట ా ను , ఉ రస . ఆ ఫో టో లు ఇం క పోయా యి , నీ కే ం ఫర వాలేదు .
पता है मैंने कया सोचा ? मैंने सोचा , " वह गरेस है , और मैं वह कमी ना हूँ . "	నేను ఏం ఆలోచి ంచా నో తెలుసా ? " తను గరేస , నేను ఆ చెతత వెధ వని " అనిపి ంచింది .
और उससे भी बु री बात है , कि उसने इसकी जि म मे दा री ले ने से इन कार कर दिया .	అంత క ననా ఘ ో ర మెన ది ఏమి ట ంటే , అ ందుకు అతను క నీ సం బాధ యత కూడా తీసుకో న ననా డు .
डै ड आ ली शान जी वन जी ते थे , और मैं और म ॉ म उनकी गल ति यों की भर पा ई करते थे .	నానన జ ల సా గా బ తి కా డు , కానీ నేను , అమమ ఆ గ ంద రగ ో ళ ం నె తతి నె తతు కునే వాళల ం .
नहीं , वे बस मेरी और जे पी की दु र घट ना के बारे में बात करना चाहते थे .	లేదు , వాళలు కేవలం జె పి తో జరిగి న పరమా ద ం గురించి మాటలాడ టానికి వచచా రు .
तुमहें लगता है वह अपने पे र ें टि ंग कौ श ल के बारे में सोच भी रहा होगा ?	వాడు క నీ సం కష ణ మెనా తన పె ం ప కం తీ రు ని స మీ కషి ంచు కుంటా డు అనుకుంటుననా వా ?
कया ? मैं बस एक बेवकूफ बच चा था जो तुमहारी परे शा निया ँ बढ ा ता था ?	ఏంటి ? నినను మరి ంత గ ంద రగ ో ళ ం పె టటి న తెలి వి త కకువ పిలల వాడి నా నేను ?
तुम उसे प ें ट ब ॉल के द ौ रा न मार ना चाहती हो ? यह बे तु की यो जना है .	పె యి ంట బ ాల తో అత డిని చం పే య ాలి అనుకుంటుననా వా ? అది పిచచి ఆలోచ న .
मैं डॉ न ल हूँ , मैं एक पै रा मे डि क हूँ . यह अ र सला है , यह नर स है .	నా పేరు డో న ల , నేను పా రా మె డి క ని . తన పేరు ఉ ర సు లా . తను ఒక న రస .
यह कह ने की जरूरत नहीं है , पर तुमसे भी यही वा दा किया जाएगा .	నీకు చెపప న కక ర లేదు , నీకు కూడా అ టు వ ంటి ర హ సయ మే అ ంది ంచ బ డు తుంది .
उसकी देख भा ल करना और शा ंत रख ना तुमहारा काम है . समझ े , डै डी ?	ఆమె ను మంచి గా , పర శా ంత ంగా ఉ ంచే బాధ యత మీ దే . సరేనా , త ండ రి గా రూ ?
नहीं . और कृपया , कृपया उसे मत बता ना . मैं अनु रो ध करती हूँ .	లేదు . దయచేసి , దయచేసి తన కి చెపప కు . నినను వే డు కుంటుననా ను .
मुझे खे द है कि तुमहारे परिवार ने तुमहारा साथ नहीं दिया .	నీ కుటుం బ ంతో నువవు కష ట ాలు ఎదు ర కొ నన ందుకు నాకు బాధ గా ఉంది .
- तुम तै र ने आ ना चा होगी ? - हाँ , हम तुमहारा इंतजार करेंगे .	- నువవు కూడా ఈ త కోసం రా గల వా ? - అవును , నీ కోసం వే చి ఉంటా ం .
बि बी को देखो . उसने पल भर में उसकी जिंदगी त बा ह कर दी .	బీ బీ ని చూడ ండి . తన జీవి తా నని అతను కష ణ ంలో నా శ నం చేశా డు .
वैसे , उसने अपने बी मा दा वा पर प तर में तुम पर दो ष डा ला .	సరే , కానీ అతని ఇ నస ూ రె నస ఫా ర మ లో మిమమలని ని ంది ంచా డు .
उसे महसूस करवा एँगे कि वहाँ हम उसके अस ली दु श मन हैं .	మనం అకకడ అతనికి నిజ మెన పర తయ రథ ు ల ం అనే భా వ న కల పి దదాం .
- हाँ , मुझे पता है . उसके दिमाग में बस वही है . - हाँ .	- అవును , తెలుసు . ఈ పని లో ని మ గ నం అయి పోయా డు . - అవును .
मैं तुमसे व हीं मिल ूँगी , पर मेरे बिना कुछ मत करना .	నినను అకకడ కలు సతాను , కానీ నేను లే కుండా ఏమీ చేయ దదు .
मुझे माफ कर दो , बी . मैं बस बिना सो चे ब ड बडा ती गई .	కషమించు , బీ . నాకు ఒకక సారి గా ఆ వే శం వచచి తి టటే శా ను .
- एक स ज जन कभी यह राज नहीं खो ले गा . - तुमहें हुआ है .	- చి తర కారు డు ఎపపుడూ చెపప డు . - నీ జీవితం లో జరిగింది .
- किसी का नि शा ना काफी ते ज है . - हाँ , मेरा नि शा ना .	- సరే , ఇకకడ ఎవరో వి లు వి దయ లో ది టట . - అవును , నేనే .
और उसकी चा बी उसके डे सक पर रख े फु ट ब ॉल म ग में है .	దాని తా ళ ం డె స కు మీద ఉనన ఫ ు ట బ ాల మ గ లో ఉంటుంది .
तुम मेरा सा मान कयों छ ू रहे थे , मै ट ? कृपया . . .	నా వ సతు వు లతో ఏం చేసతుననా వు , మయా ట ? దయచేసి . . .
फा इ ल उसके डे सक के सबसे नीचे वाले द राज में है .	ఆ ఫె లు అతని డె స కు కి ంది డ ర ాలో ఉంది అనుకుంటా .
- ए , वह तुमहारे भी डै ड हैं . - नहीं , नहीं हैं .	- హేయ , ఆయన నీకు కూడా త ండ రే . - లేదు , అతను కాదు .
तुम पी ने के बाद हो श में नहीं रह ती हो , समझ ी ? तुमहारे साथ फि ल म देख ने जाना सं भ व नहीं है ,	నువవు నీ డ రి ంక ని కూడా సరి గా చూ సుకో వు , సరేనా ? నువవు సి ని మా కి వెళ లే తీ రు ఘ ో ర ంగా ఉంటుంది ,
- उसे में ढ कों को ड ु बो कर मार ना पसंद था . - कया ?	- క పప లని ము ంచి చం పే య డం వాడి కి ఇష ట మ ట . - ఏంటి ?
कया मेरी बह नों के पास तुमहारी दिन चर या है ?	మా అ కక చె ల లె ళల కి మీ ష ె డ యూ ల ము ందే చెపపా రా ?
