जे पी !	జె పి !
ट रू गरेस	ట రూ గరేస
मैं आर ट कला स में जा रही हूँ .	నేను ఆర ట క లా స కి వెళ తుననాను .
एक से क ंड .	ఒకక కష ణం .
अगर हमें दोबारा कोशिश करनी है ,	మనం గ నుక ఈ సారి మళలీ పరయతని సతే ,
मुझे नहीं . . .	ఏమీ అనుకో . . .
मिन ?	మి న ?
मिन ? मिन ! सच में ?	మి న ? మి న ? నిజంగా ?
बा ल अचछी तरह नि ख रे हैं .	తన జు టటు ని బాగా గ ీ శా రు .
यह बढिया है .	ఇది బాగుంది .
सुना तुमने ?	వి ంటుననా వా ?
मैं यह कैसे पूछ ूँ ?	దీని ని ఎలా అడ గ ాలి ?
जे पी .	జె పి .
उसका नाम है रॉ जर म लड न .	అతని పేరు రో జర ము ల డ ూ న .
हाँ , म लड न . सही कहा . हाँ .	రెండు ' ఓ ' లు . అదే . అవును .
कि ता ब . कहानी की , जिस में कई प न ने एक साथ चि प के होते हैं .	పు సత కం . ఆ బ జె క ట ఆ ఫ ఫి కష న , చాలా పే జీ లు అ తి కి ంచి ఉంటుంది .
तुमने कया पह न र खा है ?	నువవు ఏం వే సు కుననా వు ?
इ वा कया बि बी ने सं पर क किया ?	ఈ వా బీ బీ నీ తో మాటలాడు తో ందా ?
गरे सी .	గరే సీ .
कयोंकि मेरी बात मान ो . . .	ఎందుకంటే నా మాట నమ ము . . .
ध . . .	ఛ . . .
तो कृपया , मै ट , मेरे . . . ग ै सट रिक ए सि ड की खा त िर ही सही ,	కాబటటి దయచేసి , మయా ట , నా చెతత గ యా స సమసయ కోసం అయి నా సరే ,
कया हो रहा है ?	ఏం జరుగు తోంది ?
बि बी .	బీ బీ .
- उसे बा थ ट ब के बारे में बताओ . - तुम मुझे बा थ ट ब के बारे में बता चु की हो .	- ఆమె కు నీ టి తొ టట ె గురించి చెపపు . - నువవు ఇ పపటి కే దాని గురించి చెపపా వు .
कया हो रहा है ?	ఏం జరుగు తోంది ?
कया तुम अब भी मुझसे पयार करती हो ?	నువవు ఇ పపటి కీ ననను పరే మి సతుననా వా ?
फोन आ रहा है बे न	ఇ న క మి ంగ కాల బె న
गरे सी .	గరే సీ .
शायद ऐसा नहीं होता अगर तुमने वह बन ने के लिए थोडी मे ह न त की होती	రాతరి వే ళ మ ంచ ం మీద నేను కో రు కునన టలు త యా ర వ వడానికి నువవు కొ ద ది గా
उसने मुझे देखा तो नहीं ?	అతను ననను చూడ లేదు , కదా ?
कौन बेवकूफ द वाई वाले द राज में अपनी दवा इ या ँ नहीं रख ता है ?	వాడి మ ందు లని మ ందు ల డ ర ాలో పెటటు కో న ంత చెతత వెధవ ఏంటి వీ డు ?
नहीं !	వదదు !
नहीं !	వదదు !
बै का ?	బె కా ?
कया तुमने पा द मा री ?	అ పా న వా యు వు వది లా వా ?
वह रु क गया .	వాడు ఆ గా డు .
अगर हमने काम पूरा नहीं किया , तो कया उसकी आँख के लिए नया य मिले गा ?	సరే , మనం గ నుక ఈ పని ని ము గి ంచ కపోతే , అపపుడు అతని క నను పోయి ఏం లా భ ం ?
- मैंने सोचा नहीं था कि तुम ना च सकते हो , रॉ जर . - हे भगवान . हाँ .	- నువవు డా నస చేయడం నే నె పపుడ ూ చూడ లేదు , రో జర . - ఓహ , దేవుడా . అవును .
मुझे पता है तुम मुझसे ना राज हो , और हमने काफी बातें करनी है .	నా మీద కో ప ంగా ఉననా వని తెలుసు , కానీ మనం చాలా మాటలాడు కో వాలి .
मेरा मतलब , वह आपको व ृ द धा शर म में नहीं रख सकता . है न ?	నా ఉదదేశం , తను నినను శ రణ ాల యం లో ఉ ంచ లే డు . అలా చేయ గల డా ?
मैं साल ों पहले उनके घर की अ त िर ि कत चा बी खो चु की हूँ .	వాళల ఇంటి అద న పు తా ళ ా నని చాలా ఏ ళల కింద టే పో గొ టట ా ను .
कया वह तना व में था ? कया उसका कोई च क कर चल रहा था ?	అతను ని రా శ లో ఉననా డా ? అతనికి వే రే సంబం ధ ాలు ఉననా యా ?
और मेरी प तनी और मैं मा ता - पिता बन ने वाले हैं .	నేను నా భా రయ తవర లో ఒక బి డ డ కు జ న మని వ వ బో తుననాం .
- उसने अभी - अभी अ ल मा री में पे शा ब किया . - चलो !	- వాడు ఇ పపుడే అ ల మార ాలో మూ తరం పో శా డు . - పద ండి !
- इसे घर ले जाओ . - जैसे मिले ले लो , बह ना .	- ఇంటికి తీసుకు వెళ లు . - బాగా వాడు కో , అ క కా .
- कया हो रहा है ? - वह गाडी चला ने वाला है .	- ఏం జరుగు తోంది ? - కారు డ రె వ చేయ బో తుననా డు .
