लूसी .	లూ సీ .
ग ै ले क सी न यू ज	గె లా క సీ న యూ స
सही सुना ,	అది నిజం ,
आप से मिल कर बहुत अचछा लगा . धनयवाद .	ఇది చ కక ని కల యి క . మీ రా కకు సంతోష ం .
वे सट - टे क ?	వె సట టె క ?
अपनी तरह का पह ला .	చాలా పర త యే క మెన ది .
मैंने ही रो ल आ उ ट संभा ला था .	నేను రో ల ౌ ట ను పర య వే కషి ంచా ను .
ब ड . ब ड आ स किन स .	బడ . బడ ఆ స కి నస .
- इसके लिए ? - हाँ .	- దీని కా ? - అవును .
तुमहारे लिए जो कर सकता हूँ	నేను నీ కోసం చేయ బో యే ప ను లు
दु श मन के इ ला के में जा रहा हूँ .	నేను శ తరు భ ూ భా గ ంలో కి వెళ తుననా .
मि . हा वर ड , घर सु ंदर है .	అంద మెన ఇ లలు , మి . హా వర డ .
मि . हा वर ड ?	మి . హా వర డ ?
ब ड आ स किन स .	బడ ఆ స కి నస .
एक टर अपने ट रे ल र से निक ले ही नहीं .	న టు లు తమ ట రె ల ర ల నుండి బయటకు రా రు .
जिंदगी बर बाद है .	అది మ రీ వి చి తరం .
लगा वह कि र दार सट ू डियो का था .	ఆ పా తర సట ూ డి యో స ొ ంత మను కుననా .
बस उनका भ वि ष य सही है .	బంగా రు మ య మని చెపప గలను .
इंतजार है .	వే చి ఉననా .
सा मान य हूँ ?	మా మూ లు గా నా ?
ऐसा ही होना चाहिए .	నిజ ానికి పరతి సా రీ .
- प ं थ नहीं है . - सब मु स कु रा रहे हैं .	- ఇది కల ట కాదు . - అందరూ నవ వు తుననారు .
और अगर बा थ रू म का इस ते माल नहीं आता हो , तो पूछ लें .	బా తర ూ ం లు ఎలా పని చేసతా యో మీకు తెలియ కపోతే , అడ గ ండి ,
वही तो कह रहा हूँ . लोग भ ला ई दिखा एँ . . .	అదే చెబు తుననాను . జ నాలు మంచి గా ఉంటే . . .
और मैं कया कर ूँगी ?	మరి నేనే ం చేసతాను ?
तुम सु ंदर दिख ती रहना	నువవు అంద ంగా ఉంటా వు ,
नहीं .	లేదు .
मैं बस यही कह ता हूँ कि एक ही जिंदगी है .	మనకు ఉనన ది ఈ జీవి త మే అని చెబు తుననా న ంత ే .
मुझसे जो ब ने , कर रही हूँ . ठीक है ?	నాకు కు ది రి న ది చేసతుననా ను . సరేనా ?
हाँ .	సరే .
